#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      43.466406     0.10181375      38.500801    0.090354535      48.336046     0.11459916
            0.2      44.102571     0.10253398      39.088388    0.091072714      48.993482     0.11538916
            0.4      45.776515      0.1044089      40.593718    0.092777861       50.80516     0.11725841
            0.6      47.982355     0.10686798      42.602096    0.095103135      53.147233     0.11994947
            0.8      51.945859     0.11107738      46.171648     0.09892844      57.438155     0.12432593
              1      57.271831     0.11651358      50.971736     0.10392303      63.192333     0.13032893
            1.2      64.733636     0.12357734      57.664628     0.11029598      71.315439     0.13762675
            1.4      75.256571     0.13297485      67.148298     0.11885574      82.664525     0.14802549
            1.6      91.005626      0.1455946      81.294648     0.13027803      99.752191     0.16124633
            1.8      112.06571     0.16082693      100.29799     0.14658204      122.42493     0.18349181
              2      142.84761     0.18023969       128.0155     0.16201493      155.60877      0.1999183
            2.2      186.72252     0.20399862      167.66723      0.1860709      202.63166     0.23339631
            2.4      247.92583     0.23174057      222.98681     0.20883704      268.13788     0.25510743
            2.6       330.4692     0.26235322      297.86445     0.23696429      355.86918     0.28916239
            2.8       423.8092     0.29042361      382.97664     0.26338459      454.13117     0.32235028
              3      342.18158     0.26678949      309.69463     0.24243943      365.56918     0.29699022
            3.2      342.18158     0.26678949      309.69463     0.24243943      365.56918     0.29699022
