#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.91804182    0.016776123     0.74936691    0.013507682      1.1029861    0.021027594
           -3.8      1.3853868    0.019628145       1.139654    0.016313727      1.6506207    0.025705005
           -3.6      2.0116951    0.023009447      1.6664388    0.019009568      2.3808679    0.028906165
           -3.4      2.9557861     0.02747002      2.4544253    0.022632095      3.4969247    0.033678623
           -3.2      4.2222227    0.032720158      3.5261328    0.027131126       4.968155    0.039911095
             -3      6.0902772    0.039186805      5.1227508    0.032756986      7.1174549    0.047393376
           -2.8      8.6649105    0.046511474      7.3339035     0.03918007      10.063618    0.055882593
           -2.6      12.268408    0.055106032      10.460203    0.046775995      14.140715    0.065541944
           -2.4      17.363773    0.065310149      14.919117    0.055984224      19.845524    0.076761436
           -2.2      24.545758    0.077356863      21.280653    0.066993157      27.750475    0.090308657
             -2      34.050419    0.090662419      29.747674    0.079095747      38.164093     0.10414594
           -1.8        46.2898     0.10522407      40.758967    0.092749379       51.39366     0.11989274
           -1.6      61.467373     0.12066679      54.535063     0.10745855      67.604285     0.13720968
           -1.4      78.541924     0.13573562      70.174731     0.12219684      85.630851     0.15389613
           -1.2      97.913291      0.1507516      87.950369     0.13562004      106.07088     0.16645745
             -1      118.58391      0.1650114      107.05923     0.15193932      127.65562     0.18979781
           -0.8      137.59052     0.17689733      124.61157     0.16063817      147.58493     0.19286225
           -0.6      154.86209     0.18685446       140.6073      0.1700665      165.63744     0.20244324
           -0.4      167.53422     0.19378525      152.32133     0.17676647      178.93819     0.21025679
           -0.2      174.29737     0.19735528      158.47998     0.17996647      186.20867      0.2137799
              0      174.78977     0.19761383      158.91591     0.18038259      186.76199     0.21460994
            0.2      167.91645     0.19399398      152.67627      0.1769294      179.33089     0.21024957
            0.4      155.02109     0.18694229      140.77587     0.17219362      165.77559     0.20736871
            0.6      137.67246     0.17692588      124.68445     0.16057363      147.67994     0.19239929
            0.8      118.52151     0.16495841      106.97051     0.14929752      127.64186     0.18121072
              1      97.998836     0.15080937      88.038383     0.13582219      106.13692     0.16675929
            1.2      78.892832     0.13601213      70.457921     0.12208853      86.075351     0.15281131
            1.4      61.205058      0.1204377      54.337835     0.10798985       67.25396     0.13867481
            1.6      46.237082     0.10518189      40.729631    0.093187754      51.297775     0.12191797
            1.8       34.02222    0.090667473      29.747036    0.079297974      38.081436     0.10483309
              2      24.686535    0.077578841      21.392391    0.067032023      27.938224    0.090230482
            2.2      17.555417    0.065621711      15.103279    0.056986425      20.028152    0.079046595
            2.4      12.282823     0.05508569      10.467711    0.046759712      14.165785    0.065308355
            2.6      8.6253872     0.04636691      7.2996038    0.039035439      10.020945    0.055746292
            2.8      6.1045561    0.039146554      5.1297065      0.0326948      7.1438437    0.047297885
              3      4.2387864    0.032792749      3.5374889    0.027203143      4.9949273    0.040032835
            3.2      2.9399161    0.027531118      2.4406471    0.022646333       3.479792    0.033735373
            3.4      2.0140547    0.023024438      1.6588006    0.018772936      2.4053217    0.028562392
            3.6      1.3749695    0.019521479      1.1268474    0.015815169      1.6481361     0.02440002
            3.8     0.92762552    0.017191116     0.75649153     0.01378311        1.11621    0.021706982
              4     0.92762552    0.017191116     0.75649153     0.01378311        1.11621    0.021706982
