#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0050602003    0.001104171    0.004633683   0.0010386793   0.0050835267   0.0011103594
           -3.8    0.035659137   0.0029898269    0.032889808    0.002772068    0.036668898   0.0030448438
           -3.6     0.14143497   0.0058965556     0.13209179   0.0055902118     0.14370491    0.006090703
           -3.4     0.48317414    0.010842754      0.4460407    0.010033061     0.49443005    0.011234016
           -3.2      1.2974398    0.017741169      1.1923713    0.016380898      1.3408904     0.01905932
             -3      3.0002214    0.026976159      2.7447345    0.024771275      3.1332459    0.028981003
           -2.8      5.9508751     0.03795153      5.4275513    0.034870832      6.2585808    0.041770077
           -2.6      10.856411    0.051227293       9.879043     0.04674946      11.489375     0.05573611
           -2.4      17.901612    0.065679816      16.261354    0.059803048      19.032489    0.071492414
           -2.2      27.585343    0.081339611      24.998681    0.073954904      29.467328    0.089044099
             -2      39.616703    0.097235103       35.84209    0.088113521      42.465676     0.10640358
           -1.8      54.066276     0.11319365      48.836088     0.10256133      58.128977      0.1245713
           -1.6       70.18614     0.12850357      63.291775      0.1161911      75.672694     0.14128778
           -1.4      87.778822     0.14318123      79.008349     0.12903018      94.921979     0.15731424
           -1.2      104.89376     0.15594496      94.271887     0.14034346      113.67999     0.17197891
             -1      122.15974     0.16763386      109.70689     0.15161446      132.51373     0.18823396
           -0.8      137.52765     0.17729633      123.34765     0.15926825      149.46086     0.19651416
           -0.6      149.78324     0.18453376       134.2136     0.16596105      162.98653     0.20575805
           -0.4      158.60063     0.18955008      142.03363     0.17001639      172.69888     0.21049236
           -0.2      162.98988     0.19194204      145.92689     0.17230045      177.53163     0.21352143
              0      163.02159     0.19196754      146.02383     0.17498069       177.4377     0.22254158
            0.2      158.20815     0.18933166      141.69849     0.16972882      172.24376     0.20990622
            0.4      149.78901     0.18456053      134.22684     0.16567664      162.97103     0.20478743
            0.6      137.36241     0.17716263      123.18793     0.15907505      149.30542      0.1958784
            0.8      121.70953     0.16737054      109.33704      0.1529499      131.96215      0.1904029
              1      104.91121       0.155929      94.316777      0.1403892      113.64172     0.17189112
            1.2      87.207097     0.14272548      78.534194     0.12892611      94.216016     0.15774276
            1.4       69.97936     0.12833223       63.12029     0.11633702      75.413897     0.14241427
            1.6       53.87047     0.11299375      48.680589     0.10240563      57.880019     0.12400999
            1.8      39.442639    0.097021741       35.70859    0.088136845      42.229179     0.10688656
              2      27.461079    0.081137651      24.896554    0.074013882      29.314463    0.089608977
            2.2      17.861883    0.065575543       16.23111    0.059740115      18.971185    0.071276825
            2.4      10.844762    0.051198139      9.8806462    0.046802506      11.452118    0.055650796
            2.6      6.0683707    0.038360025      5.5481891    0.035144808      6.3586461    0.041337402
            2.8       2.997856    0.026944201      2.7386079    0.024702625      3.1390622    0.028839558
              3       1.281995    0.017683287      1.1767569    0.016282168      1.3270864    0.018825595
            3.2     0.48773952    0.010898493     0.44979701    0.010090338     0.49944623    0.011250295
            3.4     0.15060295   0.0060620316     0.14036625   0.0056567613     0.15294297   0.0061889007
            3.6    0.038068756   0.0030475169     0.03566964   0.0029150536    0.038904901   0.0030790397
            3.8   0.0084336671   0.0014656369   0.0077954521   0.0013646824   0.0088088465   0.0015276902
              4   0.0084336671   0.0014656369   0.0077954521   0.0013646824   0.0088088465   0.0015276902
