#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.4484494    0.029285907      3.0391592     0.02586366      3.8793327    0.033444363
            0.2      10.190862    0.050024964      9.0040283    0.044339272      11.416954    0.056533866
            0.4       16.80329    0.064115325      14.867805    0.056909018      18.778044    0.072201404
            0.6      23.200942     0.07524403      20.564952     0.06688618      25.856754    0.084442612
            0.8      29.772363    0.085110985      26.429326    0.075764883      33.094576    0.095257215
              1      36.812955    0.094501442      32.731045    0.084259716      40.812841     0.10553282
            1.2      44.778518     0.10406604      39.865877    0.092899251      49.531554     0.11592506
            1.4       54.41004     0.11447448      48.519364     0.10234416       60.01068     0.12721688
            1.6      66.854249     0.12655015      59.694261      0.1132823      73.549639     0.14031655
            1.8      83.366555     0.14082475      74.569827     0.12627925      91.414958      0.1556858
              2      105.61556     0.15773966      94.634865     0.14169064      115.42265     0.17381705
            2.2      138.38877     0.17925736       124.2385     0.16131368      150.67425     0.19706612
            2.4       185.0935     0.20516242      166.56395     0.18513829      200.60692     0.22516937
            2.6      250.70958     0.23522179       226.2025     0.21277851      270.32155     0.25740508
            2.8      335.78633     0.26687946      303.64685     0.24194649      360.39463     0.29224091
              3      385.65114     0.28278453      348.92119     0.25657332      413.10711     0.31129733
            3.2       201.0955     0.21388809      179.82663     0.19150929      218.82675     0.23954416
            3.4      119.79855     0.16836411      106.01068     0.14999261       132.1997     0.19552687
            3.6      78.210984     0.13744009      68.629856     0.12058485       87.27323     0.15747597
            3.8      53.360664     0.11419801       46.48013    0.099323071      60.123301     0.13150423
              4      37.259332    0.095833318      32.246956    0.082857232      42.332816     0.11119588
            4.2      26.277294    0.080791045      22.608986    0.069464223      30.080262    0.094688842
            4.4      18.874867    0.068638781      16.132917     0.05860611      21.798162    0.080905099
            4.6      13.512751    0.058349945       11.48984    0.049525129      15.709037    0.069115409
            4.8      9.7906515    0.049873637      8.2817937    0.042075839      11.457356    0.059620591
              5      9.7906515    0.049873637      8.2817937    0.042075839      11.457356    0.059620591
