#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.995368     0.07199659      18.852824    0.064800286       22.74071    0.080086256
            0.2       58.66267      0.1192504      52.600692     0.10695914      63.693561     0.13200777
            0.4      87.038579     0.14421005      78.037433     0.12942399        94.5427     0.15975544
            0.6      105.13344     0.15777254      94.229576     0.14159542      114.29473     0.17470165
            0.8      115.81662      0.1651161      103.73927     0.14820299      126.06244     0.18324062
              1      121.73463     0.16900856      109.00497     0.15161208      132.59393     0.18722982
            1.2      126.14624     0.17184609      112.88425       0.154049      137.56531     0.19032803
            1.4      130.37035     0.17451665      116.60003      0.1563241      142.30747     0.19309653
            1.6      135.60047     0.17780824      121.25193     0.15923838      148.09218     0.19708844
            1.8      143.20173     0.18240667       128.0912     0.16353118      156.34367     0.20257908
              2      153.82145     0.18861695      137.57865     0.16914721      168.00979     0.20959732
            2.2      167.81251     0.19639842      150.13259     0.17602887      183.26822     0.21759183
            2.4      186.24401     0.20606706      166.73311     0.18585902      203.21701     0.23319958
            2.6      208.29047     0.21685936      186.60558     0.19471532      227.07745     0.24047458
            2.8      233.31829      0.2282382      209.14606     0.20511616      254.12971      0.2531639
              3      227.63773     0.22595606      204.04315     0.20302509      247.84788     0.25154743
            3.2      77.737384      0.1371806      69.027928     0.12178299      85.490371      0.1544252
            3.4      30.655425     0.08769169      26.898643    0.076887719      34.161651     0.10094082
            3.6      13.783668    0.059574794      11.955581    0.051405043      15.565736    0.069655371
            3.8      6.4072892    0.040833181      5.4974694    0.034834025      7.3235887     0.04830386
              4      3.0732337    0.028566637      2.6104277    0.024094641      3.5513315    0.034463408
            4.2       1.427891    0.019597308      1.1974381    0.016281118      1.6753075    0.023857938
            4.4     0.68672137    0.013571591     0.56930381    0.011194279     0.81658475    0.016687398
            4.6     0.33468771   0.0096593376     0.27561843   0.0078640553     0.40081488    0.012187495
            4.8     0.13744964   0.0060326391     0.11203291   0.0048751256     0.16636024    0.007625958
              5     0.13744964   0.0060326391     0.11203291   0.0048751256     0.16636024    0.007625958
