# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.7210167    0.030611888      3.2361095    0.026617577       4.208848    0.035245629
           -3.8      4.9404204    0.035319345      4.3007636    0.030702071      5.5827582    0.040763267
           -3.6      6.4946042    0.040439274       5.665154    0.035230216      7.3207379    0.046601924
           -3.4      8.4161294    0.045919376      7.3596468    0.040136344      9.4566358    0.052526323
           -3.2      10.969098    0.052390138      9.6118531    0.045894639      12.293518    0.059801935
             -3      13.926595    0.058885692      12.234866    0.051707249      15.555699    0.066974132
           -2.8      17.953581    0.066787221      15.815793    0.058812527      19.983329    0.075774642
           -2.6      22.660178    0.074867329      20.014886    0.066150241      25.134014    0.084594625
           -2.4      28.431126    0.083639457       25.17256     0.07415887       31.43961    0.094473752
           -2.2      35.417733    0.093172759      31.433386    0.082793644      39.045575     0.10495163
             -2      43.964168     0.10348074      39.120746    0.092224115      48.309111     0.11574373
           -1.8      54.073678     0.11443621      48.192941     0.10209607      59.303789     0.12749195
           -1.6      65.894484      0.1259399      58.860056     0.11265434      72.055105     0.13984431
           -1.4      79.350593       0.137765      71.002886     0.12351286      86.567172     0.15304545
           -1.2      93.978482      0.1494168       84.22872      0.1353778      102.29741      0.1710938
             -1      109.72762      0.1608622      98.424926     0.14456872      119.32608     0.17784171
           -0.8      124.34581     0.17070115      111.63304     0.15367107      135.05853     0.18884521
           -0.6      138.37759     0.17954234      124.35617     0.16166909       150.0843      0.1981329
           -0.4      149.11114     0.18593653      134.05317     0.16748424      161.61689     0.20510054
           -0.2      154.90359      0.1892861      139.29852     0.17064648      167.82616     0.20923642
              0      155.15663      0.1894352      139.52476     0.17079304      168.10296     0.20923636
            0.2      149.12779     0.18595387      134.07641     0.16765471      161.63016     0.20567082
            0.4      138.60001     0.17964837      124.52774     0.16168865      150.36803     0.19802473
            0.6      124.95691     0.17110234      112.19194     0.15390795      135.70888     0.18881228
            0.8      109.00342     0.16037671      97.789462     0.14410518      118.51572     0.17703248
              1      94.018616     0.14944211      84.248802     0.13425642      102.38143     0.16575065
            1.2      79.262846     0.13768833      70.904807     0.12334592      86.510924     0.15253197
            1.4      66.100779     0.12615094      59.044674     0.11285338      72.274109     0.14025707
            1.6      54.256467     0.11461033      48.381566     0.10236292      59.458524     0.12768686
            1.8      43.875425     0.10338742      39.033383    0.092042123      48.225334     0.11558505
              2      35.656796    0.093444142       31.65877    0.083057772      39.291052     0.10502295
            2.2      28.286096    0.083428833      25.053364    0.074081338      31.260269    0.094668332
            2.4      22.535559    0.074643088      19.901888    0.065922897       25.00293    0.084176588
            2.6      17.901603     0.06668041      15.766228    0.058752275      19.933957    0.075640979
            2.8      13.974865    0.059008125      12.281321      0.0518771      15.600606     0.06729088
              3      10.945833    0.052331131      9.5960183    0.045843672      12.255611    0.059715399
            3.2      8.4397278    0.046086994      7.3738725    0.040196757      9.4955289    0.052785251
            3.4      6.5012984    0.040560435      5.6661042    0.035269087      7.3374216    0.046685026
            3.6      4.9840114    0.035427953      4.3340268    0.030802022       5.641222    0.040769478
            3.8      3.8137716     0.03107101       3.314498    0.026951976       4.318626    0.035949752
              4      3.8137716     0.03107101       3.314498    0.026951976       4.318626    0.035949752
