#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.69814695   0.0012927072     0.61987896   0.0011513457     0.77919862   0.0014528217
            360      1.6905598   0.0019663128       1.508738    0.001759342      1.8700982   0.0021869924
            380      1.8959219   0.0020724834      1.6955136   0.0018577975      2.0875596     0.00229416
            400      1.8858991   0.0020672516      1.6886959   0.0018554052      2.0692731   0.0022804066
            420      1.7790164    0.002012802      1.5945834   0.0018082617       1.946431    0.002214151
            440      1.6348387   0.0019358923       1.466336   0.0017401952      1.7845172   0.0021248147
            460       1.482297   0.0018498522      1.3301589   0.0016637765      1.6148422   0.0020272945
            480      1.3308364    0.001758932      1.1946517   0.0015827357      1.4472969   0.0019259151
            500      1.1859082   0.0016659581       1.065017    0.001500378      1.2873167   0.0018244779
            520      1.0550994    0.001576282     0.94730496   0.0014186074      1.1445633   0.0017236874
            540     0.93922844   0.0014913375     0.84320038   0.0013421604      1.0178363   0.0016307167
            560     0.82893865   0.0014047358     0.74429195   0.0012647968     0.89719345   0.0015372497
            580     0.73531843   0.0013260332     0.66011022   0.0011942191     0.79532497   0.0014533679
            600     0.65422847   0.0012533226     0.58705097   0.0011277919     0.70745558   0.0013740575
            620     0.57913753   0.0011815307     0.51947986   0.0010625834     0.62606033   0.0012955876
            640      0.5142948   0.0011156954     0.46131849   0.0010039722     0.55541278   0.0012306443
            660     0.45810435   0.0010544234     0.41053622  0.00094930849       0.495021   0.0011702748
            680     0.40634051  0.00099464269     0.36430754  0.00089860589     0.43837892   0.0011164107
            700     0.36411997  0.00094312204     0.32609504   0.0008500209     0.39318128    0.001058781
            720     0.32347557  0.00089026034     0.28959254  0.00081912571     0.34915715   0.0010864417
            740      0.2885374  0.00084197441      0.2581548  0.00075620416     0.31155933  0.00094718425
            760     0.25839351  0.00079730011     0.23084864  0.00071620176     0.27942263  0.00090255374
            780     0.23170155   0.0007564378     0.20696885  0.00067723358      0.2504128  0.00085413001
            800     0.20741275  0.00071666107     0.18506955  0.00064006804     0.22441517  0.00081029375
            820     0.18685263  0.00068092624     0.16653517   0.0006067887     0.20242308   0.0007713074
            840     0.16805991  0.00064660552     0.14968987   0.0005763014     0.18209023  0.00073784292
            860     0.15251505  0.00061646949     0.13563677  0.00054849015     0.16554032  0.00070222773
            880     0.13792152  0.00058735862     0.12260414   0.0005211599     0.14964678  0.00067117466
            900     0.12408086  0.00055760841     0.11022411  0.00049593216     0.13471278  0.00064392706
            920      0.1125603  0.00053169587    0.099869286  0.00047315531     0.12236866  0.00061874611
            940     0.10164574  0.00050626665     0.09014081  0.00044741555     0.11050938  0.00058561164
            960    0.093296415  0.00048557348    0.082545088  0.00042869191     0.10177344  0.00056650369
            980    0.084588912  0.00046231833    0.074714924  0.00040575826    0.092466557  0.00053231613
           1000    0.084588912  0.00046231833    0.074714924  0.00040575826    0.092466557  0.00053231613
