#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.28199264   0.0011764736     0.25279028   0.0010567925     0.30779612   0.0013014193
             10     0.83917137   0.0020176259     0.75219068   0.0018133902     0.91598535   0.0022344668
             20       1.342619   0.0025384743       1.203666   0.0022794525       1.464943   0.0028003847
             30      1.7799073   0.0029096019      1.5957382   0.0026128875      1.9419859   0.0032103123
             40      2.1219466   0.0031641518      1.9023939   0.0028420084      2.3146032   0.0034896693
             50      2.3733276   0.0033375757      2.1277122   0.0030001745      2.5883386   0.0036951462
             60      2.5281617    0.003439601      2.2660307   0.0030900151      2.7577039   0.0038034722
             70      2.6004338   0.0034860903      2.3303106   0.0031307091       2.836501   0.0038521573
             80      2.6061987   0.0034899519      2.3344766   0.0031317132       2.843884   0.0038557928
             90      2.5377627   0.0034473872      2.2729758   0.0030953299      2.7687496   0.0038150577
            100      2.4401431   0.0033850685      2.1855995   0.0030381322      2.6612639   0.0037487368
            110      2.3090474   0.0032982557      2.0676343   0.0029582621      2.5186207   0.0036483248
            120      2.1615997   0.0031968039      1.9350188   0.0028688812       2.358047   0.0035469389
            130      2.0024002   0.0030831937      1.7921407   0.0027627484      2.1844454   0.0034159123
            140      1.8392256   0.0029604058      1.6456484   0.0026536015      2.0062858   0.0032823065
            150      1.6803956   0.0028348224      1.5026719   0.0025390621      1.8341583   0.0031462363
            160      1.5320874   0.0027121864      1.3696401   0.0024274165      1.6725395   0.0030094976
            170      1.3873695    0.002585586      1.2398647   0.0023154457      1.5145965   0.0028781015
            180      1.2518797   0.0024596322      1.1189714   0.0022023053      1.3660491   0.0027383724
            190        1.13212    0.002342211      1.0117832   0.0021270072      1.2349095   0.0027532333
            200      1.0169787    0.002223478      0.9081327   0.0019900884      1.1104946   0.0024819314
            210     0.91525983   0.0021116858     0.81732515   0.0018898077     0.99901893   0.0023576623
            220     0.82744374   0.0020096557     0.73822218   0.0017955001     0.90416297   0.0022413014
            230      0.7417465   0.0019051069     0.66184322   0.0017023965     0.81000173   0.0021285928
