#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.19980483  0.00099293449     0.17699424  0.00088106095     0.22289289   0.0011160997
             10     0.56868898   0.0016679938     0.50449495   0.0014826076     0.63302349   0.0018712976
             20     0.91356075   0.0021058463     0.81044798   0.0018719105      1.0166171   0.0023615782
             30      1.2262609   0.0024306969      1.0883076   0.0021615094      1.3634681   0.0027233211
             40      1.5073412   0.0026862646      1.3383642    0.002390248      1.6743637   0.0030071986
             50      1.7457851   0.0028834459      1.5511156   0.0025671528      1.9365912   0.0032232631
             60      1.9390033   0.0030321135      1.7235973   0.0027006859       2.148487   0.0033850423
             70      2.0720004   0.0031294614      1.8425964   0.0027885351      2.2932446   0.0034899066
             80      2.1704262   0.0032002327      1.9315433   0.0028536974      2.3983725   0.0035666443
             90      2.2273784   0.0032387473      1.9832721   0.0028895745      2.4579663   0.0036038231
            100      2.2347685   0.0032438722      1.9907925   0.0028972906       2.462842   0.0036117112
            110      2.2218873   0.0032353762      1.9801837   0.0028885815      2.4455929   0.0035896637
            120      2.1610577   0.0031925184      1.9276292   0.0028530245      2.3740355   0.0035359007
            130      2.0888432   0.0031423241      1.8637394   0.0028085715      2.2922996   0.0034796684
            140      1.9916369   0.0030712197       1.778562   0.0027720754      2.1810779   0.0035127144
            150      1.8881975   0.0029936493      1.6869365   0.0026800636      2.0651764   0.0033097871
            160      1.7742365    0.002905926      1.5861158    0.002602856      1.9376593   0.0032095748
            170      1.6526281   0.0028084654      1.4784867   0.0025166964      1.8015365   0.0030963525
            180      1.5331771   0.0027090329      1.3725066   0.0024313045      1.6685821   0.0029961859
            190      1.4103019   0.0026020095      1.2638337   0.0023362364      1.5315492   0.0028688741
            200      1.2974448   0.0024991301       1.163311   0.0022454824      1.4068955   0.0027533771
            210      1.1841484   0.0023904804      1.0621013   0.0021487732      1.2826227   0.0026318472
            220      1.0828428   0.0022891358     0.97226591   0.0020610165        1.17027   0.0025306538
            230     0.98247392   0.0021834167     0.88280791   0.0019662225      1.0600503   0.0024042048
            240     0.89230305   0.0020832315     0.80232314   0.0018771536     0.96107268   0.0022965824
            250     0.80689267   0.0019835199     0.72615962   0.0017869013     0.86744296   0.0021809533
            260     0.72766732   0.0018854222     0.65501365   0.0017038998     0.78162049   0.0020866569
            270     0.65846877   0.0017956135     0.59357076   0.0016232811     0.70524992   0.0019867651
            280     0.59336827   0.0017059887     0.53517506   0.0015406717     0.63469785   0.0018755798
            290     0.53042129   0.0016151018     0.47870247   0.0014600186     0.56646245   0.0017773823
            300     0.47968666    0.001537773     0.43362192   0.0013930156     0.51070589   0.0017055126
            310     0.43263134   0.0014611137     0.39126441   0.0013235206     0.46008867   0.0016196314
            320     0.38621462   0.0013819359     0.34932251   0.0012509128     0.41040324   0.0015272715
            330     0.34730957   0.0013114869     0.31445098   0.0011887958     0.36834227   0.0014520239
            340     0.31198531   0.0012447322       0.282435   0.0011251455     0.33082663    0.001366992
            350     0.28057022   0.0011805947     0.25428041   0.0010689968     0.29683423   0.0013041247
            360     0.25364555   0.0011239701     0.23036792   0.0010202503     0.26724146   0.0012444788
            370     0.22723657   0.0010651109     0.20633629  0.00096736145      0.2394372   0.0011873922
            380     0.20493026    0.001011924     0.18617639  0.00091910733     0.21568607   0.0011211271
            390     0.18257492  0.00095688943     0.16637237  0.00087305056     0.19106097   0.0010799892
            400     0.16285255  0.00090451003     0.14829674    0.000821456     0.17060746    0.001005289
            410     0.14785455  0.00086089314     0.13476483  0.00078403623     0.15458591  0.00095571147
            420     0.13400488  0.00082167805      0.1220998  0.00074473592     0.14014619  0.00091646338
            430     0.11965975  0.00077618358     0.10914722  0.00071434029     0.12483743  0.00088934261
            440     0.10983103    0.000745013     0.10022998    0.000675945     0.11445209  0.00082986443
            450    0.097865347  0.00070405405    0.089448141  0.00064136878     0.10176663  0.00078786804
            460    0.086753334  0.00066369642    0.079416983  0.00060952514    0.089832983  0.00076070873
            470     0.07984328  0.00063674239     0.07302413  0.00058410362    0.082805333  0.00072773522
            480    0.072199334  0.00060618642    0.066230644  0.00056451724    0.074606055  0.00067493999
            490    0.064964533  0.00057657372    0.059462802  0.00052141313    0.067246155  0.00064700394
            500    0.058267285  0.00054508635     0.05326778  0.00049436075    0.060390962  0.00060792748
            510    0.053083604  0.00052224401    0.048779233  0.00047794104    0.054610315  0.00056935718
            520    0.047822795   0.0004949636    0.043864416  0.00044935283     0.04931938  0.00053426798
            530    0.044001515  0.00047456038    0.040358111  0.00043288893    0.045360181  0.00051581096
