#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0061509234   0.0012301232   0.0054723878   0.0011308284   0.0062215349   0.0012456621
           -3.8    0.034200961   0.0029830107    0.031816418   0.0027821526    0.035114328   0.0030317978
           -3.6     0.15057826   0.0061357605     0.13810216   0.0056302103     0.15512555   0.0065068424
           -3.4      0.4928548     0.01108183     0.45049932    0.010168196     0.51312425    0.011797148
           -3.2      1.3284129    0.018145515      1.2111659    0.016625865      1.3932838    0.019565488
             -3      3.0902124    0.027658101      2.8156954    0.025246742      3.2496732    0.029954666
           -2.8      6.0930219    0.038797481      5.5209617     0.03522948      6.4817338    0.042108535
           -2.6      11.170233    0.052478391      10.124518    0.047957973      11.899383    0.058626737
           -2.4      18.132573    0.066751037      16.393339    0.060517513      19.429707    0.072948398
           -2.2      28.179248    0.083019556      25.432432    0.075233399      30.310462    0.091457348
             -2      40.393065    0.099153534      36.417365    0.089587458       43.54277     0.10903107
           -1.8      55.135795     0.11548334      49.606739     0.10414261      59.651118     0.12723915
           -1.6      71.467492     0.13098656      64.176688     0.11787035      77.578997     0.14471258
           -1.4      89.108488     0.14575089      79.886763     0.13086402      96.974298     0.16138498
           -1.2       107.4117     0.15938003       96.12658     0.14282146       117.1992     0.17667708
             -1      124.34061     0.17088402       111.1722     0.15300212      135.84644      0.1899619
           -0.8      140.44749     0.18099444      125.38735     0.16188536       153.7544     0.20161605
           -0.6      152.93994     0.18839337      136.42564     0.16824722      167.61261     0.20992197
           -0.4       161.9894     0.19353297      144.43074     0.17285249      177.62971     0.21612829
           -0.2      166.47459     0.19598924      148.38694     0.17489828      182.61728     0.21866762
              0       166.7476     0.19614859      148.61863     0.17497719      182.93994     0.21869746
            0.2      161.81372     0.19343312       144.2885     0.17268902      177.41123     0.21596236
            0.4      153.04769     0.18845515      136.51825     0.16825393      167.73917     0.20974069
            0.6      140.63983     0.18108738      125.56746     0.16193035      153.96032     0.20163579
            0.8      124.35279     0.17087039      111.15634     0.15305833      135.90883     0.19011098
              1      107.31811     0.15932147      96.042969     0.14287475      117.08728     0.17699314
            1.2      88.956235     0.14561486      79.764797     0.13095808      96.779805     0.16161263
            1.4      71.512223     0.13103179       64.22162     0.11810513      77.612515     0.14565966
            1.6      54.764101     0.11509654      49.267881     0.10376497      59.257398      0.1268694
            1.8      40.194888    0.098896821      36.231297    0.089363993      43.348057      0.1085846
              2      27.985997    0.082742489      25.250445     0.07484098      30.115116    0.090981021
            2.2      18.224654    0.066919329      16.504809    0.063442744      19.462778    0.085649828
            2.4      10.965567    0.052002289      9.9374438    0.047259213      11.684924    0.056849509
            2.6      6.2364995     0.03925039      5.6665925    0.035783103      6.6053768    0.042648054
            2.8      3.0535254     0.02748828      2.7737633    0.025023999      3.2270901    0.029826211
              3      1.3058779    0.018002456      1.1903238     0.01646973      1.3694244    0.019210211
            3.2     0.48502239    0.010967569     0.44767151     0.01031671     0.49554602    0.011416181
            3.4     0.14541331   0.0059810032     0.13264389   0.0054864748     0.15082673   0.0062994805
            3.6    0.043549451   0.0032916261    0.040516438   0.0031232485    0.044633321   0.0033394718
            3.8   0.0063978738   0.0013020129   0.0060338012   0.0012398062   0.0066835135   0.0013520704
              4   0.0063978738   0.0013020129   0.0060338012   0.0012398062   0.0066835135   0.0013520704
