# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.7133837    0.034551506      5.8973347    0.030382685      7.5802121     0.03913939
            0.2      19.128167    0.058150968      16.783304    0.051063784      21.630682    0.065944572
            0.4      28.803149    0.071198692      25.251456    0.062494073      32.600815    0.080881055
            0.6      35.756503    0.079202839      31.326689    0.069440097      40.498654    0.090014133
            0.8      40.255753    0.083950664      35.244487      0.0735584      45.630475    0.095486888
              1      43.507937    0.087224915      38.065563    0.076438214      49.348786     0.09945825
            1.2      46.249241    0.089876795      40.451842    0.078672021      52.475022     0.10237473
            1.4      49.855043    0.093246941      43.600632    0.081621951      56.566224     0.10621984
            1.6       54.85499    0.097700266      47.989087    0.085533731      62.213754     0.11126286
            1.8      63.293171     0.10472421      55.415438    0.092181142       71.69935     0.12042712
              2      75.982933      0.1143754      66.568264     0.10032083      86.002252     0.13018402
            2.2      96.699803     0.12835848      84.792319     0.11264681      109.32332     0.14576039
            2.4      131.93333     0.14858877      115.84071     0.13062983      148.90454     0.16873971
            2.6      197.58794     0.17872211      173.82917     0.15737556      222.47387     0.20232609
            2.8      344.73619     0.22656251      304.35513     0.20027699       386.5508     0.25577278
              3      631.12302     0.27982028      563.32913     0.25016748       698.8305     0.31263161
            3.2       145.1131       0.155488      129.45637     0.14089097      160.80788     0.18218441
            3.4       28.67692     0.07133496       25.44983    0.063329764      31.991449    0.080185274
            3.6      6.7977684     0.03495756      6.0170126    0.030975837      7.6087844    0.039578764
            3.8      1.7184594    0.017596387      1.5230908     0.01571669      1.9204327    0.020366957
              4     0.44926702   0.0089740545     0.39860031   0.0079723757     0.50123073    0.010077037
            4.2     0.11640857    0.004555272     0.10341027   0.0040563791     0.12972331   0.0050991981
            4.4    0.034562365   0.0024940398    0.030736596    0.002214383    0.038370839   0.0027949769
            4.6   0.0097986087   0.0013211732   0.0087362348   0.0011809894    0.010850026   0.0014703608
            4.8   0.0026723478  0.00068996272   0.0024350913  0.00062954902   0.0028584348  0.00074048094
              5   0.0026723478  0.00068996272   0.0024350913  0.00062954902   0.0028584348  0.00074048094
