# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      100.60641     0.13094057       88.83842     0.11568363      112.69851     0.14757063
            0.2      99.784905     0.13037094      88.109603     0.11520222      111.79755     0.14692508
            0.4      98.462469     0.12949743      86.963405     0.11456437      110.28894     0.14628692
            0.6      97.661484     0.12895193       86.24949     0.11412515      109.42804     0.14579554
            0.8      97.835479     0.12905118      86.424455     0.11651117      109.59614     0.15521502
              1      99.121373     0.12983303      87.520721     0.11475228      111.13873     0.14628034
            1.2      101.74559     0.13144587        89.8438     0.11619997      114.09621     0.14814293
            1.4      106.18882     0.13414439       93.77731     0.11858513      119.08321      0.1511528
            1.6      112.89208     0.13807846      99.723822     0.12211028      126.57762     0.15560136
            1.8      121.81913     0.14310986      107.63204     0.12664922       136.5755     0.16142571
              2      133.65294     0.14944956      118.12857     0.13227306      149.79691     0.16847963
            2.2      148.76268     0.15707069      131.56003     0.13933473      166.62385      0.1776292
            2.4       167.7873     0.16603651      148.43392     0.14704189      187.86604     0.18693007
            2.6      190.42396     0.17586038      168.53002     0.15584812      213.09628     0.19808408
            2.8      212.64256     0.18482659      188.27521     0.16380668      237.81213     0.20808918
              3      160.01375     0.16264707       141.7212     0.14417997      178.86687     0.18304337
            3.2      160.01375     0.16264707       141.7212     0.14417997      178.86687     0.18304337
