#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.42079515   0.0054008653     0.39295249   0.0047977196     0.45387483   0.0074641556
             10      1.2123924   0.0091484102      1.1331382   0.0082146671      1.2980575    0.012874367
             20      1.9107825    0.012508184      1.7938402    0.011014715      2.0336267    0.017388686
             30      2.4864731    0.015056167       2.331725    0.012912431      2.6452117    0.021175619
             40      2.8654279     0.01435883       2.691723     0.01316394      3.0387667    0.020973712
             50      3.0959048    0.015328347        2.91636     0.01435449      3.2786155    0.020607459
             60        3.19358    0.015890432      3.0085045    0.014032692      3.3782225    0.020474607
             70      3.1623637    0.014253785      2.9801337    0.013038633      3.3296548    0.019880614
             80      3.0902294    0.017987348      2.9072125    0.016715712      3.2553568    0.027973046
             90      2.9109703    0.013740002      2.7481374    0.016150174      3.0724669    0.019165179
            100      2.6754606    0.013348827       2.518834    0.011764616      2.8051269    0.018030983
            110      2.4012194    0.012299678      2.2759985    0.012316794      2.5054731    0.020342866
            120      2.2142165    0.011741922      2.0799444    0.010550125      2.3345178    0.016415715
            130      1.9873369    0.011117257      1.8701314    0.010034083      2.0902381    0.015523193
            140      1.7805142    0.011280042      1.6853688    0.012122204      1.8512194    0.015134101
            150      1.5445716    0.011451684      1.4619539    0.012992461      1.6119694    0.014630298
            160      1.4034054   0.0094610909      1.3185758    0.009131028      1.4792855     0.01298351
            170      1.2182137   0.0092617458      1.1475598    0.010486762      1.2803832    0.012564433
            180      1.0549658   0.0082392723     0.99156885   0.0078534267      1.1105629    0.011219218
            190     0.92477307   0.0080403482     0.87040545   0.0076580328     0.96918497    0.010579514
            200     0.82309891     0.01302288     0.76005857   0.0067356333     0.86307878    0.014413591
            210     0.71996198   0.0070029701     0.67853714   0.0071953631     0.75235272   0.0094398634
            220      0.6279171   0.0065120768     0.59381853    0.006252667     0.65265662   0.0088094895
            230     0.55728219   0.0061550346     0.52319486   0.0058180202     0.58455559   0.0089478296
            240     0.48243672   0.0056047358     0.45128088   0.0051694192      0.5097639     0.00748357
            250      0.4290647   0.0056003468     0.40396603   0.0054030475     0.48194233    0.046738064
            260     0.38291021   0.0049034553     0.35868055   0.0046498162     0.40038366   0.0062682836
            270     0.32801128    0.004565797     0.30567437   0.0041139212     0.34705181   0.0062267782
            280     0.29915852   0.0043744309     0.27913456   0.0040825518     0.31977949   0.0058736084
            290     0.26032839   0.0041537069     0.24601401   0.0040337306     0.26928248   0.0057860988
            300     0.24078452   0.0039643597     0.22496382   0.0038254579     0.25463068   0.0051681856
            310     0.20320345   0.0036242141     0.18831802   0.0033043227     0.21517815   0.0048081148
            320     0.18641708      0.0034301     0.17333711   0.0031516998      0.1981686   0.0045534219
            330     0.15237111    0.003303972     0.14169648   0.0032875281     0.16186208   0.0042462156
            340     0.14330779   0.0029830449     0.13396764   0.0026802663     0.15041884   0.0040233257
            350     0.12450828   0.0029177689     0.11536496   0.0026624036     0.13172201   0.0036858105
            360     0.11545722   0.0026615503     0.10697656   0.0024085565     0.12267776   0.0036234944
            370     0.10163957   0.0025011107    0.094370377   0.0022491586     0.10741319   0.0033680909
            380    0.091968314   0.0024004357    0.085421947   0.0022340606    0.097711669   0.0031982041
            390    0.079649105   0.0025749451    0.075215824   0.0021109615    0.081623419   0.0047437973
            400    0.073791472   0.0021263386    0.068329012   0.0019409796    0.077959155     0.00283382
            410    0.064662983   0.0020238302    0.060774293   0.0017834627    0.066615746   0.0027692424
            420    0.060074911   0.0020099768    0.055025997   0.0019093083    0.065808245   0.0025493583
            430    0.051983812    0.001817605    0.048782693   0.0016989948    0.053690084   0.0022331232
            440    0.046671063   0.0023450207    0.045019089   0.0029495215    0.047369697   0.0022999746
            450    0.042534386   0.0017673829    0.039813192   0.0016958927    0.044566463   0.0022744006
            460     0.04421822   0.0023853677    0.042075714   0.0036226664    0.046980239   0.0022000553
            470    0.035212755   0.0015027997    0.032430132   0.0013255408    0.037683481   0.0021049306
            480    0.031512075   0.0013720313    0.028714204   0.0012230267    0.034552274   0.0018118295
            490     0.02848147   0.0013484813    0.026856444   0.0012397603     0.02950116   0.0017820241
            500    0.023492914   0.0012009898    0.022017048   0.0010674606    0.024433664   0.0017060712
            510    0.023029243   0.0012014334     0.02135797   0.0010882223    0.024464441   0.0015926134
            520    0.023462313   0.0017877825    0.022301335    0.002075338    0.024129939   0.0017507649
            530    0.019577018   0.0011952195    0.018571245   0.0023556381    0.019934223    0.002048091
            540    0.018609778   0.0010440591    0.017042705  0.00096104687    0.020223316   0.0014621998
            550     0.01608871   0.0010008084    0.014823982   0.0009055886    0.017245413   0.0013115949
            560    0.015473051  0.00095528211    0.014028291  0.00083566368    0.016859716   0.0012746756
            570    0.013516741    0.000935324    0.012622751  0.00082957329    0.014047517    0.001133711
            580   0.0095891392    0.001655955   0.0075645423   0.0031443332    0.011159958  0.00088047084
            590    0.011286866  0.00081282121    0.010240363  0.00075851126    0.012505873   0.0010126818
            600    0.010398306  0.00081605804   0.0099342361  0.00071218086    0.010494333  0.00086696438
