#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      43.213235      0.1689799      38.788595     0.13693436      47.949105     0.20913396
            0.2      43.013083     0.11915173      38.766425     0.12870558      47.468526      0.1387028
            0.4      44.324953     0.12332507      40.062038     0.12018443      48.720534     0.13808018
            0.6      46.951909     0.11730168      42.522867     0.11381339       51.50371     0.14132406
            0.8       50.77165     0.12753953      46.107617     0.12944948      55.579953     0.14908556
              1      56.504204     0.13933572      51.523048     0.14916326      61.703273     0.16061245
            1.2      64.070887     0.14679294      58.575255     0.15300775      69.675761     0.16830187
            1.4      75.119936     0.15193568      69.001913     0.14795615      81.304179     0.17829015
            1.6      90.841968     0.16606515      83.895714     0.16607382      97.764065     0.19722454
            1.8      112.80481     0.18720089      104.81903     0.19653001      120.69145     0.22997001
              2       144.7928     0.21031739      135.21286     0.20894636      153.85047     0.25007186
            2.2      191.01826     0.24186976      179.31852     0.26844219      201.56248     0.29202597
            2.4      256.59552     0.28300338       242.9293     0.29336576      268.61409     0.33690552
            2.6      344.87809     0.32283125       328.5696     0.33481651      358.49971     0.39623282
            2.8      446.29542     0.38150622      427.65117     0.44177033       461.2501     0.46226926
              3      361.72112     0.33690458      347.02358     0.33989102      373.47063     0.42235416
            3.2      361.72112     0.33690458      347.02358     0.33989102      373.47063     0.42235416
