#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.30285674    0.002821187     0.28886532   0.0017412542     0.31111606   0.0022096398
             10     0.88327093   0.0025187926     0.85166004   0.0024765704     0.91182899   0.0039420393
             20      1.4130984    0.003192892      1.3599043   0.0039938755      1.4572301   0.0046323754
             30       1.859867   0.0036082681      1.7917301   0.0034449272      1.9209538   0.0052813998
             40      2.2177862   0.0039068198      2.1343766    0.004790156      2.2949841   0.0057466779
             50      2.4853477   0.0041938431      2.3881406   0.0039769903      2.5700924   0.0060970146
             60      2.6201454   0.0047796145      2.5192882   0.0041930116      2.7065462   0.0061820846
             70        2.69697   0.0050034129      2.5879031   0.0050071217      2.7738711   0.0062479716
             80      2.6921879   0.0048190607      2.5786869   0.0044708244      2.7773403   0.0062789181
             90      2.6225864   0.0041657171      2.5073269   0.0038652009      2.7123018   0.0059325101
            100      2.5044197   0.0044053825       2.391705   0.0040683801      2.5831337   0.0058949731
            110      2.3554023   0.0040066994      2.2520434   0.0049360825      2.4300203   0.0057447567
            120      2.2001472   0.0049006721      2.0974153   0.0036656686      2.2818901   0.0053463073
            130      2.0301512   0.0036094332      1.9289612   0.0036172024      2.1021012   0.0050813014
            140       1.856602   0.0035730286      1.7605347   0.0035069495       1.927046   0.0049639474
            150      1.6932806   0.0035052185        1.60151   0.0031304483      1.7551443   0.0045171298
            160      1.5344602   0.0031324925      1.4499717   0.0032145137       1.596961   0.0042911169
            170       1.378228   0.0032701455      1.2976686   0.0034474096      1.4385364   0.0044571812
            180      1.2420125   0.0028298599      1.1678423   0.0027166349      1.2962311   0.0038252061
            190      1.1145267   0.0026795198      1.0451064   0.0026310204      1.1653457   0.0035613197
            200     0.99471624   0.0024974393     0.92998921   0.0025877744      1.0412872   0.0033272647
            210      0.8924002    0.002348132     0.83290609   0.0022196707     0.93824506   0.0031333444
            220     0.79655933   0.0022702521     0.74308087   0.0023168064      0.8367711   0.0029752183
            230     0.71167337   0.0020895236       0.660871   0.0020189767     0.74866426    0.002790505
            240     0.63536872   0.0019585357     0.59008028   0.0019602277     0.67139925   0.0031802204
            250     0.56973387   0.0018933853     0.52843746   0.0020453809     0.59944613    0.002459511
            260     0.50976581   0.0017371259     0.47376294   0.0038641521     0.54033115   0.0023439337
            270     0.45810671   0.0016792315     0.42317326   0.0015968166     0.48546014   0.0021721212
            280     0.40574405   0.0017183161     0.37472308   0.0017420478     0.43069558   0.0020770236
            290     0.36893037   0.0014971308     0.33865037   0.0014846057     0.39364612   0.0020210698
            300     0.32702936   0.0020816055     0.30073557   0.0015295497     0.34753943   0.0018576582
            310      0.2925315   0.0013863684     0.26757527   0.0012542378     0.31090803   0.0017736983
            320      0.2625004   0.0012929953     0.23991784     0.00137273      0.2810174   0.0016443545
            330     0.23634136   0.0012024452     0.21554454   0.0013220491     0.25437995   0.0015255718
            340     0.20997704   0.0011191129     0.19147831   0.0011025417     0.22472177   0.0015256654
            350     0.19115316   0.0010800966     0.17396715   0.0010053808      0.2050708   0.0013878367
            360     0.16950412  0.00098845451     0.15380526  0.00091123523     0.18212333   0.0012807122
            370     0.15502063   0.0009578012     0.14037121  0.00092181085     0.16703748   0.0012283165
            380     0.13830286  0.00088935496     0.12501119  0.00083810143     0.14943116   0.0011486789
            390     0.12559875  0.00088791893     0.11334796  0.00087255986      0.1355314   0.0010927348
            400     0.11309415  0.00081374829     0.10186396  0.00080450575     0.12133412  0.00096621245
            410     0.10064117  0.00079475283    0.091001895  0.00077003226     0.10876708  0.00099307301
            420    0.092239496  0.00074065552    0.083173083  0.00072716682     0.10013302  0.00093638054
            430    0.083328991  0.00071577726    0.074885496  0.00070981793    0.090033307  0.00091024296
            440    0.077230679  0.00067862355    0.069338233  0.00065689368    0.082858969  0.00079408938
            450    0.069286105  0.00071456123    0.062289383  0.00084623138    0.074242942  0.00087770116
            460    0.061882992  0.00062142159    0.055699093  0.00066304996    0.067143226  0.00076086465
