#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0026331017    0.001739897   0.0020960521   0.0015283172   0.0034094764   0.0019496933
           -3.8    0.029499091   0.0048447695    0.024762191   0.0060000242    0.039233386   0.0064625156
           -3.6     0.13270064        0.02374     0.11645803    0.036511971     0.16685647    0.013013911
           -3.4     0.44447139    0.020306134     0.43075279    0.026591319     0.48630955     0.21883104
           -3.2      1.2523766    0.028564328      1.2015727    0.033227654      1.3437259    0.068674452
             -3      2.9541562    0.053004643      2.8098445    0.072352466      3.1532933    0.054074186
           -2.8      6.1982819    0.094911485      5.8778043    0.078030372      6.3928718    0.088235798
           -2.6      11.360429     0.15843294      10.671408    0.071808512      11.689749    0.096411592
           -2.4      18.252711     0.17733721       17.32279     0.34189339      19.231341     0.12749842
           -2.2      28.257552      0.1037759      26.957119     0.11744977      29.468067     0.14698747
             -2       40.65928     0.12202813      38.675383     0.12933146      42.502031     0.17036977
           -1.8      55.266921     0.13846319      52.508334     0.13128188       57.54982     0.19393325
           -1.6      72.017397     0.15573987      68.441087     0.15107768      74.835672     0.23941779
           -1.4      89.581943     0.17154307      84.880126     0.15522656      93.125129     0.23847472
           -1.2      108.39993     0.18695771      102.87751     0.17709675      112.52001     0.26662703
             -1      125.49837     0.20391875      118.81769     0.18938551      130.70556     0.28235889
           -0.8       141.1748     0.21045985      133.59749       0.196785      146.83315     0.37766707
           -0.6      153.73306     0.21949632      145.61347     0.21049874      159.76469     0.30507696
           -0.4        162.814     0.22622413      153.99744      0.2158431      169.56597     0.30988763
           -0.2      167.42638     0.22843199      158.51487     0.21683812      174.02853     0.31466337
              0      167.58094     0.23034321      158.65299     0.22554369      174.15237      0.3225632
            0.2      162.48703     0.22722784      153.91897     0.21927982       168.6794     0.31682381
            0.4      154.04956     0.22086346       145.7398     0.20591998       160.4707     0.30888138
            0.6      140.95151     0.21345979      133.50853     0.20724645      146.58174     0.29854566
            0.8      125.33378      0.2037522      118.83828     0.19991731      130.19901       0.281874
              1      107.78615     0.21767354      102.26448     0.20868493      111.88516     0.29274159
            1.2      89.930128     0.17828186      85.228889     0.16622281       93.58899     0.24908604
            1.4      72.051144     0.15787503      68.472319     0.15257758      74.784774     0.23236351
            1.6       55.35104     0.13965399      52.655643     0.19736301      57.661679     0.20755797
            1.8      40.637545     0.12021523       38.58626     0.11964578      42.311935     0.17761909
              2      28.243316     0.10526024      26.996777     0.21056338      29.388465     0.15436197
            2.2       18.44607     0.10426684      17.402228     0.10716986      19.234627     0.12715249
            2.4      11.014631    0.066589804       10.53811    0.070610096      11.425087      0.1009784
            2.6      6.2014159     0.13516259      5.8175918    0.075734055      6.4319293    0.078803296
            2.8      3.0342732    0.048419062       2.898729    0.063964403      3.1981176    0.067674044
              3       1.302639    0.040881761      1.0025757     0.14572701      1.3320173    0.038528113
            3.2     0.41117993    0.067862481     0.34603508     0.11556244      0.5370786    0.034400773
            3.4    0.035276347     0.10239132   -0.031849009     0.16873317     0.12830939    0.023099688
            3.6    0.028658582   0.0042586327    0.024425057   0.0061479417    0.063445589    0.029949444
            3.8    0.015123843    0.014504586   0.0052432056   0.0044543754    0.032837521     0.03141363
              4    0.015123843    0.014504586   0.0052432056   0.0044543754    0.032837521     0.03141363
