#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      95.158532      0.1648736       79.74897     0.12644642      111.86087     0.25596027
            0.2        94.2035      0.1640005      79.053363     0.12712824      110.45093     0.25784082
            0.4      93.247737     0.16486072      78.267983     0.12641481      109.42338      0.2584062
            0.6       92.71875      0.1637219      77.843972     0.12681115      108.82995     0.25878549
            0.8      93.072655     0.16410007      78.104775     0.12647997      109.43585     0.25718548
              1      94.218456     0.16653216      79.160259     0.12697576      110.57119     0.25969218
            1.2      97.137214     0.16848199      81.609884     0.12843732      114.17395     0.26139575
            1.4      101.58563     0.17293754      85.507729      0.1332797      119.11729     0.27334533
            1.6      108.32312     0.17875426      91.095615     0.13624365      127.34582     0.27877061
            1.8      117.41031     0.18656477      98.938563     0.14359371      137.64624     0.29645844
              2      129.10355     0.19643893      108.82629     0.14943866      151.31278     0.30972013
            2.2      143.91909     0.20810097      121.46017     0.16083996      168.59434     0.33683216
            2.4      162.61142     0.22202525       137.3371     0.16972176      190.28962     0.35747524
            2.6      184.48953     0.23744608      155.96717     0.18217904      215.70396     0.38790994
            2.8      206.07206     0.25218737       174.2677     0.19228182       240.9392     0.41320285
              3      154.92986     0.22069887       131.0243      0.1668396      181.08559     0.36276982
            3.2      154.92986     0.22069887       131.0243      0.1668396      181.08559     0.36276982
