#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.12945246   0.0062787339     0.10061963   0.0044096263     0.16571357    0.010239597
           -3.8     0.26166013    0.008669273     0.20245955   0.0061297577      0.3415121    0.014202644
           -3.6      0.4222112    0.011322377     0.33452146   0.0085722421     0.52893732    0.020240456
           -3.4     0.74530479    0.014999616     0.59292109    0.010924188     0.93108244    0.024640743
           -3.2      1.2336107    0.019302571     0.98313758    0.013975159      1.5475312    0.031285153
             -3      2.0577374     0.02472864      1.6462681    0.017990421      2.5686837     0.03966036
           -2.8      3.3268998    0.031661774      2.6852875    0.023305243      4.1053088    0.051341419
           -2.6       5.102441    0.039425734      4.1475545    0.029099475      6.2377216    0.063370349
           -2.4      7.7848945    0.049040859      6.3898714    0.036794233      9.3920641    0.079770195
           -2.2      11.856624    0.060426671      9.7583627     0.04493545      14.298378    0.096245951
             -2      17.495902    0.073717431      14.541531    0.055655194      20.789077     0.11866049
           -1.8      25.566185    0.088783806      21.351818    0.068340685       30.23285     0.14422605
           -1.6      36.686164     0.10651674      30.796137    0.081056895      43.087064     0.17065159
           -1.4        51.9918     0.12613203      43.689409    0.096169675      61.029627      0.2002922
           -1.2       71.86781     0.14826079      60.592567     0.11349593      84.084423     0.23561089
             -1      96.410018      0.1709445      81.349634     0.13143063      112.77291     0.27298028
           -0.8       124.6611     0.19308544      105.38307     0.14893687      145.38613     0.30966478
           -0.6      153.94985     0.21347331      130.02035     0.16352869      179.94984     0.34042765
           -0.4      178.94201     0.22893399      151.13301     0.17769974      209.25333     0.36887644
           -0.2        193.203     0.23848198      163.15411     0.18296261      225.94098     0.38237696
              0      193.02103     0.23759449      163.04934     0.18232683      225.60579     0.37767823
            0.2      178.33532     0.22885643      150.67926       0.175085      208.35886      0.3619528
            0.4      154.05124     0.21396967      130.00471     0.16317961      180.35745     0.33782396
            0.6      124.67559     0.19333622      105.30171     0.14735327      145.66766     0.30738162
            0.8      96.477316     0.17095857      81.453148     0.13220278      112.65471      0.2758743
              1      72.020608     0.14786804      60.712715     0.11410874      84.287147     0.23734621
            1.2      52.146176     0.12629937      43.846991    0.095772175      61.245973      0.1990482
            1.4      36.951314     0.10651374       30.94517    0.080641349      43.592993     0.16819599
            1.6      25.735009    0.089075387      21.476058    0.067957449      30.471306     0.14371979
            1.8      17.572502    0.074201592      14.599356    0.055481849      20.902069     0.11809349
              2      11.907319    0.060441485       9.815271    0.045693901      14.324472    0.097801165
            2.2      7.9271604    0.049191473      6.4813708    0.036759693      9.6523615    0.079476729
            2.4       5.182911     0.03959801      4.2029546    0.029114104      6.3825083    0.063111456
            2.6      3.2678846    0.031542846      2.6379036    0.023100831      4.0381016    0.050912227
            2.8      2.0687162    0.025815611      1.6583245     0.01871127      2.5737696    0.043200103
              3      1.2578335    0.019665194      1.0058467    0.014154596      1.5673444    0.032156678
            3.2     0.77938961    0.015159696     0.61611582    0.010994723     0.99055741    0.024685506
            3.4     0.43823738    0.011538785     0.34627097   0.0088592758     0.55087351    0.021812374
            3.6     0.25998114   0.0087973481     0.20169658    0.006248013     0.33705729    0.014381632
            3.8     0.14188798    0.006295627     0.10813496   0.0044419024     0.18923869    0.010291257
              4     0.14188798    0.006295627     0.10813496   0.0044419024     0.18923869    0.010291257
