#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0027924866   0.0016687393   0.0022284967   0.0010623339   0.0031100199   0.0019568687
           -3.8    0.029564069   0.0036902976    0.023573357   0.0025741038    0.038483919   0.0063700387
           -3.6     0.12570035   0.0073719093     0.10076914   0.0053131904     0.16241513    0.012710513
           -3.4      0.3750928    0.012762096     0.31239721   0.0091015241     0.43896629     0.02205645
           -3.2      1.0717623    0.021051943     0.89461419    0.014952594      1.2655585    0.036365352
             -3      2.5152179    0.030971723      2.0903272    0.022373716      3.0102022    0.053145494
           -2.8      5.1291735    0.044517156      4.2918238      0.0326265      6.0446359    0.089948485
           -2.6      9.3703939    0.056952937      7.8541798    0.041995086       11.03115    0.093594104
           -2.4      15.437161    0.074527141       12.96146     0.05477545      18.189723     0.12468802
           -2.2      23.620104    0.087810585      19.880421    0.066161262      27.740007     0.14272616
             -2      33.955483     0.10386534      28.565544    0.078356369      39.954232     0.16578014
           -1.8      46.108671     0.12032171      38.858791    0.091099085      54.029254     0.19099781
           -1.6      59.985712     0.13568655      50.647873     0.10514644      70.080212      0.2194064
           -1.4       74.56285     0.14990336      62.866291     0.11409597      87.288806     0.23500474
           -1.2      90.021365     0.16408704      75.983398     0.12715171       105.2111     0.26330216
             -1      104.18674     0.17459597      87.780459     0.13416098      122.18034     0.27310812
           -0.8      117.12828     0.18449137      98.615482     0.14107584      137.48172     0.28623789
           -0.6      127.38244     0.19156039      107.35705     0.14847909      149.21853     0.30213971
           -0.4      134.96152     0.19654152      113.58852     0.15092414      158.42653     0.30554821
           -0.2      138.61717     0.19932265      116.75045     0.15315797      162.48491     0.30974248
              0      138.77415     0.19973018      116.91384     0.15617817      162.58954     0.31939619
            0.2       134.4925      0.1972559      113.34398     0.15233388      157.44953     0.31372153
            0.4      127.69627     0.19394203      107.49181     0.14806316      149.91701     0.30470072
            0.6      116.86148     0.18549373       98.47432     0.14335489      136.96035     0.29560222
            0.8      104.01326     0.17637379      87.708722     0.13517927      121.73251     0.27867795
              1       89.35572     0.16512042       75.39718     0.12652167      104.47873     0.26349638
            1.2      74.812704     0.15253003       63.05096     0.11617506      87.657529     0.24495819
            1.4      60.014343     0.13809961      50.665707     0.10790744      70.103477     0.23111628
            1.6      46.198379     0.12326724      38.924171    0.092496474      54.195161     0.20009214
            1.8      33.960657     0.10657761      28.609331    0.080022537      39.797113     0.17487079
              2       23.55589    0.090593122      19.824164    0.067494444      27.650448     0.15135082
            2.2      15.420407    0.074494939      12.951651    0.055318957       18.16152      0.1258728
            2.4      9.2007849    0.058040485      7.7281805    0.043187723      10.782559     0.10015335
            2.6      5.1291861    0.044598114      4.2813685    0.031947842      6.0848772    0.075708837
            2.8      2.5298935    0.033775669      2.1049892    0.023669939      3.0060819    0.060822846
              3      1.0645183    0.021344917     0.88174092     0.01501276      1.2766664    0.036807774
            3.2     0.39979176    0.014697614     0.32505259   0.0098636568     0.49711309    0.027046743
            3.4      0.1083531   0.0077581001    0.090248401   0.0053053258     0.12703202    0.013787796
            3.6    0.024526353   0.0038833421    0.019275763   0.0026442139    0.033290543   0.0070058167
            3.8   0.0015957066    0.001738794   0.0013491117   0.0011727381   0.0019162434   0.0030485455
              4   0.0015957066    0.001738794   0.0013491117   0.0011727381   0.0019162434   0.0030485455
