#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      12.133038    0.052440896      10.742685    0.045727486       13.52931    0.060456693
            0.2      34.537131    0.087898605      30.581771    0.076673334      38.515464     0.10125292
            0.4       53.00858     0.10828023      46.938943     0.09453032      59.131191     0.12478617
            0.6      67.641578     0.12182012      59.882725     0.10629656      75.500086     0.14025641
            0.8      78.993814     0.13115798      69.902926     0.11441538      88.250202     0.15099596
              1      87.907966     0.13812482      77.785744      0.1205318      98.247363     0.15906749
            1.2      95.667552     0.14376932      84.625673     0.12544521      106.98693     0.16565436
            1.4      103.16356     0.14919662      91.252407     0.13009488      115.40811     0.17186468
            1.6      110.81091     0.15439865      98.014128     0.13461651      123.99528     0.17789873
            1.8       119.3738     0.16027949      105.61985     0.13979454       133.5519     0.18496589
              2      130.14401     0.16704131      115.18118     0.14571242       145.5755     0.19286878
            2.2      143.78325     0.17571533      127.26646     0.15311616      160.83514     0.20306135
            2.4      160.44333     0.18490445      142.11556      0.1622649      179.31908     0.21669528
            2.6      180.88569     0.19571291       160.2379     0.17059389      202.17456     0.22614095
            2.8      203.81603     0.20718258      180.64517     0.18063325      227.64828     0.23988344
              3       206.1519     0.20856027      182.65406     0.18166782      230.34169     0.24159371
            3.2        100.179     0.14878606      88.281579     0.12914292      112.72283     0.17345034
            3.4      56.220637     0.11253331      49.281215     0.09713383      63.694743     0.13168397
            3.6      34.992324     0.08920846      30.559452    0.076888931      39.835385     0.10505004
            3.8      22.542904     0.07195622      19.627528    0.061725512      25.764119    0.084720185
              4      14.889903    0.058672002      12.929022    0.050205429      17.077456    0.069337293
            4.2      10.159789    0.048443866      8.7956426    0.041384076      11.697668    0.057310201
            4.4      6.7917729     0.03983327      5.8673409    0.033913222      7.8412956    0.047254845
            4.6      4.7497062    0.033274241      4.0971655    0.028295493      5.4949835    0.039509274
            4.8      3.2598273    0.027541467      2.8072822     0.02340091      3.7789516    0.032715475
              5      3.2598273    0.027541467      2.8072822     0.02340091      3.7789516    0.032715475
