# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      100.82512     0.14796378      89.052512     0.12878943      112.91317     0.17099984
            0.2      99.725191     0.14704174      88.063022      0.1280207      111.72315     0.16988479
            0.4      98.601969     0.14616497      87.073955     0.12725216      110.47815     0.16875344
            0.6      98.011856     0.14566065      86.547374     0.12681431      109.84926     0.16816252
            0.8       97.97068     0.14624295      86.521347     0.12719938      109.80436     0.16908318
              1      98.958537     0.14638034      87.387522     0.12746184      110.93855     0.16901482
            1.2      101.79528     0.14849119      89.899281     0.12928948      114.13308     0.17160852
            1.4      106.47521     0.15174442      94.027863     0.13211405      119.41129     0.17530308
            1.6      112.97647     0.15608251      99.800768     0.13593755      126.67035     0.18041022
            1.8      121.74058     0.16212057      107.59097     0.14124206      136.43834     0.18760576
              2      133.51267     0.16943794       118.0218     0.14756549      149.61531      0.1959988
            2.2      148.84097     0.17859859      131.61622     0.15553084      166.73499     0.20670063
            2.4      167.90288     0.18935812      148.55344     0.16585839      187.97055     0.22229885
            2.6      190.12313     0.20078884       168.2691     0.17482052      212.76085     0.23270238
            2.8      212.25829     0.21169994       187.9783     0.18428682      237.31503     0.24554882
              3      159.73248      0.1857822      141.47567     0.16178444      178.54187     0.21571904
            3.2      159.73248      0.1857822      141.47567     0.16178444      178.54187     0.21571904
