#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      37.944205    0.090697313      33.168536    0.078526192      43.289115     0.10564982
            0.2      38.767711    0.091778387      33.924338    0.079516662      44.163754     0.10686106
            0.4      40.002408    0.093383739       35.04195    0.080972559      45.498081     0.10873416
            0.6      42.297941    0.096049222      37.085143    0.083313679      48.051846     0.11164717
            0.8      45.451881    0.099673664      39.877913    0.086470797      51.576128     0.11580647
              1      50.244086     0.10478537       44.12166    0.090945198      56.936907     0.12163825
            1.2      57.016339     0.11167143      50.134134    0.097006959      64.482661     0.12960621
            1.4      66.318419     0.12038938      58.353879     0.10465371       74.91509     0.13973414
            1.6      79.571142     0.13164424      70.086722     0.11445195      89.728951     0.15251505
            1.8      98.655569     0.14627174      86.989484     0.12717978      111.03787     0.16932077
              2      125.76853     0.16451412       111.0346     0.14317023      141.25241      0.1904819
            2.2      164.64606      0.1869792      145.51604      0.1628028      184.53808     0.21631137
            2.4      220.08165     0.21436215      194.77128      0.1866332      246.06966     0.24810653
            2.6      294.40287     0.24406447      260.86016     0.21331735      328.39495      0.2846283
            2.8      379.95468     0.27307277      337.11385     0.23776721      422.79539     0.31661761
              3      308.32783     0.25049956      273.79947     0.21819806      342.56743     0.29017343
            3.2      308.32783     0.25049956      273.79947     0.21819806      342.56743     0.29017343
