#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.5302052     0.02703168      3.1335475     0.02392705      3.9327071    0.030466545
           -3.8      5.1179315    0.032518489      4.5388469    0.028765044      5.7077404    0.036650095
           -3.6      7.3206105    0.038895294      6.5028222    0.034453493      8.1462298     0.04380414
           -3.4      10.322076    0.046188158      9.1638293    0.040863975      11.496692    0.052095803
           -3.2        14.2435    0.055786469      12.647928    0.049146555      15.860385    0.064006265
             -3      19.304147    0.063101726      17.134809    0.055827205      21.509768    0.071261004
           -2.8      25.441316    0.072398884      22.580382    0.064035625      28.355055    0.081749497
           -2.6      32.728807    0.082019449      29.029101    0.072476601      36.512101    0.092641834
           -2.4      40.724634    0.091554353      36.118269    0.080854748      45.439212     0.10361458
           -2.2      49.222889     0.10058229      43.658887    0.090669406      54.902743     0.11980376
             -2      58.235659     0.10937295       51.59424    0.096407457      65.066708     0.12404628
           -1.8      66.849894     0.11712851      59.188353     0.10312041      74.753126     0.13304475
           -1.6      74.360784     0.12373059      65.785315     0.10877822      83.231918     0.14085512
           -1.4      80.044463     0.12860096      70.783348     0.11298189      89.630962     0.14690935
           -1.2      84.819985     0.13265859      74.938692     0.11630829      95.081491     0.15175117
             -1      87.701529     0.13534705      77.423238      0.1184391      98.399227      0.1551317
           -0.8      88.973312     0.13672425      78.514593     0.11951421       99.86605     0.15701856
           -0.6      89.651012     0.13773046      79.070816     0.12026798      100.68412     0.15861516
           -0.4      89.482654     0.13823166      78.906872     0.12052925      100.50939     0.15937727
           -0.2      89.413596      0.1386907      78.808248     0.12070946      100.49263     0.16017358
              0      89.396732     0.13932042      78.821129     0.12135846      100.42285     0.16162114
            0.2      89.140304     0.13990027      78.597298     0.12156219      100.14026     0.16220036
            0.4      89.713154     0.14094371      79.101278     0.12230579      100.79265     0.16353785
            0.6      89.208392     0.14128825      78.710043     0.12254891      100.14963     0.16425848
            0.8      87.570352     0.14093119      77.325298     0.12210265      98.221479     0.16401628
              1      84.797507     0.13945976      74.922155     0.12082472      95.051326     0.16262032
            1.2      80.262527     0.13662896        70.9726     0.11821962      89.880141     0.15941353
            1.4      73.981105     0.13209862      65.457919     0.11420493      82.790652     0.15434127
            1.6      66.609958      0.1262556      58.972016     0.10903671       74.48716     0.14781198
            1.8       58.23748      0.1189328      51.605053      0.1026544      65.056397     0.13948665
              2      49.287107     0.11010253      43.717092    0.095053583      54.986458     0.12937648
            2.2       40.77876     0.10059979      36.160149    0.086721692      45.510123     0.11820267
            2.4      32.614258    0.090646576      28.946145    0.078040946      36.352737     0.10673097
            2.6      25.329482     0.08025554       22.47772    0.069041444      28.233923     0.09456755
            2.8      19.324211    0.070219482      17.133687    0.060374656      21.562671    0.082870228
              3      14.294702    0.060527208      12.685284    0.052202368      15.929505    0.071952351
            3.2      10.363339    0.051645493      9.1933412    0.044374528      11.554476    0.061047356
            3.4      7.3568998    0.043522232      6.5209505    0.037391242      8.2125579    0.051482137
            3.6      5.0665188    0.036402512      4.5030021    0.031252065      5.6336893     0.04312727
            3.8      3.5777271     0.03049361      3.1776983    0.026197509      3.9810299    0.036121965
              4      3.5777271     0.03049361      3.1776983    0.026197509      3.9810299    0.036121965
