#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.3087471    0.026758725      2.9376361     0.02357176      3.6924409    0.030436697
           -3.8      4.8475568    0.032360572      4.3063298     0.02852329       5.404145     0.03677559
           -3.6      6.9975416    0.038736511      6.2205197    0.034177646      7.7921804    0.043950239
           -3.4      9.7799433    0.045818111      8.6874476    0.040386103      10.901732    0.052025592
           -3.2      13.545881    0.053903443      12.028096    0.047494834      15.105564    0.061238247
             -3      18.457502    0.062833695      16.382027    0.055336623      20.591838    0.071409778
           -2.8      24.408628    0.072181573      21.661268    0.063588755      27.232248    0.082126616
           -2.6      31.597235    0.081991605      28.039562    0.072235355      35.246194    0.093379151
           -2.4      39.532442    0.091595616      35.059911    0.080574359      44.129589     0.10419338
           -2.2      48.087542     0.10100553      42.662061    0.088865437      53.645459     0.11504805
             -2      56.506445     0.10958925      50.158571    0.098010748      62.962287     0.12996789
           -1.8       64.57992     0.11706648      57.294454     0.10292009      72.001851     0.13367678
           -1.6       71.70271     0.12344875      63.587508     0.10833608      79.967375     0.14080083
           -1.4      77.469631     0.12854192      68.719401     0.11275668      86.344293     0.14683946
           -1.2      81.320847     0.13207019      72.150039      0.1158553      90.584921     0.15124639
             -1      83.971578     0.13511894      74.493445     0.11819763      93.525459     0.15495346
           -0.8      85.214249     0.13598071      75.601452     0.11904656      94.877058     0.15602229
           -0.6      85.167019     0.13632379      75.539105     0.11918705      94.836677     0.15650552
           -0.4      85.208652     0.13681582        75.5651     0.11948649      94.891025     0.15726434
           -0.2      84.719468     0.13696924      75.133898     0.11949425      94.336647     0.15769623
              0      85.077645     0.13767708      75.440642     0.12004716      94.755294     0.15890752
            0.2      85.812417     0.13872512      76.056237      0.1207468      95.650252     0.16017679
            0.4      86.763713     0.13981648       76.86609     0.12165993      96.786121      0.1620148
            0.6      87.231594     0.14049939      77.239819     0.12205612      97.401577     0.16294758
            0.8      86.833515     0.14052207      76.839166     0.12188509      97.069167      0.1632507
              1      85.162387     0.13937981      75.300161     0.12089929      95.339011     0.16243173
            1.2      82.044355     0.13693617      72.461496     0.11858481      92.022766     0.15978285
            1.4      77.203029     0.13284626      68.097793     0.11493377       86.77965     0.15532908
            1.6      71.067949     0.12746636      62.596794     0.11013544      80.065736     0.14917545
            1.8      63.196886     0.12014641       55.55966     0.10377763      71.398581     0.14112204
              2      54.997281     0.11185707      48.265642    0.096446162      62.303157      0.1313987
            2.2      46.475399     0.10261847      40.699154    0.088396501      52.817702      0.1206999
            2.4       38.08876    0.092543231      33.270164    0.079654949      43.442774     0.10896351
            2.6      30.435613    0.082497759      26.527705    0.070995372      34.820722      0.0974038
            2.8      23.620514    0.072419591      20.542167    0.062216421      27.108971    0.085489302
              3      17.800706    0.062716954      15.448474    0.053853922      20.488333    0.074165855
            3.2      13.252002     0.05383213      11.477637    0.046204279      15.296622    0.063625153
            3.4       9.493003    0.045483651       8.211574    0.039039926      10.978303    0.053796563
            3.6      6.6569547    0.038102218       5.747068    0.032639943      7.7175574    0.045178222
            3.8      4.7163694    0.032004992      4.0731261    0.027444451      5.4659006    0.037954948
              4      4.7163694    0.032004992      4.0731261    0.027444451      5.4659006    0.037954948
