#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0046110807   0.0010416779   0.0040948872   0.0009031375   0.0051009071   0.0012076656
           -3.8    0.032277565   0.0026821143    0.028630872   0.0023491358    0.035751238   0.0030723156
           -3.6     0.13755177   0.0055272876     0.12270093   0.0048565007       0.151213   0.0062909883
           -3.4     0.43757486    0.009595898     0.38987389   0.0085107147     0.48273329    0.010751197
           -3.2      1.1574099    0.015551425      1.0295285    0.013789423      1.2807511    0.017451691
             -3      2.6999906    0.023549955      2.4022471    0.020946941        2.98911    0.026421419
           -2.8      5.3384207    0.035563555      4.7539597    0.031033866      5.9068798    0.041042658
           -2.6      9.7080397    0.044611895      8.6406783    0.039647847      10.759617    0.050038575
           -2.4      16.013237    0.057258018      14.249682    0.050855587      17.761428    0.064259714
           -2.2      24.635975    0.070941774      21.909794    0.062952284      27.363182    0.079739321
             -2      35.452184    0.085157539      31.507374    0.075669895      39.423714    0.096734027
           -1.8      48.134239    0.099236888      42.751499    0.089516321      53.579829     0.11764347
           -1.6      62.253338     0.11280762       55.20532     0.09956089       69.45882     0.12781586
           -1.4      77.847656     0.12610926      68.943627      0.1110872      87.016555     0.14336422
           -1.2      93.523673     0.13819713      82.745168     0.12152643      104.66474     0.15748668
             -1      108.33113     0.14886846      95.727867     0.13056764      121.42549     0.17007283
           -0.8      121.64834     0.15788485      107.40362      0.1382364      136.49347     0.18084682
           -0.6      132.73549     0.16527671      117.13198     0.14456779      149.02119     0.19000503
           -0.4       140.0226     0.17036225      123.50263     0.14869676      157.28429      0.1960293
           -0.2      144.83888     0.17385804      127.69497     0.15147156      162.79019      0.2004332
              0      144.50964     0.17465588      127.43002      0.1521558      162.37194     0.20217533
            0.2      140.01126     0.17330714      123.47819     0.15062907      157.30214     0.20075224
            0.4      132.85452      0.1703042      117.22589      0.1478283      149.17461     0.19768324
            0.6      121.57083     0.16464646       107.3447      0.1427105      136.38791       0.191512
            0.8      108.14622     0.15712194      95.570243     0.13605034      121.21094     0.18326136
              1      93.406347      0.1478607      82.639522     0.12779095      104.53597     0.17286624
            1.2         77.753     0.13681119      68.884013     0.11811958      86.861279     0.16048941
            1.4      62.332804     0.12436762      55.271574     0.10709464      69.553528     0.14627308
            1.6      48.291434     0.11081944      42.861574    0.095300171      53.815512     0.13090732
            1.8      35.231235    0.096059919      31.303644      0.0824062      39.195546     0.11374197
              2      24.685908    0.081409606      21.949765    0.069687412      27.426232    0.096894623
            2.2      16.071805     0.06656628      14.295246    0.056784113      17.834165    0.079647429
            2.4      9.7749432     0.05253999      8.7053117    0.044744085      10.821867    0.063187846
            2.6      5.4208792     0.03943822      4.8203862    0.033707766      6.0112137    0.048255014
            2.8      2.6752419    0.028038018      2.3823513    0.023715023      2.9582602    0.033960625
              3      1.1704602      0.0188411      1.0429788    0.015851635      1.2915983    0.023066441
            3.2     0.42261886    0.011335987      0.3757583   0.0095204969     0.46771672    0.013841771
            3.4     0.13523327   0.0064921459     0.12142706   0.0054615005     0.14747625   0.0079518084
            3.6    0.027275682   0.0031306263    0.024792196   0.0026607333    0.029093646   0.0038038345
            3.8   0.0058367318   0.0014067368   0.0054644532   0.0011891316   0.0060221398   0.0016294488
              4   0.0058367318   0.0014067368   0.0054644532   0.0011891316   0.0060221398   0.0016294488
