#          ptj1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              5              0              0              0              0              0              0
             10              0              0              0              0              0              0
             15  7.3152313e-06  1.2787388e-05  7.2152758e-06  1.2839668e-05  7.3267617e-06  1.2781011e-05
             20  2.6916563e-06  5.8485811e-06  2.6039008e-06  5.8599242e-06   2.706065e-06  5.8454562e-06
             25  6.0643438e-06  2.2825351e-06  4.4847898e-06  1.8571654e-06  9.9445054e-06  3.2437295e-06
             30  1.7591893e-05  2.9100538e-06  1.7510809e-05  2.9203055e-06  1.7608634e-05  2.9107433e-06
             35  3.4131715e-05  3.8646202e-06  3.2924662e-05  3.8316851e-06  3.4420268e-05  3.8804486e-06
             40   9.176213e-05  6.2574088e-06   9.053438e-05  6.2652994e-06  9.2559799e-05  6.3290237e-06
             45   0.0001768829  8.5773057e-06  0.00017612176  8.5550567e-06  0.00017971206  8.7081578e-06
             50   0.0003162799  1.1238695e-05  0.00031302409  1.1240365e-05  0.00031990744  1.1422666e-05
             55  0.00054799907  1.4978678e-05  0.00054456694  1.4992308e-05  0.00055706121  1.5233621e-05
             60  0.00095268889  1.9765546e-05  0.00094736751  1.9988482e-05  0.00096234237  2.0343513e-05
             65    0.001503798  2.4463978e-05   0.0014941516  2.4564259e-05   0.0015195814  2.5021057e-05
             70   0.0018997424  2.7169852e-05   0.0018873066  2.7080672e-05   0.0019273218  2.7638803e-05
             75   0.0022721929  2.9805628e-05   0.0022601428  2.9704217e-05    0.002305329  3.0531249e-05
             80   0.0026761695  3.2707707e-05   0.0026598615  3.2741026e-05   0.0027083697  3.3528104e-05
             85   0.0029883391   3.366992e-05   0.0029681995  3.3802033e-05   0.0030244157  3.4379541e-05
             90   0.0033471046  3.5909697e-05   0.0033262283  3.5856931e-05   0.0033856346  3.6456664e-05
             95   0.0036438869  3.7636414e-05   0.0036228291  3.7536444e-05   0.0036908273  3.8408091e-05
            100   0.0039518184   3.882744e-05   0.0039241316  3.8736868e-05   0.0039946984  3.9553827e-05
            105   0.0040295342  3.8912885e-05   0.0040041523  3.8944264e-05   0.0040680777   3.962651e-05
            110   0.0044002652  4.0066708e-05   0.0043760215   4.004226e-05   0.0044476204   4.086868e-05
            115   0.0044548687  4.0514843e-05   0.0044218606  4.0416737e-05   0.0044928891  4.0956304e-05
            120   0.0045887406  4.1253376e-05   0.0045514287  4.1135613e-05    0.004625805  4.1941119e-05
            125   0.0046127308  4.0886754e-05   0.0045820662  4.0687295e-05   0.0046562391  4.1387542e-05
            130   0.0047858763  4.2187707e-05   0.0047506334  4.2019855e-05   0.0048278782   4.274058e-05
            135   0.0048401468  4.2005825e-05   0.0048034447  4.1949668e-05   0.0048779958  4.2881014e-05
            140   0.0048251337   4.186789e-05    0.004792039  4.1694391e-05   0.0048646538  4.2374159e-05
