# YH_HIG19016-a        central        num_err    min (scale)        num_err    max (scale)        num_err
# afidR3
              0       0.504673   0.0024268872     0.47072058   0.0022208059     0.53869306   0.0031949768
           0.15     0.49002181   0.0023913645     0.45815953   0.0021916058     0.52030666   0.0031583454
            0.3     0.46497258   0.0023411598     0.43535266   0.0021535613      0.4911452   0.0030811778
           0.45     0.44231408   0.0022773943     0.41410384   0.0021031415     0.46877605   0.0029356625
            0.6      0.4010099   0.0021933908     0.37550633   0.0020437417     0.42506462   0.0028605559
           0.75     0.36385238   0.0020828956     0.34075328   0.0019178688     0.38587312   0.0027502284
            0.9     0.29501865   0.0013297442      0.2761579   0.0012296637     0.31180835   0.0017635479
            1.2     0.19420114   0.0009295259      0.1813937  0.00086078344     0.20694233   0.0012676042
            1.6    0.097103385  0.00067533321    0.090810472  0.00062190272     0.10361324  0.00094444645
              2    0.024393221  0.00030466201    0.022722251  0.00027808144    0.025945023  0.00041994649
            2.5    0.024393221  0.00030466201    0.022722251  0.00027808144    0.025945023  0.00041994649
