#  detaaa-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.26883839   0.0021926673     0.25103091    0.002002892     0.28553027    0.002876836
            0.1     0.26674788   0.0021779312     0.24810859   0.0019801303      0.2849745   0.0028906012
            0.2     0.26228235   0.0021882687     0.24399336   0.0019946851     0.28060378   0.0028865993
            0.3     0.26293133   0.0021661414     0.24478568   0.0019725346     0.28072866   0.0028045046
            0.4     0.25351213   0.0021357892     0.23638838   0.0019382824      0.2697907   0.0027742782
            0.5     0.24859767   0.0021039249     0.23159089   0.0019090037     0.26357268   0.0027180961
            0.6     0.24417589   0.0020906834     0.22720155   0.0019099452     0.26082118   0.0027328434
            0.7     0.23740591   0.0020830469     0.22122579   0.0019162069     0.25184521   0.0026544009
            0.8         0.2192   0.0019890103     0.20474024   0.0018133389     0.23300343   0.0025954269
            0.9     0.20301941   0.0018963563     0.18892794   0.0017152968     0.21589993   0.0024375378
              1     0.18933108   0.0018449635     0.17624497   0.0016785096     0.20004329   0.0023546372
            1.1     0.17413391   0.0017612997     0.16198652   0.0015970258     0.18605996   0.0022901184
            1.2     0.15411542   0.0016515232     0.14339596   0.0014956692     0.16466929   0.0021161827
            1.3     0.13289106   0.0015290379     0.12430506   0.0013854532     0.14092573   0.0019992021
            1.4     0.11156158   0.0014272811     0.10363602   0.0012801012     0.11872838   0.0018254694
            1.5    0.097061233   0.0013255535    0.090194212    0.001198463     0.10425698   0.0017332991
            1.6    0.078811239   0.0011988395     0.07304402   0.0010804908    0.083841612   0.0015666917
            1.7    0.064131033    0.001054563    0.059513625  0.00094188717    0.068199738   0.0014007915
            1.8     0.05036775  0.00093460685    0.046746088  0.00082600688     0.05391778   0.0012198659
            1.9    0.038560787  0.00082281332    0.035651696  0.00072883871    0.040945328   0.0010617901
              2    0.027679463  0.00068947764    0.025278836  0.00060320282    0.029699182  0.00088761542
            2.1    0.018764632  0.00057833697    0.017091082  0.00050323328    0.020956391  0.00075415229
            2.2    0.011410425  0.00044091803    0.010070977  0.00037317515    0.012409475  0.00057357953
            2.3   0.0056310245  0.00032011504   0.0050169096  0.00027034779   0.0062537549  0.00040907885
            2.4   0.0019819804  0.00019388481   0.0015004503  0.00015228602   0.0024901487  0.00025305094
            2.5      0.0011845  0.00018824648  0.00075645412  0.00013722628   0.0016507455  0.00024797703
            2.6   0.0014010743  0.00099068767   0.0011522734  0.00081490406   0.0017645143   0.0012476703
            2.7              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
            2.9              0              0              0              0              0              0
              3              0              0              0              0              0              0
            3.1              0              0              0              0              0              0
            3.2              0              0              0              0              0              0
            3.3              0              0              0              0              0              0
            3.4              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            3.6              0              0              0              0              0              0
            3.7              0              0              0              0              0              0
            3.8              0              0              0              0              0              0
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
            5.1              0              0              0              0              0              0
            5.2              0              0              0              0              0              0
            5.3              0              0              0              0              0              0
            5.4              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            5.6              0              0              0              0              0              0
            5.7              0              0              0              0              0              0
            5.8              0              0              0              0              0              0
            5.9              0              0              0              0              0              0
              6              0              0              0              0              0              0
            6.1              0              0              0              0              0              0
            6.2              0              0              0              0              0              0
            6.3              0              0              0              0              0              0
            6.4              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
            6.6              0              0              0              0              0              0
            6.7              0              0              0              0              0              0
            6.8              0              0              0              0              0              0
            6.9              0              0              0              0              0              0
              7              0              0              0              0              0              0
            7.1              0              0              0              0              0              0
            7.2              0              0              0              0              0              0
            7.3              0              0              0              0              0              0
            7.4              0              0              0              0              0              0
            7.5              0              0              0              0              0              0
            7.6              0              0              0              0              0              0
            7.7              0              0              0              0              0              0
            7.8              0              0              0              0              0              0
            7.9              0              0              0              0              0              0
              8              0              0              0              0              0              0
