#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.14061409    0.034068265     0.13826525    0.033944621     0.14164854     0.03411048
           -3.8    0.015302738     0.01039713   0.0075823305   0.0082256282    0.019860422     0.01145078
           -3.6     0.15888111    0.028711446     0.15441325     0.02843825     0.16185674    0.028895223
           -3.4    0.027250787    0.013034946   0.0031098311   0.0063577606    0.064687516    0.018615995
           -3.2     0.96086904    0.060058495     0.95823058    0.060019697     0.96289362    0.060220334
             -3       2.062586    0.086605552      2.0460298     0.08686364      2.0707637    0.087070507
           -2.8       3.651989     0.11471949      3.6310361     0.11483806      3.6651945     0.11507221
           -2.6      5.8430821     0.14432958      5.7873418      0.1445846      5.8656848     0.14484381
           -2.4      9.2120903     0.18520367       9.170372     0.18455256      9.2543161     0.18594564
           -2.2      13.633569      0.2272454      13.520891     0.22725265      13.691872     0.22794008
             -2      20.578004      0.2865936      20.401002     0.28741695      20.680883     0.28805086
           -1.8      31.107695     0.34968823      30.923304      0.3480359      31.264927     0.35262989
           -1.6      44.545188     0.42657508       44.29805     0.42404265      44.903951     0.43126414
           -1.4       63.25659      0.4986359      62.873798     0.49801952      63.662695     0.50822914
           -1.2      87.358733     0.58804735      86.777039     0.58510453      87.968064     0.59797131
             -1      115.87957      0.6796712      115.06367     0.68500587      116.91912     0.69523982
           -0.8      151.69282     0.77969077      150.82828     0.77983174      153.25533     0.80041072
           -0.6      185.55324      0.8494978      184.59307     0.84950653      187.42142     0.87052172
           -0.4      216.56919     0.93304677      215.41933     0.93911846      219.58342     0.97287099
           -0.2      232.01142     0.94333417      230.64711     0.94175269      234.60243     0.96155701
              0      233.78116     0.95584796      232.51512     0.94890524       236.6477     0.97134068
            0.2      215.17421     0.90891018      213.99286     0.90556548      217.64284     0.92687726
            0.4      186.67121     0.84907839      185.67819     0.84688089      188.55438     0.86294269
            0.6      150.35672     0.77078348      149.46758     0.76742018      151.92233     0.78307346
            0.8      116.73939     0.69053036      116.07623     0.69054937      117.75141     0.69874395
              1      87.417956     0.58968395      86.790177      0.5876418      87.963376     0.59822318
            1.2      62.639833     0.49645352      62.220488     0.49381995      63.051984     0.50048215
            1.4      44.557656     0.41788902      44.245788     0.41958964      44.824966     0.42395922
            1.6      31.308546     0.35165042      31.108455     0.34972604      31.476235     0.35622374
            1.8       21.02832     0.28345469      20.901544     0.28229641      21.135151     0.28446252
              2      14.018204     0.22717762      13.941331     0.22612906        14.0879     0.22815657
            2.2      9.0919126      0.1862017       9.037417       0.185315      9.1377131     0.18700556
            2.4      5.6955349     0.14217635      5.6661534     0.14163916      5.7197964     0.14267918
            2.6      3.4292803     0.11253817      3.4175224     0.11300159      3.4428993     0.11292911
            2.8      2.0527701    0.085498494      2.0399924    0.085564203        2.06105    0.085812432
              3      1.0618946    0.060807832      1.0600126    0.060697175      1.0694506    0.061254537
            3.2     0.56889805    0.043802954     0.55938887    0.043753571     0.57399449    0.044052384
            3.4     0.41155353    0.038029447     0.40926991     0.03814083     0.41203383    0.038086764
            3.6    0.020271084    0.012992759    0.018806145    0.012328665    0.021495282    0.013317801
            3.8      0.1281348    0.032880955     0.12659335    0.032761172     0.12968175     0.03281122
              4      0.1281348    0.032880955     0.12659335    0.032761172     0.12968175     0.03281122
