#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.29784237   0.0049494748      0.2957427   0.0049236622     0.29950463   0.0049713689
             10     0.89582847   0.0086238254      0.8900816   0.0085977013      0.9054603   0.0087956813
             20      1.4343788    0.010933004      1.4251775    0.010947572      1.4530455    0.011243916
             30      1.8747702     0.01265139      1.8601301    0.012719047      1.8996892    0.012981234
             40      2.2445339    0.013661754      2.2287353    0.013607741      2.2794304    0.014079674
             50      2.4934842    0.014295574      2.4782039    0.014392558      2.5316563    0.014604958
             60      2.6836677    0.014990708      2.6651124    0.014935365      2.7216765    0.015343446
             70      2.7068995    0.014808431      2.6886956    0.014843271      2.7439901    0.015126954
             80      2.7302955    0.014952837      2.7144603    0.014994496        2.77181    0.015409907
             90      2.6479569    0.014676355       2.630092    0.014619787       2.683144    0.015110615
            100      2.5009598    0.014242315       2.485542    0.014190233      2.5307731    0.014564131
            110      2.3657962    0.013856008      2.3504109    0.013787951      2.3942289    0.014127783
            120      2.2095414     0.01320216      2.1990225    0.013261628      2.2372666    0.013559942
            130      2.0480502     0.01270221      2.0373414    0.012712555      2.0665608     0.01300905
            140      1.8715698    0.012068643      1.8598756    0.012023902      1.8872082    0.012236567
            150      1.6721169    0.011528103      1.6628021    0.011475812      1.6858849    0.011683253
            160      1.5292304      0.0108725      1.5205357    0.010815895      1.5399853    0.011049606
            170      1.3778836    0.010162845      1.3704957    0.010117815      1.3866851    0.010227749
            180      1.2500909   0.0096606562      1.2417773   0.0096494903      1.2574959   0.0097265953
            190      1.1096782   0.0090955348      1.1037482   0.0090500233      1.1156923   0.0091529639
            200     0.99196194   0.0087332229     0.98686835   0.0086939324     0.99639002     0.00879185
            210     0.87492439    0.008189003     0.87074021   0.0081667154      0.8788167   0.0082494291
            220     0.78896225   0.0076415514     0.78489822   0.0076018659     0.79161616   0.0076754536
            230     0.69430435   0.0071550609     0.69117229   0.0071627007     0.69593693   0.0071705316
            240     0.62426277   0.0068437785     0.62142717   0.0068131336     0.62606504   0.0068674967
            250     0.54507714   0.0063782635     0.54283499   0.0063525025     0.54630462   0.0064319241
            260     0.49550959    0.006100765     0.49343999   0.0060775995     0.49663848   0.0061203759
            270      0.4486909     0.00576454     0.44650255   0.0057626822      0.4495487   0.0057717367
            280     0.39282317   0.0053652361     0.39122808   0.0053445507     0.39349639   0.0053778848
