# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.9336956     0.14357778      6.9292304      0.1434606      6.9454227      0.1438867
            0.2      19.993512     0.24677469      19.967924     0.24690268      20.079045     0.25160949
            0.4      30.645125     0.31345277      30.590721     0.31256025      30.697033     0.31462862
            0.6      38.045006     0.33704722      38.015249     0.33671089      38.926085      1.3123994
            0.8      42.748691     0.35972621       42.71419     0.35937036      43.805252      1.1207659
              1      47.052285     0.38487656      46.819881     0.40252361      47.221798     0.39414071
            1.2      51.095248      0.3950801      50.357926     0.89844247      51.190136     0.39593817
            1.4        54.3211     0.41541543      52.675521      2.4828018      54.551563     0.48219304
            1.6      61.906526     0.44539134      60.392933       1.831079      62.062897     0.44674281
            1.8      70.970399     0.95318016      70.503262      1.5829335      72.018143     0.50881115
              2       88.53007     0.61477185      88.317787     0.61198287      93.101881      3.7603949
            2.2      113.78215     0.62330338      113.25816     0.62059867       114.8462     0.63675891
            2.4      157.64496     0.92510758      156.66433     0.88204318      159.62127      1.1545543
            2.6      234.91631     0.95623371      233.24185     0.95378689      237.61427      1.0056659
            2.8      403.14586      2.4443538      401.74158      1.3585227      409.01052      1.5469418
              3      744.00832      1.8398519      739.40889       1.851065        754.625      2.0563437
            3.2      175.93343     0.97795745      175.26714     0.97307262      178.69065      1.6535713
            3.4      36.030206     0.45685577      33.467672      2.5459516      36.318534     0.47258623
            3.6      8.2285707     0.19063281      8.1912647     0.18999829       8.266368     0.19134536
            3.8      2.3753849     0.11656255      2.3613037     0.11575198      2.3879659     0.11730494
              4      0.5470366    0.052102257     0.54551212    0.052085314     0.55074165    0.052596563
            4.2     0.12714512     0.02450175     0.12669449     0.02441075     0.13472756    0.026584257
            4.4    0.030448896    0.013485506    0.030189563    0.013394002    0.030740471    0.013589943
            4.6   0.0060272085   0.0059658959  -0.0022944243   0.0078437985   0.0065082808   0.0061902698
            4.8              0              0              0              0              0              0
              5              0              0              0              0              0              0
