# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
              0      4.8440876    0.026039805      4.8250317    0.025802039      4.9341491    0.029135384
             10      5.8140175    0.024354502      5.7336631    0.056966531      5.8896837     0.05237349
             20      5.0315959    0.021522631      4.9904067    0.021461874      5.1095966    0.022194988
             30      4.1900457    0.044874776      4.1833603    0.030898517      4.3517615    0.077533566
             40      3.5882646     0.01979446      3.5707725    0.019690101      3.6521396    0.028682528
             50      3.0132308    0.016004998      2.9877459    0.015945075      3.0312838    0.016117565
             60      2.5557703    0.014314992      2.5359797    0.014453067      2.5702904    0.014451216
             70      2.1970114    0.012811466      2.1763533    0.013866711      2.2160794    0.013178728
             80      1.8825997    0.016168471      1.8691424    0.015276378      1.9258574    0.031582212
             90      1.5887627    0.019543971      1.5821756    0.031980552      1.6187391    0.010993174
            100      1.4282885   0.0099415798       1.421676   0.0099056282      1.4390977    0.010167713
            110      1.2279093   0.0092013542      1.2227124   0.0091632501      1.2345227   0.0094018014
            120      1.0600056   0.0084857398       1.056287   0.0084555411      1.0647968   0.0085293566
            130     0.92312145   0.0078791131     0.92019518    0.007846343     0.92630261   0.0080576515
            140     0.82014251   0.0072975569     0.81876683   0.0073359311     0.82462913   0.0076139094
            150     0.70839876   0.0067506858     0.67822205    0.032411319     0.70935177   0.0067621199
            160     0.63536881   0.0063900456     0.63389017   0.0063781981     0.63606308   0.0063995434
            170     0.56880222   0.0059262439     0.56800941   0.0059134916     0.57074411   0.0060678401
            180     0.50649737   0.0055088084     0.50562535    0.005499489     0.50685007   0.0055146946
            190     0.43899261   0.0050933487     0.43856735   0.0050869094     0.43942968   0.0051005986
            200     0.40019005   0.0048765924     0.39731535   0.0054586098     0.40040613   0.0048755347
            210      0.3540648   0.0045307714     0.35383715   0.0045271342     0.35418871   0.0045342455
            220       0.326491   0.0043235192     0.32634802   0.0043208754     0.32665642   0.0043391849
            230     0.29606457   0.0041071083     0.29592113   0.0041038853     0.29615433   0.0041109654
            240     0.26530336   0.0038505379     0.26464991   0.0039139231     0.26536921   0.0038514467
            250     0.24486579   0.0037019367     0.22247253    0.022706637     0.24675844   0.0039712428
            260     0.22060482   0.0035184168     0.22055582   0.0035170521     0.22064597   0.0035182083
            270     0.20499117   0.0039639535     0.20484858   0.0039268901     0.20506724   0.0039957596
            280     0.18511541   0.0032024474      0.1850574   0.0032035207     0.18516604   0.0032025449
            290      0.1708599   0.0030923478     0.17083055   0.0030918967     0.17317743    0.003916857
            300     0.15479725   0.0029178383     0.15468506   0.0029175311     0.15481776   0.0029183863
            310     0.14473988   0.0028169412     0.14468191   0.0028173698     0.14476548   0.0028172514
            320     0.12494056    0.002628886     0.12491938   0.0026294813     0.12497415   0.0026299046
