#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20063617   0.0040533264     0.19991328    0.004000913     0.21500331   0.0093987804
             10     0.59645563   0.0073659438     0.55995648    0.040726984     0.60668287    0.011410734
             20     0.94192576   0.0089180723     0.93931499    0.008863998      0.9659985    0.026443764
             30       1.282007    0.014853987      1.2754414    0.013860802      1.3013425    0.020403445
             40      1.5750779    0.013328368      1.5700938    0.013195442      1.6055197    0.018068465
             50      1.8203269    0.012913832      1.7780168     0.05153929      1.8295021    0.013163773
             60      2.0254545    0.016906843      2.0144521     0.01654626      2.0403662    0.016442801
             70      2.1504515    0.013625281      2.1327171    0.013964102      2.1605051    0.013718935
             80      2.2364908     0.01426837      2.2235759    0.014211681      2.2563532    0.014569044
             90      2.2753991    0.015495955      2.2617452    0.015495897       2.293843    0.016302903
            100      2.2974532    0.013338009      2.2830011    0.013267631      2.3167526    0.013509552
            110      2.2589842    0.013427353      2.2464351    0.013719588       2.297279    0.025107896
            120      2.1414319    0.042512911       2.116566    0.051623787      2.1983768    0.013377136
            130       2.098314    0.013586174      2.0838214    0.013559408      2.1144639    0.014350919
            140      2.0167003    0.012904835      2.0031565    0.012819075      2.0353507    0.013071099
            150      1.8886034     0.01211645      1.8766034    0.012065759       1.907593    0.012252788
            160      1.7894314    0.011876897      1.7770178    0.011911194      1.8073532    0.012026735
            170      1.6555045    0.012148405      1.6445783    0.012059894      1.6727832     0.01276843
            180      1.5483144     0.01115807      1.5386309    0.011094092      1.5640723    0.011287769
            190      1.4282062    0.011417003      1.4189912    0.011293965      1.4419437    0.011135824
            200      1.3072376    0.010164463      1.2992199    0.010107823      1.3211038    0.010258739
            210      1.2064935   0.0097752165      1.1991567   0.0097455792      1.2203864    0.009994348
            220      1.0714848    0.019082103      1.0637454    0.031677623      1.0998768    0.010050344
            230     0.99090219   0.0089502867     0.98657577   0.0089092518       1.074641    0.074682716
            240     0.89728116   0.0089321698     0.89132676   0.0088836413     0.90575593   0.0091770297
            250     0.79857029   0.0080567212     0.79360415   0.0080126328     0.80659866   0.0081610612
            260     0.74086785    0.010324972     0.73660792    0.010234142     0.74972832    0.010550698
            270     0.64848658   0.0073685735     0.64469955   0.0073079059     0.65561995   0.0075011393
            280     0.58407282   0.0071911776     0.58103979   0.0072153473     0.59108892   0.0074142492
            290     0.53293583   0.0065836032     0.52869227   0.0066888726     0.53560037   0.0066160641
            300     0.47271387   0.0070149702     0.47030197   0.0070145669     0.47504782   0.0070345592
            310     0.42262974   0.0059242264     0.42088676   0.0059000818     0.45147221    0.024807381
            320     0.38732275   0.0055201687     0.38525946    0.005491532     0.39304899   0.0057979247
            330      0.3552962   0.0066153398     0.35383014   0.0065588403      0.3611766   0.0069885568
            340      0.3086163   0.0049627353     0.30709735   0.0049431758     0.31220726   0.0050154252
            350     0.27436745   0.0046321575     0.27312308   0.0046141352     0.27746165   0.0046849703
            360      0.2458073   0.0044490819     0.24476552   0.0044320602     0.24891074   0.0045057025
            370     0.22936061   0.0044779538     0.22828285   0.0044675492     0.23211463   0.0045392787
            380     0.20191877   0.0039759922     0.20107504   0.0039620226     0.20429576   0.0040164302
            390     0.17851987   0.0038093315     0.17781632   0.0037975352     0.18059258   0.0038536399
            400     0.15963385    0.003537716      0.1590331   0.0035262994     0.16137951   0.0035719705
            410     0.14752025   0.0034024154     0.14694182   0.0033902679     0.14920582   0.0034377256
            420     0.13208362   0.0032562862     0.13145292   0.0032365454     0.13391361   0.0033338416
            430     0.11703452   0.0031246377     0.11648819   0.0031051181     0.11837066   0.0031560576
            440     0.10670494   0.0028939586     0.10618485   0.0028810324     0.10796354   0.0029241363
            450    0.092532472    0.002705875    0.092039788   0.0026918612    0.093587201   0.0027344894
            460    0.084950339   0.0026909336    0.084448909   0.0026744647    0.086102884   0.0027248962
            470    0.075220235   0.0024271257    0.074808567   0.0024175984    0.076416021   0.0024813194
            480    0.069322826   0.0023377859    0.068935148   0.0023228157    0.070081714   0.0023637246
            490    0.063070058   0.0025427617     0.06261819   0.0025189278    0.063943646   0.0025928557
            500    0.055877892   0.0021020943    0.055669467   0.0020855447    0.056485312   0.0021284617
            510    0.051593642   0.0020717305    0.051172117   0.0020506454     0.05221423      0.0021021
            520    0.046025914   0.0019470434    0.045753171   0.0019327747    0.046537957   0.0019715637
            530    0.042752473    0.001833962    0.042174293   0.0020398747    0.043579707   0.0019656251
            540    0.040025749   0.0018593449     0.03971758   0.0018396331    0.040575266   0.0018960546
            550    0.036734984   0.0017937441    0.036386233   0.0017728511    0.037378288   0.0018508793
            560    0.035215892   0.0016597062    0.034939433    0.001646045    0.035567775   0.0016803157
            570    0.029783843   0.0015194892    0.029585686    0.001511473    0.030105336   0.0015332258
            580     0.02713347   0.0014742049    0.026894028   0.0014598034    0.027487936   0.0014936471
            590    0.026339918   0.0014696267    0.026097032   0.0014549354    0.026695798   0.0014917232
            600    0.023004029   0.0014315129    0.022769668   0.0014162463    0.023352545   0.0014540384
            610    0.020637425   0.0012982776    0.020449175   0.0013204227    0.020681465   0.0013125032
            620    0.018909597   0.0012038103    0.018692314    0.001191702    0.022232519   0.0032558941
            630    0.015115188   0.0012066699    0.014951024    0.001197637    0.015337994   0.0012197015
            640    0.014765745   0.0011582328    0.014629903   0.0011455148    0.014963349   0.0011790456
            650    0.014264293   0.0010594565    0.014157987   0.0010535967    0.014420369    0.001069117
            660    0.011487274  0.00098405193    0.011381813  0.00097863637    0.011619539  0.00099132765
            670    0.011543444  0.00094171514    0.011466812  0.00093673741    0.011658965  0.00095005192
            680    0.011584453  0.00099705977    0.011436133  0.00098085784    0.011779737   0.0010193217
            690   0.0099253707  0.00092157727     0.00980433  0.00091403029    0.010077423  0.00093214867
            700   0.0067419612  0.00076051602   0.0066703345  0.00075623762   0.0068381116  0.00076685632
            710   0.0082938774  0.00081023003   0.0081835202   0.0008005605   0.0084284734  0.00082262288
            720   0.0080856506  0.00080402364    0.007998686  0.00079745777   0.0082023498  0.00081336502
            730   0.0064425724   0.0007111387   0.0063666008  0.00070377427    0.006539265  0.00072066814
            740    0.005941648  0.00067114071   0.0058896664   0.0006669723   0.0060071301  0.00067677127
            750   0.0046077127  0.00074586674   0.0045499534  0.00070884629   0.0046824999  0.00078568222
