# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.6231075     0.13974836      5.6324771     0.11926998      7.6447191     0.16627404
            0.2      19.641577     0.24180738       16.85614      0.2092507      22.374145     0.28484611
            0.4      30.246302     0.30121712       26.02801     0.26246207      34.282085     0.35292671
            0.6      37.636849     0.33505575      32.501774     0.29188414      42.681213      0.3970602
            0.8      42.486995      0.3571559      36.815943     0.31341545      48.015078     0.42047053
              1      46.648886     0.37815559      40.627848     0.33410188      52.395081     0.44568705
            1.2      50.747375     0.39300357      44.373515     0.34706152      57.039964     0.46402861
            1.4       53.93116     0.41095912       47.44899     0.36621474      59.982982     0.47928641
            1.6      61.541118     0.44116855      54.613951     0.39759809      68.048305     0.51698404
            1.8      71.464515     0.48388909      64.005562      0.4395858      78.232857      0.5624784
              2      87.805839     0.54416349       79.38785     0.49898089      94.925998     0.62659739
            2.2      113.51819     0.62061498      104.07388     0.57497896      121.22067     0.72179765
            2.4      156.50279     0.74673481      145.23812     0.69643613      164.86164     0.87574167
            2.6      234.27734     0.93099345      219.85209     0.87718529      244.43157      1.0558521
            2.8      404.01183      1.2507902       383.7391      1.1779396        417.797      1.5049948
              3      742.93938      1.7703535      715.31626      1.6592892      778.39636      3.0435784
            3.2      175.05307     0.90240117      167.41474     0.84552987      186.19781      1.2901265
            3.4      35.294941     0.40383932      33.341926     0.36698514      38.133762     0.52767074
            3.6      7.7974588     0.18439213      7.2090708     0.15938566       8.516689     0.25088065
            3.8      1.7845138     0.08807258      1.5189108    0.072160556      2.1277496     0.12190699
              4     0.36013138    0.040165266     0.26338688    0.029709131     0.52369709    0.059778852
            4.2     0.10731568    0.039026523    0.039875811    0.026095878     0.15908715    0.052211968
            4.4    0.037743997      0.0466928    0.011423257    0.029585047    0.097637907     0.07918965
            4.6    0.080403934    0.075234781    0.041184157    0.046509104     0.15253651     0.14007016
            4.8              0              0              0              0              0              0
              5              0              0              0              0              0              0
