#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.2733793     0.10986127      2.8989251    0.093552835       3.753749     0.14213141
           -3.8      4.5607731     0.12845178      4.0691419     0.11086573      5.1324487     0.16399531
           -3.6      6.1619122     0.15095251      5.5397721     0.13174919      6.9000733     0.19141475
           -3.4      8.0258388     0.17586259      7.3080344     0.15552311      8.8088794     0.22147703
           -3.2      10.558833     0.20122126      9.6457388     0.17824984      11.488679     0.25293906
             -3      13.555967     0.22900808      12.366848     0.20377438      14.825334     0.28795378
           -2.8      17.594745     0.26311354      16.068827     0.23466501      19.142689     0.32867728
           -2.6      22.636847     0.29639628      20.851802     0.26484487      24.434452     0.37637904
           -2.4       27.84498     0.32711074       25.65298     0.29218942      30.063233     0.41008299
           -2.2      35.186485     0.37062476      32.687426     0.33459727       37.54348     0.46425888
             -2      43.379073     0.41986431      40.468298     0.38308812       46.27912     0.52956332
           -1.8      55.115734     0.46783433      51.288993     0.42896349      58.815393      0.5957285
           -1.6      66.644781     0.51404029      62.209367      0.4740945      71.259486     0.65891379
           -1.4      79.510568     0.55836832      74.213373     0.50895409      84.742338     0.72396591
           -1.2      94.493945     0.61243581      88.506081     0.56215876      100.10693     0.79450485
             -1      110.73984     0.66344224      103.67917     0.61084059      117.74274     0.87238443
           -0.8      127.76809     0.70963553      119.61616     0.64857724      135.05659     0.95402914
           -0.6      140.43682      0.7470032      131.70747     0.69362016      148.37594      1.0007064
           -0.4      151.92318     0.77220797      142.36099     0.71319894      161.34924      1.0299403
           -0.2       157.1804     0.78559154      147.24467     0.72647404      166.47424      1.0805492
              0       156.9389     0.78713742      146.95122      0.7309173        165.661      1.0826878
            0.2      151.72203     0.77536479      142.27045     0.71183839      159.83081      1.0880677
            0.4      140.13872     0.75192021      131.34887     0.70489971      147.16043      1.0189245
            0.6      126.14117     0.70250921      117.80805     0.64761571      133.39168     0.95133264
            0.8      110.87424     0.66144129      103.73631     0.60532413       117.7172     0.90284758
              1      94.363261     0.60978321      88.254667     0.56054836      100.55401     0.83377861
            1.2       79.16012     0.56600491      74.023302      0.5181176      83.643904     0.74976486
            1.4      66.223578     0.51250455      61.901515     0.47218089      70.466274     0.68230098
            1.6      54.247868     0.47119419      50.486792      0.4320857      57.919063     0.61149434
            1.8      43.485242     0.41021613      40.542372     0.37107791      46.159962     0.52757259
              2      34.929257     0.36990733      32.549844     0.33465528      37.074459     0.47847107
            2.2      27.942005     0.32867858      25.703648     0.29347749      30.336768     0.42112687
            2.4      22.714925     0.29345494      20.841332     0.26200075      24.585439     0.37296788
            2.6      16.980808     0.25604098      15.540889     0.22766396      18.448776     0.32991664
            2.8      13.450468     0.22618005      12.253046      0.1991415      14.612216     0.29003236
              3      10.554929     0.19895301      9.6706303     0.17578691      11.462871     0.25658848
            3.2      7.9665958     0.17238693      7.2162452     0.15004951      8.8100573       0.220009
            3.4      6.1793984     0.15068267      5.5644108     0.13141776      6.8492795     0.19211596
            3.6      4.6315915     0.13348226      4.2044755     0.11630666      5.0947234     0.16950274
            3.8      3.5608809     0.11431726      3.1564491    0.099036472      4.0249857      0.1447844
              4      3.5608809     0.11431726      3.1564491    0.099036472      4.0249857      0.1447844
