#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      42.274745     0.42773185      37.629954     0.37488877      47.501058     0.56438117
            0.2      42.419474      0.4049658      37.887197     0.36027375       47.41233     0.53746553
            0.4      43.706998     0.40408508      39.148192     0.35804163      48.358253     0.53180196
            0.6       46.89434     0.42461681      42.178171     0.38170568      51.668761     0.55512482
            0.8      50.879064     0.43677594      45.847789     0.39299363       55.84165     0.57381508
              1      56.579477     0.45960079      51.052228     0.41165655      62.138275     0.61150559
            1.2      64.258076     0.49189918      58.326975     0.44926473      69.990812     0.66323538
            1.4      75.033135     0.53185082      68.372078     0.48234823      80.839442     0.71966846
            1.6      91.110889     0.58658702      83.450369     0.53587509       98.47048     0.77695715
            1.8      112.87298     0.65463739      104.01535     0.60145332      121.67192     0.89335684
              2       146.3482      0.7463003      135.80991     0.69124577      157.03152      1.0262796
            2.2      193.44984     0.85894028      180.57732     0.79275902      205.04242      1.1489647
            2.4      259.00444      1.0085595      243.46725     0.94224687        273.583      1.3624626
            2.6      346.91532      1.1498098      328.00182      1.0711538      364.83262      1.5433645
            2.8      446.91271      1.3137047      424.79977       1.244162      465.73865      1.7727429
              3      360.74332      1.2039062      343.43222      1.1307649      376.00251      1.5901404
            3.2      360.74332      1.2039062      343.43222      1.1307649      376.00251      1.5901404
