#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.4670603     0.16526041      3.4556311     0.16514243      3.4919829     0.16622775
           -3.8       4.665551     0.18756992      4.6568562     0.18722793      4.7316014     0.19318468
           -3.6      6.3677713      0.2192935      6.3411352     0.21829855       6.417207     0.22052389
           -3.4      8.5477592     0.25908125      8.5122131      0.2581713       8.615573      0.2614468
           -3.2      11.154948     0.29578368      11.123745       0.300264      11.284999     0.30908843
             -3      14.733606     0.35888414      14.666709      0.3574982      14.851982     0.36352247
           -2.8      18.672818      0.6869831      18.590371     0.68456773       18.88723     0.70420299
           -2.6      23.443298     0.42734294      23.344598     0.42604232      23.639489     0.43161282
           -2.4      28.282232     0.49060468      28.155022     0.48726551      28.596993     0.51952421
           -2.2      35.172245     0.52131135      35.017332     0.51938127      35.445438      0.5247314
             -2      43.892154     0.61988049      43.698189     0.61695707      44.346643     0.63228614
           -1.8      55.183005     0.67640565      54.947326     0.67404517      55.693913     0.68227779
           -1.6      66.626305     0.73118048      66.377512     0.72937063      67.349847     0.74327969
           -1.4      79.072195     0.79455912      78.758748     0.79167801      79.885558     0.80360382
           -1.2      94.933238     0.88543844      94.582921     0.88157406       96.11575     0.92522114
             -1      111.79026      1.1170137      111.20985       1.043754      113.52879      1.3327682
           -0.8       128.8042      1.1650404       128.3866      1.1724123      130.35449      1.1905269
           -0.6      139.64438      1.0454274      139.22901      1.0430138      141.33639      1.0593291
           -0.4       151.5992      1.1175436      151.21757       1.114202      153.53004      1.1403208
           -0.2      157.04401      1.1229689      156.59046      1.1171859      159.11451      1.1513652
              0      156.91327      1.1142576      156.46179      1.1069765      158.99631      1.1469416
            0.2      153.46072      1.9743433      152.43423      1.4955485      155.95999      2.5898791
            0.4      140.72227      1.0785343      140.29739      1.0755152      142.46362      1.0903174
            0.6      127.61611      1.0023756      127.19771      0.9996833      129.15005      1.0146014
            0.8      110.54895      1.1305649       110.1818      1.1255831      111.83505       1.154886
              1       95.37912     0.97932096      95.014558     0.97259754      96.506162      1.0030359
            1.2      79.636876     0.90817082      79.311013     0.90477693       80.49719     0.93050204
            1.4      66.915113     0.73257005      66.635271     0.73070507      67.646456     0.74334851
            1.6      54.252187      0.7442723      54.021511     0.74025257      54.809598     0.75361978
            1.8      44.840359      1.2685015      44.532897      1.1651336      45.232517       1.409118
              2      35.598195     0.58955775      35.444348     0.59126341       35.97761     0.61593315
            2.2      28.949601     0.48499418      28.804923     0.48244494      29.186632     0.48985936
            2.4      22.777792     0.41911729      22.683105     0.41785355      22.965452     0.42309536
            2.6      17.067873     0.36721759      16.985279     0.36554056      17.195289     0.36995418
            2.8      13.587322     0.33725971      13.570195     0.32837602      13.679074     0.33040197
              3      10.572225     0.28770501      10.520508     0.28719733      10.644448     0.28890346
            3.2       8.054055     0.24709763      8.0162993     0.24609648      8.1164481     0.24871378
            3.4       6.675728     0.22295607      6.6455367     0.22212588       6.727582     0.22458009
            3.6      4.8772136     0.19576161      4.8535717     0.19483075      4.9126923     0.19751881
            3.8       3.759451     0.16785646      3.7401735     0.16703956      3.7863134     0.16909935
              4       3.759451     0.16785646      3.7401735     0.16703956      3.7863134     0.16909935
