#        pttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20929745   0.0061955723     0.20870503   0.0061679915     0.21663255    0.006566445
             10     0.59840519     0.01053307     0.59627443     0.01033711     0.61236146    0.011609035
             20     0.94580004    0.012839119     0.94283115    0.012654198     0.96433645    0.013919783
             30      1.2829013    0.015048115      1.2785473    0.014996664      1.3020069    0.015745314
             40      1.5577416    0.017657944      1.5517594    0.017501063      1.5756362    0.017234003
             50      1.7918944    0.024180921       1.784199    0.024255351      1.8130125     0.02512011
             60      1.9937864    0.019095549      1.9853698     0.01906884      2.0151367    0.019587624
             70      2.1749855    0.021744625      2.1657502    0.021613877      2.1981461    0.022252391
             80      2.2172908    0.018704152       2.207442    0.018645286      2.2380679    0.018911317
             90      2.3058061    0.019910995      2.2954321    0.019828283      2.3304383    0.021345688
            100      2.2931011    0.029079768      2.2806885    0.027266577      2.3122986    0.028350507
            110      2.2576394    0.018697764      2.2473849    0.018620611      2.2787557    0.018897001
            120      2.1756038    0.018713044      2.1660517    0.018661933      2.1959331    0.018884222
            130      2.1307298     0.01873581      2.1221354    0.018690114      2.1518973    0.018980798
            140      2.0237333    0.017792375      2.0153703    0.017737087      2.0434481     0.01795583
            150      1.9097985    0.017807123      1.9019019    0.017730145      1.9282847    0.017941001
            160      1.7501251    0.016828566      1.7435065    0.016785984      1.7689279    0.017079763
            170      1.6887334    0.016688415      1.6822767    0.016634123      1.7063647    0.016856105
            180      1.5517175    0.019234731      1.5464633    0.018991702      1.5676433    0.019760383
            190      1.4097446    0.015164784      1.4047612    0.015126493      1.4249021    0.015321282
            200      1.2882942    0.017165299      1.2793762    0.015248824      1.3088161    0.021125096
            210      1.1723361    0.013687028      1.1684428    0.013645387      1.1856877    0.013838272
            220      1.0564179    0.012941947      1.0530795    0.012910672      1.0684706    0.013110452
            230      0.9904492    0.012641488     0.98713863    0.012600325       1.002285    0.012800741
            240     0.91118397    0.034045275     0.89576811    0.022421366     0.93615387    0.047866959
            250     0.78140654    0.012901122     0.77906631    0.012818832     0.79106903    0.013315578
            260     0.73131741    0.010752691     0.72914437    0.010724354     0.74031714    0.010878648
            270     0.66452606    0.010440112     0.66242039    0.010397048     0.67304844    0.010597171
            280     0.59881718    0.010527374     0.59687832    0.010473568     0.60678938    0.010703835
            290     0.52267361   0.0094243429     0.52120152   0.0093936608     0.52902545   0.0095656464
            300     0.46011274   0.0085223818     0.45877216   0.0085024121     0.46603691   0.0086167581
            310     0.43520476   0.0083598047     0.43394089   0.0083424025     0.44064395   0.0084430533
            320     0.39101061     0.00806873     0.38984324   0.0080404125     0.39642106    0.008194453
