#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20249896    0.006053994      0.2016103   0.0060062616     0.21068345   0.0070015168
             10     0.59753061    0.010807141     0.59608126    0.010728855     0.61057126    0.011514576
             20     0.95917901    0.013160403     0.95577673    0.012890668     0.97884588     0.01449121
             30      1.2633039    0.021932368      1.2592136    0.021831196      1.2820287    0.022639509
             40      1.5817191    0.016299279      1.5769728    0.016307462      1.6029854    0.016735381
             50      1.8721364    0.028484063      1.8617419     0.02660497      1.8942567    0.028266171
             60       1.978486    0.018760541      1.9706143    0.018632259      1.9970516    0.019145015
             70      2.1498307    0.018774392      2.1402899    0.018690391       2.171917    0.019060903
             80      2.2573906    0.019241164      2.2476571    0.019175497      2.2805905    0.019629648
             90      2.2819266    0.024601747      2.2712463    0.024631661      2.3074893    0.026203076
            100      2.2713418    0.018739426      2.2618197     0.01861103      2.2910758    0.018971567
            110      2.2407744    0.020931442      2.2266022    0.019371137      2.2667283    0.024323808
            120      2.2262778    0.037891931      2.2033224    0.027855713      2.2608697    0.050730656
            130       2.091634    0.017965423      2.0830674    0.017899067      2.1110986    0.018128346
            140      2.0175443    0.018500557      2.0090061    0.018438682      2.0375981    0.018741357
            150      1.8827389    0.017374276      1.8756739    0.017360532      1.9024606    0.017584977
            160      1.7814651    0.016799008      1.7745359    0.016748356      1.8001878    0.017010917
            170      1.6551361    0.016258885      1.6487091    0.016204166      1.6726704    0.016434495
            180      1.5457614    0.016254772      1.5400559    0.016201503      1.5623632    0.016435798
            190      1.4208759    0.016679939      1.4154242    0.016526812       1.432836    0.015755169
            200      1.2650034    0.014078438      1.2603261     0.01403296      1.2792515    0.014220903
            210      1.1946607    0.014050617      1.1905456    0.013998535      1.2083605    0.014223776
            220      1.0831464    0.013102538      1.0794306    0.013066528      1.0957495    0.013239492
            230      1.0036367    0.014460455      1.0004012    0.014413143      1.0159811    0.014894219
            240     0.88313372    0.011831701     0.88037119    0.011797444     0.89377092    0.011973194
            250     0.79133833     0.01117693     0.78894664    0.011142279     0.80087024    0.011302112
            260     0.71905498    0.010619729     0.71687475    0.010591847     0.72778042    0.010727824
            270     0.66344772    0.010382033     0.66182483    0.010322044      0.6714205    0.010564226
            280     0.60813087   0.0099095994         0.6063   0.0098733903     0.61648875    0.010182869
            290     0.52150835    0.009180677     0.51991111   0.0091524734     0.52823308   0.0093026643
            300     0.48395625   0.0094864028     0.48296599    0.009405185     0.48954487   0.0096934337
