#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.713358     0.39942584      20.043788     0.36560441      24.190688      0.9185967
            0.2      58.815561     0.67006026       54.70067     0.62170243      63.385552      0.9637282
            0.4      86.395891     0.80992968      80.447204     0.76696183      92.721923      1.0938681
            0.6      103.50943       0.881492      96.101422     0.80821408      110.84141      1.1405924
            0.8      113.47605     0.91995926      105.59805     0.84197516      120.84355      1.2006214
              1      120.43572      1.0209888      113.13177      1.3107535      128.19003      1.2977672
            1.2      124.22304     0.97423311      115.84931     0.89584315      132.43615       1.297446
            1.4      129.55378      1.0145155      121.68474     0.96322101      137.45618      1.9088362
            1.6      134.53892      1.1679797      125.91592     0.98466772      143.49647      1.5381739
            1.8      142.82802      1.0566479      134.04869     0.99539369      151.56103      1.4529137
              2       156.7231      1.1114222      146.42562      1.0399921      168.65763      1.5672306
            2.2      170.32653      1.3916041      160.56628      1.2954479      181.10389      2.5228965
            2.4      191.36976       1.312633      179.89347      1.3528021      201.56972      1.9041734
            2.6      215.56382      1.7816484      203.74452      2.0507949      226.71885      1.8789898
            2.8      240.83089       1.434445      228.39542      1.4532675      250.34624      3.6637226
              3      238.14738      2.2177667      225.02796      1.9592879      252.46588      4.8554906
            3.2      81.959278     0.96199456      77.030676     0.87143749      86.887255      1.3270659
            3.4      30.869065     0.49630776      28.563516     0.44864859      33.459865     0.62751844
            3.6      13.851755     0.34638093      12.794458     0.33924167      14.986348     0.41612006
            3.8      6.5378194     0.24139591      6.0096183     0.21781141      7.2041122     0.32882656
              4      2.7208349      0.1463021      2.4780681     0.12766532      2.9611483     0.18824115
            4.2      1.1562217     0.10245469      1.0301255    0.082832288      1.3129158     0.14496793
            4.4     0.80670487    0.084737482     0.71224391    0.081012655     0.88857508    0.096737652
            4.6     0.25476384    0.042161187     0.21715022    0.035429065     0.30421339    0.054303821
            4.8    0.050984271    0.029811896    0.047338091    0.023520575    0.062432737    0.035075223
              5    0.050984271    0.029811896    0.047338091    0.023520575    0.062432737    0.035075223
