#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.300822     0.43394228      19.051985     0.49105623      20.547303     0.44369266
            0.2      58.964759      1.7316302      54.281227      1.1904776      63.660818       2.734012
            0.4      83.477443      0.8021389      77.152423     0.90264683      88.661241      1.0702329
            0.6       103.3983      1.0092337      96.493967     0.92017522      109.50986      1.4018779
            0.8      114.77278     0.93806911      107.35806     0.87995015      125.13096      2.7106352
              1      117.81615      0.9598437      110.30583     0.88896356      123.34447        1.32134
            1.2      124.09888     0.99459337      115.75776     0.92925533      131.66152      1.4481733
            1.4      130.30388      1.0878388      122.31345      1.2330928      138.81709      1.3105249
            1.6      135.20759      1.0718716       126.7319      1.0985037      143.87765       1.357304
            1.8      143.41526      1.2174137      134.51201      1.0084705      153.96493      1.7125704
              2      157.12846      1.2112488      147.76439       1.274581      167.14512      1.6056354
            2.2      171.36087      1.1657076      160.98953      1.1065757      184.30235      2.5448269
            2.4      192.30774      1.2460289      180.76715      1.1603203      203.70124      1.9037996
            2.6       213.6341      1.4617648      201.77991      1.2884497      225.91595      1.9919594
            2.8      244.27135      1.4503187       231.2247      1.6466728        256.725      2.8273109
              3      239.46666      1.8206043      226.74811      2.0333292      251.47899      3.7079936
            3.2      78.825285     0.97508688       74.15911      1.0845856      82.983123      1.2734244
            3.4      31.616886     0.50436795      29.189241     0.46172976      34.321424     0.62635914
            3.6      14.741688     0.36003717      13.438636     0.33711025      16.240428     0.42588588
            3.8      6.0879381     0.23956169      5.5517504     0.20510058      6.6134817     0.32905646
              4      2.9490985     0.15014027      2.6495079     0.13741319      3.3113057     0.18714214
            4.2      1.4260532    0.099915952      1.2540046    0.085041515      1.6455547     0.12924519
            4.4     0.58543151    0.066406476     0.52340207    0.057975291      0.6611173    0.083821006
            4.6     0.32511925    0.076268399     0.30398441    0.090627669     0.32997562    0.073856871
            4.8     0.20183209    0.036511081     0.17350004    0.031293558     0.23853433     0.04790067
              5     0.20183209    0.036511081     0.17350004    0.031293558     0.23853433     0.04790067
