#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.4670603     0.16526041       3.182707      0.1481596      3.7643574     0.20538034
           -3.8       4.665551     0.18756992      4.2331403     0.16594225      5.1993701     0.23859422
           -3.6      6.3677713      0.2192935      5.8185366     0.19315888      7.0203807     0.27811179
           -3.4      8.5477592     0.25908125      7.9493196     0.23968369      9.1293212     0.31854727
           -3.2      11.154948     0.29578368      10.326766     0.27228889      11.975177      0.3669149
             -3      14.733606     0.35888414      13.695227     0.34196197      15.784853       0.430789
           -2.8      18.672818      0.6869831      17.501495     0.87422559      19.601661     0.50279946
           -2.6      23.443298     0.42734294      21.754242     0.39162868      25.125652     0.53280865
           -2.4      28.282232     0.49060468      26.364322     0.44434203      30.176126     0.62533954
           -2.2      35.172245     0.52131135       32.73441      0.4703434      37.508583     0.66491414
             -2      43.892154     0.61988049      41.405372      0.6085522      46.298137     0.76607546
           -1.8      55.183005     0.67640565      51.923298     0.66187602      58.435292      0.8375568
           -1.6      66.626305     0.73118048       63.05052     0.84718125      70.836017     0.96131397
           -1.4      79.072195     0.79455912      74.360357     0.74091009      84.687168      1.8221591
           -1.2      94.933238     0.88543844      88.900511     0.80407517      101.60189      1.2376159
             -1      111.79026      1.1170137        104.723      1.0487826      120.38784      1.7143349
           -0.8       128.8042      1.1650404      121.20073     0.99600204      136.15215      1.5020656
           -0.6      139.64438      1.0454274       131.0526     0.97102585      148.36531      1.5305433
           -0.4       151.5992      1.1175436      142.80182      1.0801328      160.63343      1.5456288
           -0.2      157.04401      1.1229689      147.57356      1.0449052      166.81117      1.5545355
              0      156.91327      1.1142576      147.60117      1.0488972      165.74786      1.6737962
            0.2      153.46072      1.9743433      144.18639       1.740991      163.95523       3.083485
            0.4      140.72227      1.0785343      132.47201      1.1915276      145.24311      2.5168987
            0.6      127.61611      1.0023756      119.62121     0.93411411      134.91279      1.5371415
            0.8      110.54895      1.1305649      103.73623      0.9010728      119.68259      1.6600601
              1       95.37912     0.97932096       90.15565       1.076542      101.54044      1.4480033
            1.2      79.636876     0.90817082      74.998098     0.96230523      84.679672      2.7542538
            1.4      66.915113     0.73257005      62.893692     0.69041275      70.613232      1.9835901
            1.6      54.252187      0.7442723      51.090663     0.82065571      56.351955      1.6620619
            1.8      44.840359      1.2685015      42.553635      1.6016133      46.395948     0.97460204
              2      35.598195     0.58955775      33.308673     0.59546888      37.735464     0.72931234
            2.2      28.949601     0.48499418      27.008649     0.46367353      31.090179      0.6146236
            2.4      22.777792     0.41911729      21.127552     0.38253786      24.339662     0.52663502
            2.6      17.067873     0.36721759      15.740397     0.33504733       18.55704     0.48523776
            2.8      13.587322     0.33725971      12.594738     0.29852507       14.47471     0.45741118
              3      10.572225     0.28770501      9.7747799     0.25935999      11.277692     0.36768875
            3.2       8.054055     0.24709763      7.3818372     0.21876692       8.884133      0.3179648
            3.4       6.675728     0.22295607      6.1051329     0.19704352      7.3138115     0.28288626
            3.6      4.8772136     0.19576161      4.4954653     0.17694773      5.2688454      0.2491268
            3.8       3.759451     0.16785646      3.4168874     0.15144426      4.1623139     0.20741936
              4       3.759451     0.16785646      3.4168874     0.15144426      4.1623139     0.20741936
