#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0027308015   0.0077188879   0.0012491445   0.0049026576   0.0042438605    0.012899367
           -3.8    -0.07506329    0.088995165    -0.24849402     0.18635355      1.2904697      1.2349345
           -3.6     0.15622128    0.036882451     0.14050848    0.040485659     0.17360087    0.044966503
           -3.4     0.48757779     0.11121728     0.36126494     0.15053173     0.50290348     0.10745595
           -3.2      1.4285776     0.17848955      1.2377305     0.10753491      1.5686617     0.16359668
             -3      2.8062664      0.2089683      2.6414335     0.24864546      3.9098665     0.71754453
           -2.8      5.5060942     0.62331775      5.0491039     0.70266379      6.1747763     0.49079251
           -2.6      11.236844      0.3079848      10.629634     0.29919095      11.667575     0.54509307
           -2.4      17.978843     0.39063321      17.028457     0.37750572      18.683326     0.56992725
           -2.2       28.25517     0.48776663      26.443436     0.46419323      29.696216     0.71686528
             -2       40.30417     0.68385264      38.429436      1.1275189      42.040922     0.92206928
           -1.8      53.849379     0.65850659      50.489484     0.60212889      56.677272      1.1728226
           -1.6      71.588396     0.77575603      67.190875     0.73632265      75.860816      1.1164646
           -1.4      89.751278     0.83621786      83.770395      0.7632179      96.103093      1.1523616
           -1.2      109.38741     0.99665034      103.02242      1.0451713      115.18077      1.2393509
             -1      127.59478      1.0440748      119.90872       1.064866      134.77325      1.3251337
           -0.8      143.92632       1.920699      134.58901      1.4305579      155.49347      3.7144647
           -0.6      154.47818      1.1324879      145.18345      1.1326916      158.16052      3.4098943
           -0.4      165.00199      1.1294115      154.48977      1.0474074      175.50662      1.6300462
           -0.2      169.18898      1.1380145      158.64938      1.0529518      178.62111      1.6044958
              0      169.08529      1.2931813      158.12369      1.3297008      180.01582      1.5993577
            0.2      161.77741       1.124151      151.74715      1.0326351      172.58225      1.5876737
            0.4      155.38792      1.0993958      145.65696      1.0279585      166.18064      1.8909148
            0.6      142.06421      1.5377811      134.02903      1.7985108      148.84571      1.4865584
            0.8      126.50303      1.1209247      118.72085      1.0291256       134.1326       1.532141
              1      108.73252      1.0755618      101.93768      1.1732904      116.66141      1.3368131
            1.2      93.102057     0.85831184      87.353296     0.79983375      99.595976      1.1624093
            1.4      72.430422     0.77563199      68.016603     0.71706812       76.63998      1.2885866
            1.6      55.283361     0.69963093      51.864081     0.63387826      59.105892      1.2761414
            1.8      41.521001     0.60201181      39.046697     0.56365189      44.511118       1.462884
              2      28.188416     0.52043824      26.728836     0.57291828       28.42676     0.53114692
            2.2      18.532381      0.4807157      17.518804     0.45796645       21.83826      1.7235828
            2.4      11.113806     0.32011445      10.191328     0.34066657        11.9514     0.49589683
            2.6      5.9151095     0.22601718      5.5617578     0.20340352      6.3412368     0.29206303
            2.8      3.2672338     0.17157408      2.9875778     0.16114792      3.4322231     0.21455549
              3     0.53820065      0.6109193     -2.3436511      3.3929226      2.0457116     0.97528824
            3.2     0.30189018    0.085058085     0.24520535     0.09356346     0.38404485     0.09896411
            3.4     0.15631322    0.058691571     0.15078647    0.068431553     0.60487316     0.45147245
            3.6    0.029464526    0.015046461    0.026447122    0.015740607    0.035944486    0.016671605
            3.8    0.012372375   0.0088570681   0.0098971376   0.0065261233    0.013349982    0.012150824
              4    0.012372375   0.0088570681   0.0098971376   0.0065261233    0.013349982    0.012150824
