#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0052980642   0.0052977993   0.0043309845    0.004330768   0.0065667207   0.0065663925
           -3.8    0.022501299   0.0093134456    0.020025971   0.0098791792    0.028441324    0.014821746
           -3.6    -0.52259344     0.58188836     -1.0527622      1.1221085    -0.23074875     0.27565892
           -3.4     0.29159332     0.08329305     0.24754668    0.086216929     0.41600391     0.10409505
           -3.2      1.8986119      0.2302262      1.6127922     0.15891366      1.9136692     0.27824583
             -3      3.0844177     0.16824232      2.7482977     0.16910279      3.3906626     0.21394399
           -2.8       7.091897     0.25633475      6.2564164     0.29464061      7.8879374     0.47553866
           -2.6      12.618745     0.32604317      11.824962     0.30800814      13.476718     0.43727062
           -2.4      20.150364     0.39966118      18.644621     0.36805646       21.57555     0.66750474
           -2.2      31.457689     0.52334862      29.261572     0.49872047      35.779363      1.5479051
             -2      44.814807     0.64917604      41.833503     0.61806185      48.086025     0.85321795
           -1.8      59.013482     0.69032006      55.012647     0.64351861      63.361309     0.96309856
           -1.6      74.309054      0.8612577       70.51626      1.2258114      79.127792      1.2234009
           -1.4      93.018931     0.90420736      87.610048      0.9278978      97.167181      1.3268112
           -1.2      108.67992      1.0730248      102.20964      1.1681569      114.11279      1.2600823
             -1      123.81498       1.004208      116.28369       0.931212      130.51785       1.451723
           -0.8      139.21154      1.0320493       130.7702       0.951642      146.41072      1.3883467
           -0.6      152.42417      1.9541744      142.76131      1.4771008      162.28063      2.9718866
           -0.4      158.40976      1.1098658       148.9196       1.034034      168.33154      1.9126715
           -0.2      161.27065      1.1116986      151.27964      1.0346943      171.45409      1.5672513
              0      162.38761      1.1637312      153.01552      1.1645121      172.35536      2.7582603
            0.2      159.10701      1.2358695       149.2558      1.1766726      164.31653      3.4998082
            0.4      151.00231       1.092388      141.81511      1.0260575      160.53923      1.4709823
            0.6      139.27378       1.036615      130.28675     0.94368841      148.45372      1.3979096
            0.8      125.35969     0.99459902      117.57251     0.94342447       134.1536      1.3470067
              1       110.6631     0.98048157      104.02618     0.95699086      117.96238      1.4427075
            1.2      91.213666     0.85979534      85.810309     0.81756275      96.787409      1.3748037
            1.4       77.60799      1.4454857      73.381757      1.8086825      82.615048      1.2774265
            1.6      59.360344     0.71852347      55.697405     0.67308809      63.639704      1.0776957
            1.8      44.509188     0.63488937      41.652256     0.61324912      47.441052     0.93724709
              2      31.383644     0.55405318       29.61308     0.59992639      31.757151      2.0749067
            2.2      19.934792     0.42001645      18.853207     0.42557889      21.236183     0.63778991
            2.4      12.173045     0.31720814      11.204477     0.28878733      13.234769      1.2515532
            2.6      6.8005795     0.29982048      6.2692287     0.31922978      6.8878859      0.3022771
            2.8      2.8181637     0.65995825     0.18128794      3.4014287      4.4480703      1.0071892
              3      1.5774266     0.13413659     0.87496656     0.54100083       1.825792     0.17130545
            3.2     0.55334897    0.081449051     0.39014384    0.072372189     0.61785217     0.10102279
            3.4  -0.0042227176     0.12012091   -0.040386484     0.14390588       1.623219      1.4975202
            3.6    0.011125499    0.011824125   0.0083602466   0.0087212338    0.017419684    0.019717006
            3.8   0.0031771325   0.0031769736   0.0017960309   0.0017959411   0.0066552973   0.0066549645
              4   0.0031771325   0.0031769736   0.0017960309   0.0017959411   0.0066552973   0.0066549645
