# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.1662102    0.076458817      3.1492743    0.075953964      3.1662101    0.076458814
            0.2      9.3001414     0.13155699      9.2464419     0.13068184      9.3407769     0.13651495
            0.4      15.432179     0.17050806      15.329689     0.16905728       15.52908     0.17542089
            0.6      20.333257     0.19657396      20.186618     0.19484271       20.44455     0.20113157
            0.8      26.001231     0.22245582      25.804152     0.22039589      26.231662     0.22926515
              1      30.004651     0.24095151      29.764852     0.23861475      30.304327     0.24827043
            1.2      35.428806     0.26173719      35.144883     0.25905709       35.66654     0.26759006
            1.4      40.943563     0.28447935      40.587276     0.28125789      41.334402     0.29032035
            1.6      48.752385     0.31323882      48.277344     0.30955113      49.210496     0.31901861
            1.8      56.884101     0.33918154      56.318647     0.33529087      57.495437     0.34891996
              2      69.806538     0.38251514      69.051837     0.37764901      70.554719     0.39061716
            2.2      89.315478     0.44072584      88.291647     0.43537455      90.491792     0.45123861
            2.4      120.68185     0.51876575      119.24125     0.51164112      122.20562     0.53289073
            2.6      178.05961     0.64912661      176.00864     0.63962247      180.59681     0.66516497
            2.8      295.73317      0.8513494      292.97372     0.84115564      299.51818     0.89070957
              3      557.97306      1.2373896      555.83371       1.231211       563.3128      1.2755204
            3.2      318.38902     0.97398652      316.80802      0.9699803      321.54532      1.0025054
            3.4       176.0649     0.71076077      175.05795     0.70857934      178.05741     0.73591489
            3.6      106.22297     0.55685679      105.51838     0.55379535      107.46549       0.578389
            3.8      66.982886     0.43296899      66.485736     0.43119611      67.856788     0.44338869
              4      44.559961     0.34804594      44.180304     0.34592658      45.177042     0.35558709
            4.2      29.899237       0.285592      29.626083     0.28387333      30.250074     0.29119996
            4.4       20.75668     0.23769764      20.559443     0.23567709      21.021343     0.24365429
            4.6      14.745418     0.19763369      14.588862     0.19607176      14.985967     0.20417272
            4.8      10.658966     0.16834763      10.529418     0.16672639      10.764403     0.17342502
              5      10.658966     0.16834763      10.529418     0.16672639      10.764403     0.17342502
