#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8458061    0.092090756      2.8324801    0.089490945      2.8604735    0.096329063
            0.2       9.392969     0.16697073      9.2254392     0.15983697      9.6637177     0.17756533
            0.4      15.387788     0.19969394      15.224723     0.19504087      15.723293     0.20844505
            0.6      21.873812     0.23263184      21.759213      0.2301763      22.270533     0.24025907
            0.8      27.839964     0.25866211      27.782271     0.25727155      28.202976     0.26398285
              1      34.322823     0.28653827      34.322823     0.28653827      34.635564     0.29022195
            1.2      42.301152      0.3212128      42.301152      0.3212128      42.565729       0.323944
            1.4      52.024458     0.35252041      52.024458     0.35252041      52.252724     0.35364974
            1.6      65.042135     0.39460375      65.042135     0.39460375      65.335561     0.39637023
            1.8      81.688914     0.44336439      81.688894     0.44336429       82.03659     0.44538026
              2      105.32976     0.51062538      105.32949     0.51062483      105.66318     0.51457717
            2.2      140.69608      0.5918455       140.6962     0.59184615      141.37741     0.59776937
            2.4      189.32799     0.69408559      188.69108     0.69245122       190.7455       0.701365
            2.6      261.04579     0.81281411      259.05141     0.80867181      264.00416     0.82595163
            2.8      355.00731     0.95365845      350.55378     0.94486993       360.1665      0.9878296
              3      409.54491      1.0307387      402.73758        1.01679      417.48847      1.1103783
            3.2      209.77228     0.74363194      207.26639     0.73644723       212.3731     0.78238614
            3.4      124.54249     0.56387751      123.48691     0.55980814      125.85184     0.57737698
            3.6      80.941186     0.45270427      80.441589     0.45003488      81.485954     0.46513508
            3.8      54.081342     0.36776182      53.834625     0.36619807      54.532115     0.37545556
              4       37.28758     0.30415405      37.166975     0.30360415      37.468431     0.30913279
            4.2       25.61493     0.25198364      25.537233     0.25113027      25.755089      0.2553793
            4.4      19.144024     0.21588244      19.120524     0.21565194      19.206385     0.21861015
            4.6      13.179441     0.17881067      13.167482     0.17882498      13.216016     0.18284976
            4.8      9.6270962     0.15037542      9.6205898     0.15037786      9.6595423     0.15271909
              5      9.6270962     0.15037542      9.6205898     0.15037786      9.6595423     0.15271909
