#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      5.4946828     0.14295353      5.3167484     0.13340923       5.702531     0.15642883
            0.2      15.979076     0.20990611      15.683954     0.20293427       16.50902     0.22296448
            0.4      25.227241     0.24835487      25.053788     0.24518045      25.759098     0.25764563
            0.6      33.477684     0.28581994      33.477684     0.28581994       33.90895     0.29237001
            0.8      40.633011     0.31077111      40.633011     0.31077112      40.904219     0.31529768
              1      48.989851     0.34031202      48.989851     0.34031202      49.318449     0.34246763
            1.2      57.184893     0.36967945      57.184891     0.36967943      57.579921     0.37229488
            1.4      66.872147     0.40307316      66.872146     0.40307315      67.318511     0.40600272
            1.6      80.320597      0.4376392      80.320597      0.4376392      80.763588      0.4396781
            1.8      99.333419     0.49192152      99.340746     0.49227965      99.708728     0.49481918
              2      124.92442     0.55871658      124.92341     0.55871308        125.328     0.56782172
            2.2      163.09667      0.6347276      162.97861     0.63455308      163.96207     0.64041264
            2.4      215.50349     0.73506009      214.55172     0.73212279      217.30871     0.74977254
            2.6      292.45891     0.86211289      289.93594     0.85653205      296.07166     0.88283484
            2.8      390.37924      1.0030054      385.02513     0.99183951      396.43278      1.0483977
              3      433.08117      1.0555617      425.54801      1.0409048      441.33148      1.1539034
            3.2      172.55071     0.67275086      170.53732     0.66613365      175.11224     0.70544701
            3.4      75.104231     0.44250872       74.50921      0.4397508      75.585422      0.4599061
            3.6      36.321595     0.30360186       36.09632     0.30202644      36.534002     0.31105338
            3.8      17.695285     0.20859742      17.619531     0.20774888      17.776155     0.21046337
              4      9.1460727      0.1460581      9.1124604     0.14553156      9.2262245     0.14859245
            4.2      4.8778207     0.10735707      4.8627923     0.10700664      4.8987246     0.10986033
            4.4     0.45851417    0.030964058     0.40301777    0.028914417     0.52496938    0.033513337
            4.6      1.0090381    0.046200216      1.0082211    0.046138018      1.0111661    0.046911687
            4.8    0.094907027    0.013227183    0.087765565    0.012663502     0.11317803    0.014718254
              5    0.094907027    0.013227183    0.087765565    0.012663502     0.11317803    0.014718254
