#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.2755588    0.087107784      3.2596485    0.086679984      3.2830618    0.088755264
           -3.8      4.5340618       0.104945      4.5085619     0.10451528      4.5941225     0.10720443
           -3.6      6.3722385     0.12522195      6.3295223     0.12456552      6.4158435     0.12824347
           -3.4      8.1368481     0.14216058      8.0934123     0.14127061      8.1917773     0.14628432
           -3.2      10.802547     0.16492352      10.747711     0.16414476      10.936221     0.16853402
             -3      13.772362     0.18545323      13.709301     0.18470084      13.883045     0.18795327
           -2.8      18.150831     0.21473896      18.070543     0.21368383      18.343624     0.21961436
           -2.6      22.537297     0.23834351      22.441563     0.23740422      22.750123     0.24515741
           -2.4      28.586977     0.26760714      28.444474      0.2665977      28.905844     0.27453105
           -2.2      35.693622     0.30317376       35.52178     0.30191344      36.022447     0.30925835
             -2      44.068765     0.34132534      43.848964     0.33964799      44.604944     0.35143906
           -1.8      55.573404     0.38234001      55.255509     0.37950828      56.195654     0.39599286
           -1.6      67.572372     0.41700315      67.175644     0.41454916      68.228428     0.42464834
           -1.4      81.049889     0.46280678      80.588013     0.46042675       81.75978      0.4721484
           -1.2      96.835372     0.49999344      96.179648      0.4966573      97.866107     0.51231393
             -1      112.04779     0.53699097      111.29615     0.53375255      113.21609     0.54511218
           -0.8      128.81309     0.57705108      127.88129     0.57317578      130.07064     0.59212786
           -0.6      142.87942      0.6078335      141.73297     0.60312562      144.43111     0.62077239
           -0.4      154.21141     0.62863778      152.98551     0.62409388      155.90887     0.64095034
           -0.2      159.12723     0.63776838      157.81881     0.63094187         161.04     0.65669892
              0      159.19832     0.63857396      157.90282     0.63338325      161.03119     0.65408498
            0.2      153.92895     0.63202096      152.62359     0.62568896       155.6892     0.64449177
            0.4      141.42194     0.60614114       140.2163     0.60215946      143.07369     0.62064518
            0.6      127.99341     0.57637625      127.00389     0.57296036      129.75539     0.59248868
            0.8      112.58292     0.54031563      111.70013     0.53628662       113.9597     0.55234801
              1      96.097417     0.50501876      95.323257     0.50138312      97.319004      0.5136354
            1.2      81.513973     0.46201862       80.87334     0.45899518      82.418327     0.47208094
            1.4      66.902373     0.41738958      66.391658     0.41400367      67.740123     0.42662789
            1.6      55.833198     0.38232738      55.427746     0.37988962      56.460792     0.39086238
            1.8      44.321725     0.34083915      44.002444     0.33849032      44.764805     0.34881472
              2       36.02678     0.29973923      35.758487     0.29800151      36.514815     0.30511439
            2.2      28.829119     0.27225772      28.609199     0.27049048      29.206615      0.2783594
            2.4       22.58388     0.23589449       22.43484     0.23423591      22.869141      0.2403656
            2.6      17.731191     0.21093508      17.583498     0.20922767      17.928177     0.21539547
            2.8      13.577641     0.18376652      13.471722     0.18267622      13.754552     0.18736642
              3      10.732193     0.16219254       10.64284     0.16093373      10.856666     0.16520995
            3.2      8.2064871     0.14230055      8.1396141     0.14121856      8.3198725     0.14455773
            3.4      6.0916431     0.12055928      6.0340607     0.11966531      6.1512131     0.12412343
            3.6      4.5771566     0.10560249      4.5420844     0.10487487      4.6160623     0.10707783
            3.8      3.4388364    0.090231944      3.4124801    0.089631569      3.4994576    0.092024961
              4      3.4388364    0.090231944      3.4124801    0.089631569      3.4994576    0.092024961
