#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.0885538     0.10220505      4.0656655     0.10157346      4.1504934     0.10436943
           -3.8      5.9342451     0.12567557      5.9061701     0.12496803         6.0154     0.12827415
           -3.6      8.7064678     0.15109042      8.6683108     0.15005893      8.7999208     0.15501577
           -3.4      12.563455     0.18005757      12.498459     0.17886544      12.722227     0.18320621
           -3.2       17.09784     0.21491896      17.005555     0.21335579      17.344999     0.21925749
             -3      23.574433     0.25035845      23.407835     0.24791727      23.751196      0.2582829
           -2.8      30.562641     0.28664844      30.358377     0.28292559      30.931594     0.29423579
           -2.6      40.784399     0.32891117      40.459704     0.32551265      41.281329     0.33702872
           -2.4      49.774721     0.36106761      49.361018     0.35740337      50.196713     0.37070125
           -2.2      59.931975     0.39609231      59.377729     0.39188375      60.573526     0.40549912
             -2      69.693008     0.42081692      69.020626     0.41685346      70.472873      0.4292723
           -1.8      79.184695     0.45380627      78.355272     0.44920118      80.218279      0.4621536
           -1.6      88.123919     0.47021997      87.250433     0.46548185      89.120527      0.4834308
           -1.4      93.928899     0.49116426      92.931556     0.48560439      95.082264      0.5035948
           -1.2      99.262498     0.50094958      98.172187     0.49551043      100.63748     0.51531125
             -1      101.00106     0.50909313      99.970067     0.50388923      102.13721     0.52407725
           -0.8      102.63542     0.50780414      101.57469     0.50254182      104.06024     0.52204398
           -0.6      102.52773     0.50608603      101.49761     0.50151622      103.84405     0.51717231
           -0.4      101.30408      0.5072884      100.34101     0.50276937      102.60528     0.52119274
           -0.2      101.14657     0.50756022      100.23119     0.50323282      102.41864     0.51958934
              0      100.70643     0.50685244      99.850999     0.50316784      101.76548     0.51820483
            0.2      102.14386     0.50832773      101.34012     0.50522042      103.25011     0.52040438
            0.4      102.35612     0.50660089      101.60162     0.50321323      103.41189     0.51993843
            0.6      102.84019     0.50968852      102.15107     0.50703975      103.85963     0.52021882
            0.8      101.86105     0.50989674      101.25764     0.50707622      102.88358     0.51772017
              1       99.28851     0.50097923       98.75405     0.49877157      100.24611     0.51140047
            1.2      94.990903     0.49233428      94.528205     0.48983733      95.797355      0.5040011
            1.4      88.318134     0.47865375      87.964548     0.47827598       89.13958     0.48842499
            1.6      80.155868     0.45606683      79.902317     0.45515824      80.779123     0.46342869
            1.8      70.354645     0.42678867      70.184904     0.42648545      70.947321     0.43336841
              2      60.195261     0.39486569      60.031248     0.39475266      60.718791     0.40196193
            2.2      50.068788     0.36695977      49.953169     0.36644572       50.53008     0.37542508
            2.4      40.364325     0.32446033      40.317201     0.32466127      40.704157     0.33053996
            2.6      30.725065     0.28580791       30.65466     0.28615561      30.976715     0.29038949
            2.8      23.450237     0.25288878      23.410044     0.25252953      23.678731     0.25814738
              3      17.149022     0.21646776      17.085697     0.21574193      17.363371     0.22245321
            3.2      12.072588     0.18557644      12.035639     0.18530632       12.20917     0.18884443
            3.4      8.5237742     0.15075222      8.4884524     0.15023879      8.6232326     0.15386656
            3.6      6.1807023     0.12725047      6.1691071     0.12704255      6.2526666     0.12969452
            3.8      3.9576372      0.1021758      3.9369033     0.10178886      4.0010582     0.10469453
              4      3.9576372      0.1021758      3.9369033     0.10178886      4.0010582     0.10469453
