#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0053355491    0.092304736   0.0011588108    0.090785949   0.0064092652    0.092509354
           -3.8    0.015779702    0.015699449    0.005516811    0.012517571    0.017219951    0.015426404
           -3.6  0.00034242711    0.014537188  0.00034237951    0.014537188   0.0075691685    0.016309044
           -3.4     0.18775541    0.025418421      0.1836991    0.025062686     0.18788665    0.025353066
           -3.2      1.1008779    0.054625822      1.1008779    0.054625822      1.1074183    0.055047976
             -3      2.8548825    0.086737168       2.846036     0.08638543      2.8548825    0.086737168
           -2.8      6.6171953     0.13209284      6.5851903     0.13144152      6.6743197     0.13387766
           -2.6      12.422771     0.18357355      12.350409     0.18214207      12.495813     0.18659353
           -2.4      20.209125     0.23039054      20.088241     0.22882304      20.290737     0.23559051
           -2.2      30.947698     0.28257537      30.698972     0.28014722      31.221503      0.2883261
             -2      44.724217     0.34505329      44.330931     0.34163199      45.248741     0.35305332
           -1.8      59.855666     0.39780143      59.281304     0.39365152      60.545547     0.40640416
           -1.6      75.095889     0.43992016      74.378881     0.43545852      75.828245     0.44950855
           -1.4      93.786314     0.49527306      92.847743     0.48842226      95.006697     0.51404072
           -1.2      110.28093     0.53091314      109.16407      0.5250113      111.71574     0.54956174
             -1      125.79678     0.56859932      124.48241     0.56211545      127.51267      0.5891146
           -0.8      141.80666     0.59306206      140.35604     0.58719596      143.66402     0.61292051
           -0.6      151.46971     0.62171421      149.95174     0.61460815      153.42846      0.6456757
           -0.4      161.42969     0.63805043      159.89473     0.63159486      163.56367      0.6583812
           -0.2      164.82078     0.64611337      163.26092     0.63929436      167.03231      0.6673448
              0       164.2336     0.64578382      162.84506     0.64065848      166.34709     0.66661834
            0.2       161.5718     0.63354364      160.29982     0.62869463       163.4198     0.65617714
            0.4      153.14711     0.62320768      152.03229     0.61880308      154.86171     0.63545419
            0.6      141.88339     0.60144905      140.92262     0.59652211      143.49467     0.62193615
            0.8      127.17998     0.56624345      126.51143     0.56391947      128.62501     0.58144181
              1      112.00949     0.54012129      111.54679     0.53837425      113.21368     0.55388963
            1.2      92.378694     0.48912005      92.145605     0.48950493      93.040392     0.50107064
            1.4      76.857665     0.45265592      76.694959     0.45277051      77.565627     0.46317475
            1.6      59.459569     0.39425948      59.390583     0.39446501       59.85372     0.40340388
            1.8      44.007658     0.34258693       44.00065     0.34336825      44.339117     0.34708609
              2      30.800875      0.2884583      30.800877     0.28845831      31.005258      0.2935481
            2.2      19.740084     0.23122079      19.740084     0.23122079      19.927555     0.23557191
            2.4      12.115098     0.18016235      12.112362     0.18083981      12.190445     0.18173683
            2.6      6.3029886     0.13454196      6.3029887     0.13454196      6.4097443     0.13797791
            2.8      3.1076125     0.09429211      3.1032445    0.095582923      3.1092072    0.094482203
              3      0.9525441    0.051921683     0.94779636    0.051934001     0.95383365    0.052081142
            3.2     0.26008886    0.027909775      0.2591001    0.027772642     0.26014047    0.027892056
            3.4    0.028606326    0.011276958  -0.0012989394   0.0025593855    0.028573172    0.011276116
            3.6   0.0080862742    0.026137326  -0.0056253554   0.0095136534    0.016083001    0.027325597
            3.8     0.18347502     0.11964174     0.18056526     0.11792615     0.18347502     0.11964174
              4     0.18347502     0.11964174     0.18056526     0.11792615     0.18347502     0.11964174
