#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.80562532   0.0088624588     0.77154648   0.0074296185     0.85961767    0.011669791
            360      1.7735624   0.0072115441      1.7597825   0.0072481302      1.7993137    0.011374129
            380      1.9724124   0.0072771579      1.9597395    0.007223069      1.9923431   0.0082229797
            400      1.9447012    0.007106255      1.9332234   0.0071496804      1.9645685   0.0081747249
            420      1.8403187   0.0068043823      1.8283909    0.006762185      1.8771688    0.019819129
            440      1.6855266   0.0071722148      1.6745638   0.0071517328      1.7007713   0.0073636169
            460      1.5413832   0.0078173042      1.5292213   0.0077069931      1.5771038    0.016564444
            480      1.3691058   0.0076426134      1.3602019    0.008270244      1.3814735   0.0090752297
            500      1.2116191   0.0056257006      1.2030892   0.0055833057       1.232024   0.0091280806
            520      1.0757933   0.0057785273      1.0688883   0.0058061037       1.118042    0.024877147
            540     0.96075549   0.0051247195     0.95363626   0.0050894652     0.96560262   0.0058355565
            560     0.85485349   0.0050222507     0.84862629   0.0050203197     0.86164872   0.0054273994
            580     0.75598056   0.0053025793     0.75051892   0.0052698316     0.76361919    0.005448166
            600     0.67270649   0.0044352559     0.66880711      0.0045832     0.67270629   0.0044352567
            620     0.59100613   0.0043504488     0.57655176    0.021406692     0.59100704   0.0043504614
            640     0.52205414   0.0036931189     0.50005634    0.027405698     0.52205414   0.0036931189
            660     0.47016099   0.0036528565     0.46694271   0.0036459495     0.50179957    0.022543318
            680     0.41683257   0.0033561669     0.41400359   0.0033085084     0.42018645   0.0034295279
            700     0.37075879    0.003542404     0.36824414   0.0035126672     0.37341393   0.0035939472
            720     0.32961167   0.0029274916     0.32755769   0.0029112456     0.33249777   0.0029778422
            740     0.29278107   0.0027923403     0.29070703   0.0027790638     0.29324394   0.0031666221
            760     0.26425777   0.0026759895     0.26272113   0.0026651944     0.26605422   0.0027181052
            780     0.23284943   0.0027732003      0.2315459   0.0027514272     0.23394847   0.0031399519
            800     0.21090078   0.0033416653     0.19696779    0.015724762     0.21090079   0.0033416653
            820     0.19065331   0.0022342215     0.18977775    0.002224058     0.19108868   0.0023499938
            840     0.17420291     0.00226114     0.17335471   0.0022525709     0.17525777   0.0022876882
            860     0.15782999   0.0023287924     0.15653414   0.0025307283     0.17298005    0.013209607
            880     0.13750792   0.0019422537     0.13670296   0.0030807468     0.13750786   0.0019422536
            900     0.12720918   0.0018221287     0.12655278   0.0018150776     0.15258861    0.013714523
            920      0.1146345   0.0017434371     0.11408758   0.0017362412     0.11537026   0.0017619993
            940     0.10694174   0.0017337539     0.10640048   0.0017195395      0.1083777   0.0022258875
            960    0.092594703   0.0016384702     0.09222052   0.0016281058    0.093187809   0.0016508375
            980    0.085038579   0.0015232299    0.084712943   0.0015289775    0.085077202   0.0015830752
           1000    0.085038579   0.0015232299    0.084712943   0.0015289775    0.085077202   0.0015830752
