#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.489751     0.17955009      12.207729     0.15842515      14.845738     0.22541769
            0.2      39.000875     0.31036275      35.739451     0.27989474      42.236561     0.38691875
            0.4      59.886985     0.38146025      55.045271     0.34421112       64.65811     0.47657672
            0.6      77.173484     0.43694231      71.323159     0.40202876      82.767286     0.53657134
            0.8      90.620984     0.47363853      83.610265     0.43030067      97.470712     0.58702355
              1      100.91394     0.50045349      93.327125     0.45887204      108.46862     0.61952352
            1.2      110.09251     0.52150265      101.86954     0.47846329      118.25577     0.64596927
            1.4       119.5055      0.5451494      110.80498     0.49922402      128.13828     0.67674071
            1.6      127.70635     0.56636267      118.63847      0.5197942      136.84148     0.70128817
            1.8      137.91891     0.58881858       128.1935     0.54199419      147.38606     0.72804415
              2      151.44469     0.62767087      141.24047     0.57780407      161.42298     0.77348235
            2.2      168.37488     0.65426831      157.15692     0.60065719      179.31474     0.81255635
            2.4      189.85438     0.70064227      177.14488      0.6466695      202.84981     0.86865317
            2.6      214.90282     0.74807094      201.23786     0.69325695      228.97969     0.93146583
            2.8      243.90093     0.81839373      229.06813     0.76293381      259.06209      1.0070157
              3      246.30901     0.80623626      231.32228     0.75797441      261.15312      1.0038141
            3.2      121.89431     0.58429082       113.7925     0.53901191      130.04339     0.72172411
            3.4      69.257359     0.43274516      64.059633     0.39395642      74.651874     0.53233237
            3.6      43.818747     0.33718782      40.188259     0.30495113      47.892917      0.4194418
            3.8      28.515199     0.26895426      26.081839     0.23957777      31.285426     0.33725945
              4      18.933311     0.21710232      17.136758     0.19246781      20.991835     0.27255867
            4.2      12.746149     0.17890058      11.549964     0.15805828      14.130233     0.22609628
            4.4       8.652364     0.14545649      7.7874428      0.1265064      9.6903868     0.18464686
            4.6      5.9468449     0.11993796      5.3126731     0.10362057      6.7417835     0.15357516
            4.8      3.8033276    0.096427126      3.3622881    0.081869567      4.3396218     0.12543741
              5      3.8033276    0.096427126      3.3622881    0.081869567      4.3396218     0.12543741
