#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.31154073   0.0041297881     0.28895822   0.0036649419     0.34078743   0.0053079302
             10     0.93022695    0.007211962     0.86887467   0.0065057791      1.0076821    0.009163513
             20      1.4826006   0.0090014468      1.3852959   0.0081389306      1.6005201    0.011459404
             30       1.961346    0.010422968      1.8457669   0.0095698699      2.0912033    0.013186137
             40      2.3193284    0.011306603      2.1753938    0.010375661      2.4897663    0.014274548
             50      2.5523682    0.011853201      2.4014921    0.010821845      2.7233219     0.01501349
             60      2.7481406    0.012349312      2.5843089    0.011335869      2.9242019    0.015548433
             70      2.7675051    0.012237441       2.602635    0.011295537      2.9349243     0.01536222
             80      2.7773493    0.012255351      2.6068945    0.011289499      2.9579344    0.015211663
             90      2.6839804    0.011929158      2.5149835    0.010995227      2.8558505    0.014930514
            100      2.5584393    0.011538838      2.3999618    0.010628708      2.7122546    0.014457841
            110       2.416168    0.011227306      2.2655961    0.010373951      2.5677155     0.01388388
            120      2.2396256    0.010788315      2.0931665   0.0099892864      2.3772111    0.013290824
            130       2.068319     0.01026374      1.9302481   0.0094183599      2.2002651    0.012684543
            140      1.8770048   0.0098053032      1.7499266   0.0090096648      1.9960879    0.012038491
            150      1.7018032   0.0092415034      1.5798787   0.0084910474      1.8138682    0.011384376
            160      1.5390628   0.0088370642      1.4325886   0.0081330078      1.6428304     0.01086448
            170      1.3874911   0.0082787864      1.2826436   0.0075604301      1.4867671    0.010200764
            180      1.2394312    0.007765842      1.1430941   0.0070895134      1.3325823    0.009582829
            190      1.1077251   0.0072819031      1.0155648   0.0065892552       1.196662   0.0090025538
            200     0.97469235   0.0069623882      0.8969195   0.0063418873      1.0460452   0.0084516781
            210     0.88560031   0.0065164826     0.81152468   0.0058903563     0.95645502   0.0079956793
            220     0.78119859   0.0061597934     0.71321708    0.005583446     0.84437362   0.0074850746
            230     0.70050356   0.0058257557     0.63843022   0.0052651654     0.75812413   0.0071058825
            240     0.62899282   0.0054669055     0.56962558   0.0049161775     0.68784739   0.0066466012
            250     0.55585925   0.0051687841     0.50560139   0.0046627972     0.60294408   0.0062481505
            260     0.49976854   0.0048336288     0.45220924   0.0043543831     0.54620481   0.0058969688
            270     0.44494819   0.0046045986     0.40353046   0.0041482064     0.48177523   0.0055983604
            280     0.40204403   0.0043436948     0.36179144   0.0038721088       0.440807   0.0052995416
            290     0.35726156   0.0041210548     0.32243865   0.0036995732     0.38989402   0.0049601297
            300     0.31427492   0.0037997576     0.28188479   0.0033570067     0.34595656   0.0046582903
            310     0.28793998   0.0036546508     0.25790477    0.003258282     0.31569549   0.0044238324
            320     0.25184299     0.00344351     0.22473429   0.0030550089     0.27950685   0.0041813516
            330     0.23036457   0.0032356229     0.20578744   0.0028641933     0.25388016   0.0039567463
            340      0.1993379   0.0030211928     0.17749092   0.0026682021     0.22040443   0.0036692491
            350     0.17912766   0.0028648684     0.15915919   0.0025145249     0.19781632   0.0034902934
            360     0.15849156   0.0026675219     0.14081373   0.0023425954     0.17574233   0.0032583373
            370     0.14669675   0.0025512085     0.13057959   0.0022474975     0.16290856    0.003112272
            380     0.13018869   0.0024309925     0.11514072   0.0021281227     0.14501655   0.0029847567
            390     0.11460323   0.0022576079     0.10170805   0.0019721796     0.12784839   0.0027648194
            400     0.10477492   0.0021518491    0.091525929   0.0018606502     0.11866693   0.0026393669
            410    0.096102382    0.002067636    0.084147601   0.0017801481     0.10817376   0.0025443468
            420    0.083289194   0.0019340139    0.073034418   0.0016667137    0.093557348   0.0023825985
            430    0.072804558   0.0017990454    0.062402418   0.0015322765    0.082832083   0.0022265236
            440     0.06536628   0.0017102968    0.057121269   0.0014745862    0.074340327   0.0021083244
            450    0.059534506   0.0016364378      0.0509822   0.0013923511    0.068411637   0.0020090349
            460    0.055578949   0.0015402151    0.047604738   0.0013115489    0.063878461   0.0018860637
            470    0.047636338   0.0014542206    0.041157865   0.0012425465    0.053769165   0.0017717631
            480    0.042290918   0.0013631169    0.036514464   0.0011607534    0.047555644   0.0016680753
            490    0.038169872   0.0012831263    0.032456232   0.0010816578     0.04442182   0.0015931382
            500    0.034129703   0.0012133959    0.029141097   0.0010266392    0.039107769   0.0014979545
            510    0.030144811   0.0011354274    0.024538943  0.00093076699    0.035924448   0.0014298991
            520    0.026519156   0.0010773355     0.02273254  0.00090793257    0.030272887   0.0013192999
            530     0.02364202   0.0010197777    0.019378735  0.00083281054    0.028015558   0.0012819957
            540    0.021464783  0.00097369832    0.018397027  0.00081486888    0.025529457   0.0012273886
            550    0.017755651   0.0009047518    0.013573133  0.00071423203    0.021902134   0.0011498743
            560    0.015624606  0.00083056605    0.011511224   0.0006421805     0.01933262   0.0010642976
            570    0.016714823  0.00083054598     0.01347089  0.00067773827    0.019864851   0.0010250037
            580    0.010909982  0.00070297181   0.0033752412  0.00036332934    0.014168401  0.00090734407
            590   0.0034446895  0.00041948916   0.0034446895  0.00041948916    0.013121462  0.00090200508
            600    0.010650355  0.00070141967   0.0040544432  0.00040407249    0.013464315  0.00087781745
            610   0.0093378451  0.00067460809  1.6914019e-05  5.7820405e-05    0.012552936  0.00088981336
            620    0.010339573  0.00068507897    0.008225617  0.00055294448    0.012213275  0.00084075923
            630   0.0087389891  0.00063559468  0.00055012212  0.00014194995    0.011833408  0.00081534393
            640   0.0096153834  0.00068412938   0.0070529808   0.0005317368    0.010736316   0.0007867355
            650   0.0070373562  0.00060281277  0.00013227012  5.7589896e-05    0.011303349  0.00082657666
            660   0.0083901847  0.00063750225   0.0050059222  0.00057070341   0.0088567598  0.00067825144
            670   0.0072655946  0.00063677107   0.0029032158  0.00038383015   0.0095827475  0.00079529748
            680    0.006719776  0.00062670394   0.0036503596  0.00043402933   0.0082905746  0.00074410104
            690   0.0074187296  0.00061059782   0.0051634809  0.00046472965   0.0094024566  0.00075976561
