# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.307965    0.089796846      13.253868     0.08945156      13.384043    0.090283796
            0.2      38.471369      0.1532199      38.306425     0.15260868      38.703308     0.15409015
            0.4      58.329434     0.18894913      58.063555     0.18815476      58.702982     0.19007662
            0.6      75.387731     0.22816139      75.015608     0.22679008      75.909544     0.23011133
            0.8      88.237526     0.24146142      87.768527     0.23960527      88.896287     0.24419254
              1      98.291132     0.25915541      97.739234     0.25798425      99.067331     0.26082586
            1.2      107.85086     0.26398488      107.20788     0.26273914      108.75484     0.26574881
            1.4      116.08862     0.26856083      115.35762     0.26683738      117.11783      0.2709505
            1.6      125.27615     0.28531344      124.45475     0.28349904      126.43547     0.28793024
            1.8      136.46659     0.29342117      135.53577     0.29149009      137.77979     0.29608383
              2      149.19299      0.3147816      148.13292     0.31280023      150.68718     0.31755888
            2.2      165.84804      0.3316978      164.62469     0.32926893      167.56382     0.33513383
            2.4      186.05531     0.35360694      184.63393     0.35088305      188.03496     0.35741842
            2.6      211.45326     0.41027548      209.78881     0.40737987      213.74529     0.41422321
            2.8      238.79772     0.42261728      236.86417     0.41980293      241.41531     0.42693096
              3      241.65793     0.41620641      239.72482     0.41335313      244.27387     0.42043885
            3.2      118.85487     0.30453729      117.98341     0.30062825      120.09979     0.31015576
            3.4      67.663233     0.21611022      67.215444     0.21470527      68.337309     0.21840636
            3.6      42.907562     0.18499617      42.640885     0.18418509      43.323455     0.18645737
            3.8       28.06829     0.13899241      27.905515     0.13841953      28.328996     0.14021672
              4      18.934859      0.1178411      18.828651     0.11709187      19.107429     0.11926667
            4.2      12.910626    0.093052267      12.843647     0.09275362      13.020931    0.093767021
            4.4      8.6812072    0.075629985      8.6358706    0.075379906      8.7564529    0.076232987
            4.6      6.1109123    0.067026304      6.0799979    0.067001897      6.1625185    0.067401599
            4.8      4.2613548     0.05435553      4.2395061    0.054216772      4.2971187    0.054767764
              5      4.2613548     0.05435553      4.2395061    0.054216772      4.2971187    0.054767764
