#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.7233561    0.096541759      3.6917647    0.097647979      3.7364076    0.094590614
            0.2      9.6452385     0.10246017      9.5830081     0.10295097      9.6896367     0.10160368
            0.4      15.608012     0.13279915      15.513205     0.13365507      15.694594      0.1323337
            0.6      21.742065     0.12894786      21.588623     0.12951371      21.899637     0.12981413
            0.8       27.91834     0.12892797      27.732293     0.12783379      28.123209     0.13016479
              1      34.982364     0.14913258       34.73397     0.14762264      35.268642     0.15091101
            1.2      42.697281     0.16856288      42.393953     0.16656092       43.06191     0.17095142
            1.4      52.327938     0.18536607      51.952798     0.18383803      52.795021     0.18721639
            1.6      64.859359     0.20021002      64.394692     0.19845635      65.457528     0.20244083
            1.8      81.335648     0.22893855      80.756609     0.22690845      82.104195     0.23158202
              2      104.83142     0.26343185      104.09604     0.26139333      105.83723     0.26612445
            2.2       138.8772      0.3217184      137.91014     0.31958837      140.23245      0.3246113
            2.4      187.15026     0.35689921      185.85208     0.35256656      189.00125     0.36289798
            2.6      255.75475     0.42589575      253.97635     0.42295274      258.30694     0.43009939
            2.8      344.98209     0.47903714      342.55641     0.47582813      348.44982     0.48370974
              3      396.29549     0.50467632      393.48296     0.50152684       400.3042     0.50927411
            3.2      204.78298     0.37853703      203.34229     0.37602463      206.89454     0.38226555
            3.4      120.65414     0.29606501      119.82505     0.29398451      121.87182     0.29915481
            3.6      78.488304      0.2264625      77.967659     0.22500367      79.248924     0.22851501
            3.8      53.009611     0.18655293      52.665987     0.18532831      53.510257     0.18839759
              4      36.422103     0.15428531      36.195171     0.15343474      36.752624     0.15569034
            4.2      25.768852     0.13181606      25.617925     0.13114721      25.994147     0.13296475
            4.4      18.377437     0.11790518      18.274784     0.11764597      18.533814     0.11880986
            4.6      13.284366    0.099121826      13.215524      0.0988792      13.393323    0.099926939
            4.8      9.6223302    0.075555564      9.5780808    0.075307548       9.696304    0.076106875
              5      9.6223302    0.075555564      9.5780808    0.075307548       9.696304    0.076106875
