#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.15607061   0.0089311649     0.15602736   0.0089299106     0.15639433   0.0089487659
           -3.8      0.2816596    0.012353277     0.28161607    0.012358304     0.28258961    0.012391727
           -3.6     0.48243516    0.020220429     0.48144141    0.020012938     0.48474852    0.020543788
           -3.4     0.86955338    0.024695715     0.86844186     0.02465352      0.8733602     0.02483557
           -3.2      1.4380999     0.02972319      1.4360252    0.029727157      1.4446181    0.029845748
             -3      2.4693925    0.042242607      2.4644878    0.042198356      2.4819435    0.042473501
           -2.8      3.9466934    0.059767419      3.9334472    0.058882706      3.9720644    0.060935513
           -2.6      6.0102067    0.061353728      5.9872325    0.061367002      6.0503823    0.061711739
           -2.4      9.4695938    0.087127829      9.4308055    0.086971685      9.5383099    0.087756079
           -2.2      14.213748    0.096265126      14.146395    0.095965285      14.327957    0.096997315
             -2      21.197818     0.12417778      21.081557     0.12362528      21.384193     0.12523539
           -1.8      31.376135     0.15016054      31.177028     0.14857752      31.678406     0.15233725
           -1.6      44.481063     0.17535143       44.17453     0.17396514      44.934808     0.17743553
           -1.4      63.248357     0.20644366      62.796262     0.20508212      63.904793     0.20855364
           -1.2      87.029429     0.25953455      86.373786     0.25787598      87.955279      0.2629753
             -1       116.2279     0.28605384      115.36754      0.2838414      117.42891     0.28912331
           -0.8      150.60813     0.32245356      149.50327     0.31814559      152.13692     0.32842589
           -0.6      185.24853     0.34615413      183.94561     0.34432001      187.03913      0.3487615
           -0.4      214.34904     0.38672388      212.87766      0.3839607      216.36353     0.39054017
           -0.2       231.4298     0.40222237      229.87369     0.39975644       233.5596     0.40566574
              0      231.59514     0.38775623      230.03782     0.38498166      233.72545     0.39142583
            0.2       213.9885     0.37029597      212.52076     0.36793096      216.00013     0.37353097
            0.4      185.07683     0.35663253      183.77543     0.35441753      186.86844     0.35966423
            0.6      149.71673     0.31443102      148.63012     0.31206762       151.2204      0.3176724
            0.8       116.5381     0.28077322      115.68121      0.2788807      117.73822     0.28348939
              1      87.285189     0.26084289      86.641768     0.25984138      88.199371     0.26283552
            1.2      63.177524     0.24033319      62.726588     0.23958918      63.827682     0.24133241
            1.4      44.829354     0.17796431      44.527187     0.17693299        45.2781     0.17957475
            1.6      31.070588     0.15135855       30.87525     0.15027342      31.367839     0.15297168
            1.8      21.060919     0.11767115      20.944926     0.11718609      21.246777     0.11863656
              2      14.294874     0.10152529      14.221882     0.10096895      14.412191     0.10260423
            2.2      9.6014115    0.092812133      9.5606282    0.092309341      9.6735711    0.093858574
            2.4       6.133913    0.070940864      6.1116958    0.070722286      6.1755812    0.071796901
            2.6      3.8552638    0.049464215      3.8444438     0.04931836      3.8778194    0.049794741
            2.8      2.4888564    0.040742379      2.4840148    0.040835787      2.5016322    0.040887383
              3      1.4689306    0.029940244      1.4661488    0.029879648      1.4759518    0.030097523
            3.2     0.91227362    0.023805147     0.91124264    0.023802276     0.91605482    0.023911532
            3.4     0.54254289    0.025129173     0.54185572    0.025015156     0.54468752    0.025302813
            3.6     0.28278241    0.012916328     0.28253179    0.012907397     0.28380691    0.012963971
            3.8     0.15353669   0.0097487251     0.15344174   0.0097442543     0.15400792   0.0097835282
              4     0.15353669   0.0097487251     0.15344174   0.0097442543     0.15400792   0.0097835282
