#        pttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20279238   0.0016258129     0.20148077    0.001616457     0.20466057     0.00163985
             10      0.5876094   0.0030843107     0.58382583   0.0030822464     0.59298673   0.0030916667
             20     0.94490641   0.0035673876     0.93858089   0.0035464711     0.95382727   0.0035978491
             30      1.2609065   0.0041545749      1.2521685    0.004126502      1.2731587   0.0041948559
             40      1.5493488   0.0046859168      1.5384933   0.0046644278      1.5644848   0.0047168751
             50       1.777391    0.005173905      1.7645154    0.005141796       1.795365   0.0052179486
             60       1.977113   0.0051590773      1.9625861   0.0051169067      1.9973619    0.005219854
             70      2.1129146   0.0055231609      2.0973853   0.0054788918       2.134631   0.0055851094
             80      2.2111082   0.0054350657      2.1949756   0.0053966133      2.2337326   0.0054893012
             90      2.2623702   0.0056495402      2.2460545   0.0055996811      2.2853606   0.0057200935
            100      2.2661369   0.0058208508      2.2497249   0.0057367133      2.2893273   0.0059391078
            110      2.2328589   0.0054025832      2.2170355   0.0053638296      2.2553659   0.0054602295
            120      2.1808525   0.0054939394      2.1656923   0.0054571352      2.2025429   0.0055458347
            130      2.1054418   0.0056325252      2.0910784   0.0056063463      2.1260606   0.0056692223
            140      2.0092737   0.0056945869      1.9957631   0.0056685063      2.0287101   0.0057310799
            150      1.9006111   0.0052556145      1.8877146    0.005207246      1.9191779   0.0053274871
            160      1.7734131   0.0049127446      1.7615683   0.0048778718      1.7905059      0.0049629
            170      1.6486086   0.0046990947      1.6376401   0.0046680493       1.664437   0.0047465628
            180      1.5252976   0.0045208428      1.5151257   0.0044877398      1.5399284   0.0045682049
            190      1.4110401    0.004430189      1.4018414   0.0044012826       1.424234   0.0044695451
            200      1.2824721   0.0040367111      1.2740166   0.0040120094      1.2945728   0.0040728449
            210      1.1815478   0.0039202686       1.173825    0.003894687      1.1925819   0.0039579856
            220      1.0754376   0.0038397127       1.068299   0.0038081395      1.0855279    0.003882156
            230     0.98276894   0.0039466692     0.97634101   0.0039404764     0.99186311   0.0039660491
            240     0.88919109   0.0037731103     0.88339756   0.0037554427     0.89735826   0.0038017616
            250     0.79973604   0.0032273427     0.79447798    0.003204772     0.80706915   0.0032594365
            260     0.71601254   0.0031468932     0.71128797   0.0031282313     0.72257141     0.00317613
            270     0.64735118   0.0031322674      0.6430767   0.0031225732     0.65324032   0.0031475016
            280     0.58613385   0.0027545544     0.58222321    0.002735131     0.59150341   0.0027816119
            290     0.52516428   0.0027226294     0.52163798   0.0027002627      0.5299721   0.0027532724
            300     0.46794327   0.0024669937     0.46478208   0.0024496115     0.47221216    0.002490818
            310     0.42630654   0.0023414154     0.42348333   0.0023274487     0.43009496    0.002360142
            320     0.38379626   0.0022397385     0.38121592   0.0022237515     0.38723355   0.0022604077
            330     0.33951894    0.002108518        0.33723   0.0020959079     0.34255123     0.00212535
            340     0.30712185   0.0020107209     0.30504469   0.0019989027     0.30986366   0.0020276333
            350     0.27171093   0.0018786181     0.26983626   0.0018667025     0.27415205   0.0018956006
            360     0.25002439   0.0020493962     0.24832568   0.0020488389     0.25221937   0.0020505263
            370     0.22382439   0.0017381434     0.22204684   0.0017646507     0.22607002   0.0017582045
            380     0.19930847   0.0017111863     0.19794046   0.0016993878     0.20107207   0.0017277335
            390     0.18170735   0.0015151671     0.18048769   0.0015062277     0.18327672    0.001527367
            400     0.16370745   0.0014970174     0.16259589   0.0014868299     0.16512936   0.0015108359
            410     0.14511487   0.0014286269        0.14413   0.0014182841     0.14636837   0.0014418571
            420     0.12923655   0.0013271449      0.1283441   0.0013194082     0.13035065   0.0013377195
            430     0.11736218   0.0013158828      0.1165363   0.0013046248     0.11839441   0.0013302966
            440     0.10811968   0.0012503396      0.1073729   0.0012395744     0.10905081   0.0012645369
            450    0.094806908   0.0011918002    0.094138296   0.0011800579    0.095634048   0.0012068672
            460    0.085945993   0.0010574923    0.085363434   0.0010507011    0.086663441   0.0010661077
            470    0.077785324   0.0010073371    0.077250613   0.0010013093    0.078439333   0.0010148792
            480    0.069386908  0.00094702308    0.068926292   0.0009419715    0.069947111  0.00095340108
            490    0.064962924   0.0011359527    0.064513071   0.0011341509    0.065500846   0.0011388993
            500    0.058273669  0.00087089007    0.057880338  0.00086589633    0.058750804  0.00087708721
            510    0.052340924  0.00081628134    0.051990514   0.0008111635     0.05276194  0.00082247324
            520    0.046076377  0.00085396534    0.045750914  0.00084585051    0.046458772  0.00086317401
            530    0.042336679  0.00073897392    0.042060923  0.00073452737     0.04266582  0.00074454653
            540    0.038168738  0.00075147166    0.037869489  0.00073410915    0.038512173   0.0007705701
            550     0.03379926  0.00067378028    0.033580793  0.00067174175    0.034056038  0.00067630243
            560    0.031666134  0.00065611822    0.031467892  0.00065336379    0.031899675  0.00065913874
            570    0.029868109  0.00063973399    0.029673488  0.00063613773    0.030095663  0.00064393838
            580    0.025971481  0.00059236852    0.025806532  0.00058863157    0.026162277  0.00059649785
            590    0.024869626  0.00055993404    0.024712306  0.00055696528    0.025052651  0.00056345865
            600    0.021549856   0.0005556015    0.021403373    0.000550289    0.021717993  0.00056175581
            610    0.019251482  0.00051984325    0.019122507  0.00051864432    0.019387877  0.00052399524
            620    0.017465804  0.00047236131    0.017356464  0.00046947489    0.017591758  0.00047570474
            630    0.016947032  0.00047085486    0.016839619  0.00046810226    0.017069256  0.00047407292
            640    0.015199798  0.00045443847    0.015097124  0.00045093247    0.015314525  0.00045844929
            650    0.014139991  0.00042800808    0.014054859  0.00042595614    0.014236181  0.00043035167
            660    0.012638086  0.00041355293    0.012563992  0.00041123072    0.012721834  0.00041622226
            670     0.01056714  0.00039312931     0.01049712  0.00039032809    0.010645221  0.00039603813
            680    0.010962511  0.00036932394    0.010893373  0.00036709848    0.011039154  0.00037181312
            690    0.009464116    0.000347274   0.0094034957   0.0003452833   0.0095318696  0.00034954233
            700   0.0089114646  0.00033424622   0.0088626742  0.00033272646   0.0089658583   0.0003359938
            710   0.0081184707  0.00032571801   0.0080706088  0.00032410392   0.0081719405  0.00032757611
            720   0.0074979418  0.00032363341   0.0074579943  0.00032180873   0.0075413402    0.000325796
            730   0.0071136409  0.00029634395   0.0070774503  0.00029498765   0.0071534513   0.0002978619
            740   0.0061264476  0.00030955794    0.006105227  0.00031255506   0.0061490058  0.00030625765
            750   0.0054066401  0.00026443471   0.0053750643  0.00026307784   0.0054408861  0.00026592408
            760   0.0053893419  0.00029124994   0.0053570981  0.00028956417   0.0054246475  0.00029313051
            770   0.0049595954  0.00025578095   0.0049336826  0.00025465175   0.0049884366  0.00025705581
            780   0.0045765349  0.00024642328   0.0045479172  0.00024567395   0.0046081999  0.00024728448
            790   0.0038994526  0.00022655753   0.0038791605  0.00022533207   0.0039216748  0.00022796674
            800   0.0038994526  0.00022655753   0.0038791605  0.00022533207   0.0039216748  0.00022796674
