#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.20037459   0.0017202344     0.19907201   0.0017104569     0.20222367    0.001734864
             10     0.58505754    0.003022358      0.5812643   0.0030177967     0.59041931   0.0030314593
             20     0.94209194   0.0037448082     0.93590111   0.0037290449     0.95085579   0.0037684358
             30      1.2638699   0.0044431709      1.2550314   0.0043958789      1.2762517   0.0045128288
             40      1.5593293   0.0047559509      1.5483498   0.0047349938      1.5746436   0.0047860547
             50      1.7983818    0.004975557      1.7855156   0.0049489096      1.8163604   0.0050161033
             60      1.9867731   0.0054930654      1.9722536   0.0054152302      2.0069943   0.0056016015
             70      2.1292405   0.0053422991      2.1137744    0.005305955      2.1508181   0.0053956741
             80      2.2234312    0.005513703      2.2073976   0.0054754432      2.2459486   0.0055684227
             90      2.2653159   0.0058870288      2.2489742   0.0058613988      2.2884189   0.0059332962
            100      2.2612379   0.0053945058      2.2450888   0.0053575709      2.2841157   0.0054462188
            110      2.2412573   0.0054610914      2.2254646   0.0054236311      2.2637085   0.0055115345
            120      2.1819587   0.0056611223      2.1667633   0.0056308622      2.2036912   0.0057040054
            130      2.1001126   0.0052506339      2.0857512   0.0052144506      2.1207407   0.0053032565
            140      2.0028461   0.0050854138      1.9892167   0.0050520893      2.0224416    0.005133869
            150      1.8925847   0.0050127796      1.8799012   0.0049757726      1.9108704   0.0050659446
            160      1.7742555   0.0052481241      1.7623072   0.0051943393      1.7914705   0.0053245358
            170      1.6493769   0.0046005579      1.6381832   0.0045874336      1.6654497   0.0046455803
            180      1.5310036   0.0046276653      1.5207255   0.0045904773      1.5457706   0.0046823138
            190      1.4036399   0.0043715325      1.3943132    0.004332091      1.4170393   0.0044248372
            200      1.2836633   0.0040334406      1.2751696   0.0040063129      1.2958321   0.0040721695
            210      1.1761132   0.0045261225       1.168453   0.0045145557      1.1870373    0.004540565
            220      1.0740191    0.003908732      1.0669371   0.0038869232      1.0840779   0.0039413417
            230     0.97005851   0.0035694998     0.96359888   0.0035438112     0.97914113   0.0036036751
            240     0.87816102   0.0034632092     0.87233204   0.0034369707     0.88633716   0.0035001848
            250     0.79368538   0.0031693447     0.78845107   0.0031506249     0.80098524   0.0031956194
            260     0.71635939   0.0031381273     0.71159988   0.0031187535     0.72298698   0.0031692758
            270     0.64595847   0.0030785019     0.64171036   0.0030584949     0.65183922   0.0031071713
            280     0.58003236   0.0029339975     0.57609434   0.0029094178     0.58543782   0.0029673661
