#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4       4.046441    0.054871195       4.046441    0.054871195       4.046441    0.054871195
           -3.8      5.7783487    0.066863185      5.7783487    0.066863185      5.7783487    0.066863185
           -3.6      8.3031301     0.08173232      8.3031301     0.08173232      8.3031301     0.08173232
           -3.4      11.692117    0.088620175      11.692117    0.088620175      11.692117    0.088620175
           -3.2      16.186907     0.12184641      16.186907     0.12184641      16.186907     0.12184641
             -3      21.755626     0.13604409      21.755626     0.13604409      21.755626     0.13604409
           -2.8      28.840664     0.13980833      28.840664     0.13980833      28.840664     0.13980833
           -2.6      37.149593     0.16318129      37.149593     0.16318129      37.149593     0.16318129
           -2.4      46.310558     0.18326984      46.310558     0.18326984      46.310558     0.18326984
           -2.2      55.962059     0.19679547      55.962059     0.19679547      55.962059     0.19679547
             -2      65.693476     0.22431037      65.693476     0.22431037      65.693476     0.22431037
           -1.8      74.816374     0.21843187      74.816374     0.21843187      74.816374     0.21843187
           -1.6      83.133525     0.29224708      83.133525     0.29224708      83.133525     0.29224708
           -1.4      88.796864     0.24039233      88.796864     0.24039233      88.796864     0.24039233
           -1.2      93.749423     0.26220029      93.749423     0.26220029      93.749423     0.26220029
             -1      96.361792     0.26294866      96.361792     0.26294866      96.361792     0.26294866
           -0.8      96.560472     0.26572131      96.560472     0.26572131      96.560472     0.26572131
           -0.6      97.509208     0.25184676      97.509208     0.25184676      97.509208     0.25184676
           -0.4      96.663838      0.2545183      96.663838      0.2545183      96.663838      0.2545183
           -0.2       96.47898     0.25319999       96.47898     0.25319999       96.47898     0.25319999
              0      96.081112     0.27552906      96.081112     0.27552906      96.081112     0.27552906
            0.2      96.726851     0.25291984      96.726851     0.25291984      96.726851     0.25291984
            0.4       97.19197      0.2557986       97.19197      0.2557986       97.19197      0.2557986
            0.6      97.040742     0.29688946      97.040742     0.29688946      97.040742     0.29688946
            0.8      96.072916     0.27803104      96.072916     0.27803104      96.072916     0.27803104
              1      93.462906     0.24975901      93.462906     0.24975901      93.462906     0.24975901
            1.2      88.986809     0.25624168      88.986809     0.25624168      88.986809     0.25624168
            1.4      82.935142     0.23641183      82.935142     0.23641183      82.935142     0.23641183
            1.6      75.180034     0.23163046      75.180034     0.23163046      75.180034     0.23163046
            1.8      65.801502     0.21975776      65.801502     0.21975776      65.801502     0.21975776
              2      56.216063      0.2014455      56.216063      0.2014455      56.216063      0.2014455
            2.2      46.123405     0.18717119      46.123405     0.18717119      46.123405     0.18717119
            2.4      37.112685     0.17232258      37.112685     0.17232258      37.112685     0.17232258
            2.6      28.927952     0.17381074      28.927952     0.17381074      28.927952     0.17381074
            2.8      21.906477     0.12353765      21.906477     0.12353765      21.906477     0.12353765
              3      16.204987     0.10975858      16.204987     0.10975858      16.204987     0.10975858
            3.2      11.779189     0.12518336      11.779189     0.12518336      11.779189     0.12518336
            3.4      8.2964057    0.097196252      8.2964057    0.097196252      8.2964057    0.097196252
            3.6      5.7938546    0.072974607      5.7938546    0.072974607      5.7938546    0.072974607
            3.8       3.894905    0.066066285       3.894905    0.066066285       3.894905    0.066066285
              4       3.894905    0.066066285       3.894905    0.066066285       3.894905    0.066066285
