#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.0998676    0.055250107      4.0998676    0.055250107      4.0998676    0.055250107
           -3.8      5.8533999    0.066974513      5.8533999    0.066974513      5.8533999    0.066974513
           -3.6      8.4150589    0.081993402      8.4150589    0.081993402      8.4150589    0.081993402
           -3.4      11.851363    0.089670165      11.851363    0.089670165      11.851363    0.089670165
           -3.2      16.414958     0.12131885      16.414958     0.12131885      16.414958     0.12131885
             -3      22.076551     0.13730387      22.076551     0.13730387      22.076551     0.13730387
           -2.8      29.268619     0.14176884      29.268619     0.14176884      29.268619     0.14176884
           -2.6      37.705181     0.16454949      37.705181     0.16454949      37.705181     0.16454949
           -2.4      47.020709     0.18498827      47.020709     0.18498827      47.020709     0.18498827
           -2.2      56.851491      0.1990929      56.851491      0.1990929      56.851491      0.1990929
             -2       66.76079     0.22495792       66.76079     0.22495792       66.76079     0.22495792
           -1.8      76.064894     0.22142987      76.064894     0.22142987      76.064894     0.22142987
           -1.6      84.565088     0.29406285      84.565088     0.29406285      84.565088     0.29406285
           -1.4      90.355914     0.24325721      90.355914     0.24325721      90.355914     0.24325721
           -1.2      95.438823     0.26632576      95.438823     0.26632576      95.438823     0.26632576
             -1      98.122282     0.26693177      98.122282     0.26693177      98.122282     0.26693177
           -0.8      98.338576     0.26764807      98.338576     0.26764807      98.338576     0.26764807
           -0.6      99.310996     0.25529519      99.310996     0.25529519      99.310996     0.25529519
           -0.4      98.464708     0.25869239      98.464708     0.25869239      98.464708     0.25869239
           -0.2      98.277858     0.25669746      98.277858     0.25669746      98.277858     0.25669746
              0      97.904874     0.28205549      97.904874     0.28205549      97.904874     0.28205549
            0.2       98.53447     0.25699009       98.53447     0.25699009       98.53447     0.25699009
            0.4      99.006763     0.25898445      99.006763     0.25898445      99.006763     0.25898445
            0.6      98.831934     0.29850097      98.831934     0.29850097      98.831934     0.29850097
            0.8      97.828807     0.28138812      97.828807     0.28138812      97.828807     0.28138812
              1      95.124327     0.25414029      95.124327     0.25414029      95.124327     0.25414029
            1.2      90.547903     0.25955779      90.547903     0.25955779      90.547903     0.25955779
            1.4       84.35939     0.23871661       84.35939     0.23871661       84.35939     0.23871661
            1.6       76.43618     0.23374342       76.43618     0.23374342       76.43618     0.23374342
            1.8       66.87181     0.22110172       66.87181     0.22110172       66.87181     0.22110172
              2      57.106292     0.20303301      57.106292     0.20303301      57.106292     0.20303301
            2.2      46.828725      0.1884577      46.828725      0.1884577      46.828725      0.1884577
            2.4       37.66377     0.17280449       37.66377     0.17280449       37.66377     0.17280449
            2.6      29.344734     0.17292022      29.344734     0.17292022      29.344734     0.17292022
            2.8       22.21516      0.1248127       22.21516      0.1248127       22.21516      0.1248127
              3      16.434121     0.11041474      16.434121     0.11041474      16.434121     0.11041474
            3.2      11.936273      0.1243329      11.936273      0.1243329      11.936273      0.1243329
            3.4      8.4080056    0.097236627      8.4080056    0.097236627      8.4080056    0.097236627
            3.6      5.8738797    0.073317912      5.8738797    0.073317912      5.8738797    0.073317912
            3.8      3.9495897    0.066116669      3.9495897    0.066116669      3.9495897    0.066116669
              4      3.9495897    0.066116669      3.9495897    0.066116669      3.9495897    0.066116669
