#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.74555599   0.0025164423     0.74555599   0.0025164423     0.74555599   0.0025164423
            360       1.702056   0.0034401019       1.702056   0.0034401019       1.702056   0.0034401019
            380       1.890598   0.0035896672       1.890598   0.0035896672       1.890598   0.0035896672
            400      1.8577976   0.0035786297      1.8577976   0.0035786297      1.8577976   0.0035786297
            420      1.7472429   0.0034114072      1.7472429   0.0034114072      1.7472429   0.0034114072
            440      1.6023581   0.0033787425      1.6023581   0.0033787425      1.6023581   0.0033787425
            460      1.4462815   0.0032667668      1.4462815   0.0032667668      1.4462815   0.0032667668
            480      1.2898567   0.0029785153      1.2898567   0.0029785153      1.2898567   0.0029785153
            500      1.1465461    0.002892742      1.1465461    0.002892742      1.1465461    0.002892742
            520      1.0147986   0.0032100324      1.0147986   0.0032100324      1.0147986   0.0032100324
            540     0.90351717   0.0024209596     0.90351717   0.0024209596     0.90351717   0.0024209596
            560     0.79884201     0.00239071     0.79884201     0.00239071     0.79884201     0.00239071
            580     0.70869526   0.0021983817     0.70869526   0.0021983817     0.70869526   0.0021983817
            600     0.62985466   0.0020777711     0.62985466   0.0020777711     0.62985466   0.0020777711
            620      0.5577999   0.0018864353      0.5577999   0.0018864353      0.5577999   0.0018864353
            640     0.48997929   0.0018196333     0.48997929   0.0018196333     0.48997929   0.0018196333
            660     0.43745205   0.0018098822     0.43745205   0.0018098822     0.43745205   0.0018098822
            680       0.391532   0.0017796778       0.391532   0.0017796778       0.391532   0.0017796778
            700     0.34656062   0.0015842533     0.34656062   0.0015842533     0.34656062   0.0015842533
            720     0.31106025   0.0013932398     0.31106025   0.0013932398     0.31106025   0.0013932398
            740     0.27718667   0.0013324831     0.27718667   0.0013324831     0.27718667   0.0013324831
            760     0.24786265   0.0012802938     0.24786265   0.0012802938     0.24786265   0.0012802938
            780     0.22241032   0.0013983493     0.22241032   0.0013983493     0.22241032   0.0013983493
            800     0.19984065   0.0012663283     0.19984065   0.0012663283     0.19984065   0.0012663283
            820     0.18045233   0.0010685632     0.18045233   0.0010685632     0.18045233   0.0010685632
            840     0.16305326   0.0010219158     0.16305326   0.0010219158     0.16305326   0.0010219158
            860     0.14840132    0.001007298     0.14840132    0.001007298     0.14840132    0.001007298
            880     0.13486261  0.00099277294     0.13486261  0.00099277294     0.13486261  0.00099277294
            900     0.12043356  0.00088535272     0.12043356  0.00088535272     0.12043356  0.00088535272
            920     0.10834573  0.00089721251     0.10834573  0.00089721251     0.10834573  0.00089721251
            940    0.099232241  0.00085313326    0.099232241  0.00085313326    0.099232241  0.00085313326
            960    0.089692178  0.00077334962    0.089692178  0.00077334962    0.089692178  0.00077334962
            980    0.082812696  0.00078206937    0.082812696  0.00078206937    0.082812696  0.00078206937
           1000    0.082812696  0.00078206937    0.082812696  0.00078206937    0.082812696  0.00078206937
