# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
              0      4.3961177    0.010987208      4.3961177    0.010987208      4.3961177    0.010987208
             10      5.4239016    0.009924344      5.4239016    0.009924344      5.4239016    0.009924344
             20      4.7959636   0.0087844196      4.7959636   0.0087844196      4.7959636   0.0087844196
             30      4.0832709   0.0074834555      4.0832709   0.0074834555      4.0832709   0.0074834555
             40      3.4394743    0.006756925      3.4394743    0.006756925      3.4394743    0.006756925
             50      2.9112771   0.0060262592      2.9112771   0.0060262592      2.9112771   0.0060262592
             60       2.489272   0.0057071477       2.489272   0.0057071477       2.489272   0.0057071477
             70      2.1401395   0.0052352646      2.1401395   0.0052352646      2.1401395   0.0052352646
             80      1.8339315    0.004827978      1.8339315    0.004827978      1.8339315    0.004827978
             90      1.5922838   0.0042476308      1.5922838   0.0042476308      1.5922838   0.0042476308
            100      1.3863485   0.0039194223      1.3863485   0.0039194223      1.3863485   0.0039194223
            110      1.1996927   0.0036812883      1.1996927   0.0036812883      1.1996927   0.0036812883
            120      1.0583619   0.0034366268      1.0583619   0.0034366268      1.0583619   0.0034366268
            130     0.92929651   0.0031348151     0.92929651   0.0031348151     0.92929651   0.0031348151
            140      0.8120952   0.0029270141      0.8120952   0.0029270141      0.8120952   0.0029270141
            150     0.71851207    0.002729957     0.71851207    0.002729957     0.71851207    0.002729957
            160     0.63482586   0.0025099132     0.63482586   0.0025099132     0.63482586   0.0025099132
            170     0.56709415   0.0024599674     0.56709415   0.0024599674     0.56709415   0.0024599674
            180     0.50250389   0.0022097516     0.50250389   0.0022097516     0.50250389   0.0022097516
            190     0.44701882   0.0020764518     0.44701882   0.0020764518     0.44701882   0.0020764518
            200     0.40377052   0.0019821025     0.40377052   0.0019821025     0.40377052   0.0019821025
            210     0.35970866   0.0018732781     0.35970866   0.0018732781     0.35970866   0.0018732781
            220     0.32914422   0.0018310962     0.32914422   0.0018310962     0.32914422   0.0018310962
            230     0.29687689   0.0017294444     0.29687689   0.0017294444     0.29687689   0.0017294444
            240     0.26807473   0.0015694799     0.26807473   0.0015694799     0.26807473   0.0015694799
            250     0.24634657   0.0015126284     0.24634657   0.0015126284     0.24634657   0.0015126284
            260     0.22286993   0.0014243068     0.22286993   0.0014243068     0.22286993   0.0014243068
            270     0.20470168   0.0013562102     0.20470168   0.0013562102     0.20470168   0.0013562102
            280     0.18692109   0.0012924898     0.18692109   0.0012924898     0.18692109   0.0012924898
            290     0.16945082    0.001233183     0.16945082    0.001233183     0.16945082    0.001233183
            300       0.158398   0.0035683654       0.158398   0.0035683654       0.158398   0.0035683654
            310      0.1423827   0.0011213706      0.1423827   0.0011213706      0.1423827   0.0011213706
            320     0.13245243   0.0010877294     0.13245243   0.0010877294     0.13245243   0.0010877294
            330     0.12270524   0.0010435335     0.12270524   0.0010435335     0.12270524   0.0010435335
            340     0.11108609  0.00098480766     0.11108609  0.00098480766     0.11108609  0.00098480766
            350     0.10216645  0.00094776516     0.10216645  0.00094776516     0.10216645  0.00094776516
            360    0.094019105  0.00093222986    0.094019105  0.00093222986    0.094019105  0.00093222986
            370    0.086721338  0.00087757981    0.086721338  0.00087757981    0.086721338  0.00087757981
            380    0.081257934  0.00084635551    0.081257934  0.00084635551    0.081257934  0.00084635551
            390     0.07332289  0.00080415542     0.07332289  0.00080415542     0.07332289  0.00080415542
            400    0.069077226  0.00077609129    0.069077226  0.00077609129    0.069077226  0.00077609129
            410    0.065720047  0.00075789761    0.065720047  0.00075789761    0.065720047  0.00075789761
            420    0.058287491   0.0007368926    0.058287491   0.0007368926    0.058287491   0.0007368926
            430    0.055948539  0.00069499134    0.055948539  0.00069499134    0.055948539  0.00069499134
            440    0.050843714  0.00068502431    0.050843714  0.00068502431    0.050843714  0.00068502431
            450    0.047753059  0.00064359543    0.047753059  0.00064359543    0.047753059  0.00064359543
            460     0.04370664  0.00062496843     0.04370664  0.00062496843     0.04370664  0.00062496843
            470    0.040867374  0.00059526567    0.040867374  0.00059526567    0.040867374  0.00059526567
            480     0.03871735  0.00062810755     0.03871735  0.00062810755     0.03871735  0.00062810755
            490    0.035261404  0.00055271118    0.035261404  0.00055271118    0.035261404  0.00055271118
            500    0.032347862   0.0005318003    0.032347862   0.0005318003    0.032347862   0.0005318003
            510    0.031592531  0.00053025615    0.031592531  0.00053025615    0.031592531  0.00053025615
            520    0.028843069  0.00051068855    0.028843069  0.00051068855    0.028843069  0.00051068855
            530    0.026261147  0.00047934691    0.026261147  0.00047934691    0.026261147  0.00047934691
            540    0.025095498  0.00048379239    0.025095498  0.00048379239    0.025095498  0.00048379239
            550     0.02269069  0.00044417308     0.02269069  0.00044417308     0.02269069  0.00044417308
            560    0.020790273  0.00044214351    0.020790273  0.00044214351    0.020790273  0.00044214351
            570     0.01981167  0.00041386066     0.01981167  0.00041386066     0.01981167  0.00041386066
            580    0.019026779  0.00040981052    0.019026779  0.00040981052    0.019026779  0.00040981052
            590    0.017275477  0.00039569762    0.017275477  0.00039569762    0.017275477  0.00039569762
            600    0.016235615  0.00039269668    0.016235615  0.00039269668    0.016235615  0.00039269668
