#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4 -0.00039331027  0.00096382098 -0.00039331027  0.00096382098 -0.00039331027  0.00096382098
           -3.8    0.011168028   0.0037323613    0.011168028   0.0037323613    0.011168028   0.0037323613
           -3.6    0.070969706    0.048369868    0.070969706    0.048369868    0.070969706    0.048369868
           -3.4     0.44706522    0.021647413     0.44706522    0.021647413     0.44706522    0.021647413
           -3.2      1.4463412     0.04479225      1.4463412     0.04479225      1.4463412     0.04479225
             -3      3.2162818    0.067172236      3.2162818    0.067172236      3.2162818    0.067172236
           -2.8      6.8193489    0.084371846      6.8193489    0.084371846      6.8193489    0.084371846
           -2.6      12.158724     0.11226355      12.158724     0.11226355      12.158724     0.11226355
           -2.4      20.126461      0.1344554      20.126461      0.1344554      20.126461      0.1344554
           -2.2      29.885695     0.14034989      29.885695     0.14034989      29.885695     0.14034989
             -2      42.925076     0.17582972      42.925076     0.17582972      42.925076     0.17582972
           -1.8      57.124029     0.21363339      57.124029     0.21363339      57.124029     0.21363339
           -1.6      72.079864     0.22648935      72.079864     0.22648935      72.079864     0.22648935
           -1.4      89.282258     0.24783545      89.282258     0.24783545      89.282258     0.24783545
           -1.2      105.15403      0.2609634      105.15403      0.2609634      105.15403      0.2609634
             -1      120.91088     0.28134917      120.91088     0.28134917      120.91088     0.28134917
           -0.8      135.06672     0.30222139      135.06672     0.30222139      135.06672     0.30222139
           -0.6      145.76452     0.30474632      145.76452     0.30474632      145.76452     0.30474632
           -0.4      153.90633     0.34122135      153.90633     0.34122135      153.90633     0.34122135
           -0.2      157.62333     0.31799968      157.62333     0.31799968      157.62333     0.31799968
              0      157.53255     0.32328628      157.53255     0.32328628      157.53255     0.32328628
            0.2      153.52907     0.32615998      153.52907     0.32615998      153.52907     0.32615998
            0.4      145.49777     0.32371221      145.49777     0.32371221      145.49777     0.32371221
            0.6       134.7522     0.30329142       134.7522     0.30329142       134.7522     0.30329142
            0.8      121.07318     0.32290973      121.07318     0.32290973      121.07318     0.32290973
              1       106.0908     0.26162083       106.0908     0.26162083       106.0908     0.26162083
            1.2        88.8889     0.27387087        88.8889     0.27387087        88.8889     0.27387087
            1.4      73.181533     0.24251412      73.181533     0.24251412      73.181533     0.24251412
            1.6      57.205205     0.27551429      57.205205     0.27551429      57.205205     0.27551429
            1.8      42.167828     0.17069168      42.167828     0.17069168      42.167828     0.17069168
              2      29.879389     0.14831457      29.879389     0.14831457      29.879389     0.14831457
            2.2      19.648453     0.13683754      19.648453     0.13683754      19.648453     0.13683754
            2.4      12.259266     0.11017555      12.259266     0.11017555      12.259266     0.11017555
            2.6      6.8481028    0.081769451      6.8481028    0.081769451      6.8481028    0.081769451
            2.8      3.3371707      0.1124594      3.3371707      0.1124594      3.3371707      0.1124594
              3      1.3831173    0.041382401      1.3831173    0.041382401      1.3831173    0.041382401
            3.2     0.37551195    0.058242079     0.37551195    0.058242079     0.37551195    0.058242079
            3.4     0.18076164    0.081974401     0.18076164    0.081974401     0.18076164    0.081974401
            3.6    0.016243088   0.0091627989    0.016243088   0.0091627989    0.016243088   0.0091627989
            3.8  -0.0023007567   0.0030626396  -0.0023007567   0.0030626396  -0.0023007567   0.0030626396
              4  -0.0023007567   0.0030626396  -0.0023007567   0.0030626396  -0.0023007567   0.0030626396
