# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.307965    0.089796846      12.387391    0.083781637      14.137632     0.11236617
            0.2      38.471369      0.1532199      35.898241     0.14469955      40.748107      0.1908441
            0.4      58.329434     0.18894913      54.336191     0.18445792      61.846946     0.23342404
            0.6      75.387731     0.22816139      70.445705     0.24422255      79.764248     0.28302202
            0.8      88.237526     0.24146142      82.513381     0.25321602      93.363025      0.2872788
              1      98.291132     0.25915541      91.966386     0.23717671      103.99847     0.31611774
            1.2      107.85086     0.26398488      100.87592     0.27398943      114.11431     0.32187671
            1.4      116.08862     0.26856083       108.8471     0.27297488      122.52904     0.33117434
            1.6      125.27615     0.28531344      117.65812     0.28398687      132.26366     0.34723487
            1.8      136.46659     0.29342117      128.33364     0.29435712      144.14755     0.36088815
              2      149.19299      0.3147816      140.74337     0.34411524      157.31473     0.37793143
            2.2      165.84804      0.3316978      156.50095     0.33901635      174.22099     0.39829935
            2.4      186.05531     0.35360694      175.85277      0.3476015      195.13799     0.44408405
            2.6      211.45326     0.41027548      200.39024     0.40792845      221.30094     0.46617304
            2.8      238.80287     0.42258551      226.54835     0.53515759      249.78541     0.49214083
              3      241.65793     0.41620641      229.34267     0.41809165      252.78063     0.49488006
            3.2      118.85487     0.30453729      112.02944     0.32433812      125.04579     0.35458099
            3.4      67.663233     0.21611022      63.531905      0.2129758      71.660121     0.25999961
            3.6      42.907562     0.18499617      40.038342     0.16282564      45.686468     0.22125848
            3.8       28.06829     0.13899241      26.063686     0.13301865      30.159155     0.16668911
              4      18.934859      0.1178411      17.577253     0.11859826      20.371849     0.13744436
            4.2      12.910626    0.093052267      11.884647    0.087814756      14.003897     0.11247172
            4.4      8.6812072    0.075629985      8.0452692    0.073696442      9.3733533    0.092825325
            4.6      6.1109123    0.067026304      5.6244994    0.063108135      6.6304699    0.079504095
            4.8      4.2613548     0.05435553      3.9302291    0.051630395      4.6187865    0.065333596
              5      4.2613548     0.05435553      3.9302291    0.051630395      4.6187865    0.065333596
